match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_unsuccessfulTouch,player_firstName,stat_dispossessed,stat_wonTackle,stat_fouls,stat_accurateCross,stat_bigChanceCreated,stat_interceptionWon,stat_wasFouled,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_wonContest,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_penaltyWon,stat_penaltyConceded,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot,player_lastName,stat_clearanceOffLine,stat_outfielderBlock,stat_totalOffside
12764020,away,Stade Brestois,Julien Le Cardinal,julien-le-cardinal,J. L. Cardinal,D,26,182,202,M,,1129751,EUR,870566400,D,25,25,False,22.0,21.0,2.0,2.0,0.0,18.0,19.0,3.0,6.0,4.0,,,,90.0,39.0,7.0,1.0,0.00064834,0,3.0,,1.0,,3.0,1.0,,1.0,,,,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,
12764020,away,Stade Brestois,Massadio Haïdara,massadio-haidara,M. Haïdara,D,21,179,604,M,,143344,EUR,723254400,D,22,22,False,34.0,25.0,7.0,4.0,0.0,11.0,14.0,21.0,3.0,1.0,,,,90.0,57.0,6.4,16.0,0.0494502,0,15.0,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,
12764020,away,Stade Brestois,Mahdi Camara,camara-mahdi,M. Camara,M,45,178,962,M,,916041,EUR,899164800,M,45,45,False,20.0,15.0,1.0,1.0,0.0,7.0,8.0,13.0,1.0,2.0,,,,69.0,31.0,6.4,8.0,0.00377145,1,8.0,1.0,,1.0,6.0,5.0,3.0,3.0,,,,,3.0,,,,,,1.0,,0.0352,,1.0,,1.0,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Edimilson Fernandes,edimilson-fernandes,E. Fernandes,M,6,190,345,M,,330099,EUR,829526400,M,6,6,False,15.0,11.0,5.0,2.0,0.0,5.0,6.0,9.0,,2.0,,,,77.0,19.0,6.2,5.0,0.00269026,0,6.0,,1.0,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Hugo Magnetti,hugo-magnetti,H. Magnetti,M,8,173,200,M,,861324,EUR,896486400,M,8,8,False,15.0,11.0,2.0,,0.0,6.0,8.0,7.0,,5.0,,,,90.0,25.0,6.2,8.0,0.00451591,0,5.0,,,,7.0,4.0,2.0,2.0,1.0,,1.0,2.0,3.0,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Kamory Doumbia,kamory-doumbia,K. Doumbia,M,23,170,5647,M,kamory_doumbia03,1156353,EUR,1045526400,M,9,9,False,12.0,10.0,,,0.0,6.0,7.0,5.0,2.0,6.0,,,,69.0,30.0,6.0,11.0,0.00161218,0,4.0,,2.0,1.0,10.0,5.0,3.0,3.0,2.0,Kamory Doumbia,4.0,1.0,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
12764020,away,Stade Brestois,Abdallah Sima,abdallah-sima,A.Sima,F,19,188,2445,M,,1029018,EUR,992736000,F,17,17,False,14.0,9.0,2.0,1.0,0.0,4.0,6.0,9.0,,6.0,,,,59.0,21.0,6.4,9.0,0.00543612,0,5.0,1.0,2.0,1.0,5.0,2.0,,1.0,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
12764020,away,Stade Brestois,Ludovic Ajorque,ludovic-ajorque,L. Ajorque,F,19,196,1471,M,,343971,EUR,762134400,F,19,19,False,12.0,9.0,1.0,1.0,0.0,4.0,5.0,7.0,,,,,,78.0,18.0,6.2,7.0,0.0025129,0,5.0,,5.0,3.0,11.0,4.0,,,3.0,,1.0,,2.0,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,1.0
12764020,away,Stade Brestois,Mama Baldé,mama-balde,M. Baldé,F,17,183,1088,M,,557166,EUR,815616000,F,14,14,True,4.0,4.0,,,0.0,2.0,2.0,2.0,,1.0,,,,31.0,16.0,6.5,4.0,0.00768145,1,2.0,,,,2.0,3.0,2.0,2.0,2.0,,1.0,,,,,1.0,,,,,0.0336,,1.0,,1.0,,,,,,,,,,,,,,,1.0
12764020,away,Stade Brestois,Romain Faivre,romain-faivre,R. Faivre,M,28,180,1028,M,,913942,EUR,900374400,M,21,21,True,6.0,6.0,,,0.0,6.0,6.0,,,3.0,,,,21.0,13.0,6.6,2.0,0.00018074,0,,,,,1.0,4.0,3.0,,,,,,,,,1.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,1.0
12764020,away,Stade Brestois,Mathias Pereira Lage,mathias-pereira-lage,M. P. Lage,M,28,180,341,M,,831400,EUR,849312000,M,26,26,True,3.0,3.0,,,0.0,2.0,2.0,3.0,1.0,1.0,,,,21.0,9.0,6.3,3.0,0.0510399,0,1.0,2.0,,,2.0,2.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
12764020,away,Stade Brestois,Romain Del Castillo,romain-del-castillo,R. Del Castillo,M,10,172,689,M,,825681,EUR,828057600,M,10,10,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,12.0,3.0,6.2,1.0,2.427e-05,0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Jonas Martin,jonas-martin,J. Martin,M,90,184,94,M,,123264,EUR,639619200,M,28,28,True,4.0,4.0,,,0.0,3.0,3.0,1.0,,,,,,13.0,7.0,6.1,2.0,0.00019913,0,1.0,,,,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Grégoire Coudert,gregoire-coudert,G. Coudert,G,30,190,115,M,,891508,EUR,923097600,G,30,30,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Noah Jauny,noah-jauny,N. Jauny,G,50,194,74,M,,1910904,EUR,1093478400,G,50,50,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Noah Jauny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Abdoulaye Ndiaye,abdoulaye-ndiaye,A. Ndiaye,D,3,195,1249,M,,984527,EUR,1018396800,D,3,3,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Jordan Amavi,jordan-amavi,J. Amavi,D,,176,330,M,,342915,EUR,763171200,D,23,23,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Axel Camblan,axel-camblan,A. Camblan,M,7,169,84,M,,1135605,EUR,1055894400,M,11,11,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Axel Camblan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764020,away,Stade Brestois,Ibrahim Salah,ibrahim-salah,I. Salah,F,21,185,2214,M,,1386639,EUR,999129600,F,34,34,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
