match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_shotOffTarget,stat_expectedGoals,captain,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_keyPass,stat_penaltyConceded,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_blockedScoringAttempt,stat_errorLeadToAGoal
12117219,home,Corinthians,Igor Coronado,igor-coronado,I. Coronado,M,77,170,5336,M,igor_coronado,152098,EUR,714096000,M,77,77,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,home,Corinthians,Pedro Henrique,pedro-henrique,P. Henrique,M,7,179,1742,M,,219190,EUR,645580800,F,16,16,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,home,Corinthians,Giovane,giovane,Giovane,F,23,184,4963,M,,1170773,EUR,1069632000,F,17,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,away,Flamengo,Agustín Rossi,agustin-rossi,A. Rossi,G,1,195,10864,M,AgustinRossi,1140986,EUR,808963200,G,1,1,False,23.0,19.0,5.0,1.0,0.0,19.0,19.0,,4.0,,9.0,,1.0,,2.0,90.0,33.0,6.5,4.0,8.03e-05,0,-0.3892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117219,away,Flamengo,Guillermo Varela,guillermo-varela,G. Varela,D,2,171,7450,M,,311456,EUR,732931200,D,2,2,False,32.0,29.0,2.0,1.0,0.0,15.0,18.0,14.0,15.0,7.0,2.0,,,,,68.0,44.0,6.9,4.0,0.00618173,0,,,,,2.0,,,,1.0,,1.0,1.0,,3.0,,,,,,1.0,,1.0,1.0,,2.0,1.0,,,,,,,
12117219,away,Flamengo,Fabrício Bruno,fabricio-bruno,F. Bruno,D,15,192,6526,M,fabriciobruno96,840220,EUR,824083200,D,15,15,False,58.0,54.0,6.0,4.0,0.0,38.0,39.0,16.0,19.0,5.0,3.0,,,,,90.0,71.0,7.0,4.0,0.019313,0,,,,,3.0,1.0,,,5.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,2.0,,,,,,,,
12117219,away,Flamengo,David Luiz,david-luiz,D. Luiz,D,4,189,22748,M,davidluiz23,21300,EUR,546048000,D,23,23,False,27.0,24.0,3.0,3.0,0.0,17.0,18.0,7.0,9.0,1.0,1.0,,,,,63.0,37.0,6.0,5.0,0.00565357,0,,,,,1.0,1.0,,,6.0,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0
12117219,away,Flamengo,Ayrton Lucas,ayrton-lucas,A. Lucas,D,6,180,7146,M,AyrtonLucas,818473,EUR,866678400,D,6,6,False,41.0,31.0,3.0,,0.0,15.0,17.0,16.0,26.0,10.0,5.0,,,,,86.0,67.0,6.5,18.0,0.00803716,1,,,,,,3.0,,3.0,,,4.0,1.0,1.0,1.0,1.0,,,0.008,,2.0,,5.0,5.0,,,,,,,,,1.0,
12117219,away,Flamengo,Erick Pulgar,erick-pulgar,E. Pulgar,M,5,186,12411,M,erick05,590262,EUR,758592000,M,5,5,False,30.0,25.0,,,0.0,12.0,13.0,13.0,17.0,4.0,3.0,,,,,45.0,36.0,6.8,5.0,0.00571157,0,,,,1.0,,3.0,,,,1.0,3.0,2.0,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,
12117219,away,Flamengo,Léo Ortiz,leo-ortiz,L. Ortiz,D,3,185,10970,M,leortiz33,869643,EUR,820627200,M,3,3,False,56.0,49.0,7.0,5.0,0.0,21.0,24.0,28.0,33.0,3.0,3.0,,,,,90.0,72.0,7.2,9.0,0.264703,1,,,,,2.0,1.0,1.0,,2.0,,,,1.0,,,,1.0,0.1747,,1.0,,1.0,1.0,,4.0,1.0,,1.0,,,,,
