match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_fouls,captain,stat_aerialLost,stat_clearanceOffLine,stat_outfielderBlock,stat_errorLeadToAShot,stat_keyPass,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_accurateCross,stat_challengeLost,stat_totalContest,player_sofascoreId,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_hitWoodwork,stat_goals,stat_totalOffside
12504699,home,Parma,Zion Suzuki,,,zion-suzuki,Z. Suzuki,G,31,189.0,4904,M,905351,EUR,1029888000,G,31,31,False,32.0,15.0,23.0,6.0,0.0,12.0,12.0,3.0,20.0,1.0,1.0,6.0,1.0,1.0,5.0,6.0,90.0,44.0,7.7,17.0,0.00047237,0,0.4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504699,home,Parma,Woyo Coulibaly,,,woyo-coulibaly,W. Coulibaly,D,25,188.0,2728,M,989894,EUR,927158400,D,26,26,False,64.0,59.0,1.0,,0.0,22.0,25.0,37.0,40.0,1.0,4.0,7.0,3.0,,,,90.0,83.0,6.8,10.0,0.0178837,0,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12504699,home,Parma,Enrico Del Prato,,,enrico-del-prato,E. Del Prato,D,15,183.0,860,M,928103,EUR,942192000,D,15,15,False,59.0,50.0,8.0,3.0,0.0,42.0,48.0,8.0,11.0,2.0,3.0,4.0,1.0,,,,90.0,72.0,7.4,9.0,0.00712822,0,,,1.0,,6.0,,,True,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
12504699,home,Parma,Botond Balogh,,,botond-balogh,B. Balogh,D,5,189.0,1291,M,983510,EUR,1023321600,D,4,4,False,44.0,41.0,3.0,2.0,0.0,30.0,32.0,11.0,12.0,4.0,7.0,1.0,,,,,90.0,58.0,7.1,4.0,0.014783,1,,,2.0,,5.0,,,,2.0,,,,,1.0,3.0,1.0,1.0,0.0736,,,,,,,,,,,,
12504699,home,Parma,Emanuele Valeri,,,emanuele-valeri,E. Valeri,D,14,180.0,818,M,891346,EUR,912988800,D,14,14,False,38.0,29.0,3.0,2.0,0.0,13.0,17.0,18.0,30.0,1.0,9.0,4.0,2.0,,,,90.0,74.0,7.5,20.0,0.366253,0,,9.0,4.0,1.0,2.0,1.0,,,2.0,,,,3.0,,6.0,1.0,2.0,,2.0,1.0,,,,,,,,,,
12504699,home,Parma,Adrián Bernabé,,,adrian-bernabe,A. Bernabé,M,10,170.0,2308,M,934384,EUR,990835200,M,10,10,False,12.0,8.0,2.0,1.0,0.0,6.0,9.0,2.0,3.0,,1.0,2.0,,,,,17.0,16.0,6.6,6.0,0.0006842,0,,,1.0,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,
12504699,home,Parma,Mandela Keita,Mandela Keita,,mandela-keita,M. Keita,M,16,180.0,1230,M,1110136,EUR,1020988800,M,16,16,False,13.0,13.0,,,0.0,5.0,5.0,8.0,8.0,,2.0,,,,,,45.0,20.0,6.4,3.0,0.00267135,0,,,2.0,1.0,,,1.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,
12504699,home,Parma,Simon Sohm,,,simon-sohm,S. Sohm,M,23,188.0,941,M,909991,EUR,986947200,M,19,19,False,49.0,39.0,3.0,2.0,0.0,15.0,17.0,24.0,32.0,2.0,2.0,3.0,1.0,,,,90.0,54.0,6.8,11.0,0.0224236,2,,,2.0,1.0,,,,,1.0,,,,,2.0,,,,0.106,,,,,,,,,,,,
12504699,home,Parma,Dennis Man,,,dennis-man,D. Man,M,27,182.0,10418,M,812145,EUR,904089600,F,98,98,False,36.0,30.0,2.0,1.0,0.0,7.0,9.0,23.0,27.0,,6.0,8.0,3.0,,,,90.0,57.0,7.1,12.0,0.0956209,3,,,6.0,4.0,1.0,,,,2.0,,,,2.0,,2.0,1.0,2.0,0.0669,,,1.0,dennisman,1.0,3.0,,,,,,
12504699,home,Parma,Ange-Yoan Bonny,,,ange-yoan-bonny,A. Bonny,F,14,189.0,10665,M,1086223,EUR,1067040000,F,13,13,False,13.0,10.0,1.0,1.0,0.0,6.0,6.0,4.0,7.0,2.0,3.0,3.0,1.0,,,,64.0,28.0,6.6,10.0,0.0454716,0,,,8.0,4.0,1.0,,,,4.0,,,,1.0,,,,3.0,,,,,,,,,,,,,
12504699,home,Parma,Valentin Mihăilă,,,valentin-mihaila,V. Mihăilă,M,7,177.0,3261,M,925242,EUR,949449600,F,28,28,False,18.0,11.0,1.0,,0.0,1.0,4.0,10.0,14.0,5.0,13.0,1.0,1.0,,,,83.0,33.0,7.4,9.0,0.0282991,1,,,4.0,,,,1.0,,2.0,,,,1.0,1.0,7.0,5.0,,0.1489,,,1.0,,,,,,,,,
12504699,home,Parma,Anas Haj Mohamed,,,anas-haj-mohamed,A. H. Mohamed,F,21,174.0,1496,M,1155432,EUR,1111795200,F,61,61,True,11.0,6.0,1.0,,0.0,,,6.0,11.0,,,,,,,,28.0,15.0,6.5,6.0,0.00620841,1,,,3.0,,1.0,,1.0,,2.0,,,,,1.0,,,1.0,0.1698,,,,,,,,,,,,
12504699,home,Parma,Nahuel Estévez,,,nahuel-estevez,N. Estévez,M,8,183.0,519,M,895868,EUR,816307200,M,8,8,True,43.0,29.0,5.0,1.0,0.0,11.0,13.0,18.0,33.0,3.0,3.0,2.0,,,,,45.0,54.0,6.6,18.0,0.0169894,1,,3.0,2.0,1.0,2.0,,,,1.0,,,,,1.0,,,,0.0149,,,,,,,,,,,,
12504699,home,Parma,Pontus Almqvist,,,pontus-almqvist,P. Almqvist,F,11,183.0,456,M,856065,EUR,931564800,F,11,11,True,15.0,12.0,,,0.0,1.0,1.0,11.0,14.0,1.0,1.0,1.0,,,,,45.0,21.0,6.5,5.0,0.037442,1,,,4.0,1.0,,,1.0,,1.0,,,,,1.0,,,,0.0435,,,1.0,,,,,,,,,
