match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_expectedGoals,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_unsuccessfulTouch,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_accurateCross,stat_bigChanceCreated,player_sofascoreId,stat_punches,stat_hitWoodwork
12764219,away,Roma,Eldor Shomurodov,shomurodov-eldor,E. Shomurodov,F,14,190,32386,M,791355,EUR,804384000,F,14,14,False,,21.0,15.0,1.0,1.0,0.0,4.0,6.0,11.0,15.0,4.0,6.0,2.0,1.0,,,,,,,55.0,30.0,6.6,10.0,0.125862,1,,,,,1.0,1.0,,,,1.0,0.1412,,1.0,,,,,3.0,1.0,,1.0,,,,1.0,,,,,
12764219,away,Roma,Niccolò Pisilli,niccolo-pisilli,N. Pisilli,M,61,180,2285,M,1175821,EUR,1095897600,M,61,61,True,,18.0,14.0,2.0,2.0,0.0,9.0,10.0,5.0,8.0,1.0,1.0,1.0,3.0,,,,,,,35.0,22.0,6.6,5.0,0.00316386,0,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
12764219,away,Roma,Artem Dovbyk,artem-dovbyk,A. Dovbyk,F,9,189,13849,M,798820,EUR,866851200,F,11,11,True,,9.0,8.0,1.0,1.0,0.0,2.0,2.0,6.0,7.0,1.0,3.0,,2.0,,,,,,,35.0,15.0,6.5,4.0,0.00530412,1,,,,,,,1.0,,,1.0,0.0218,,,,,,,2.0,,,1.0,,,,1.0,,,tema_dovbyk,,
12764219,away,Roma,Nicola Zalewski,nicola-zalewski,N. Zalewski,M,59,175,16345,M,984184,EUR,1011744000,M,59,59,True,,6.0,3.0,2.0,1.0,0.0,3.0,4.0,,2.0,,,,1.0,,,,,,,11.0,11.0,6.8,4.0,5.025e-05,0,,,,,3.0,,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,nico_zale,,
12764219,away,Roma,Matías Soulé,matias-soule,M. Soulé,F,18,182,12547,M,1082406,EUR,1050364800,F,18,18,True,,5.0,4.0,,,0.0,1.0,1.0,3.0,4.0,1.0,2.0,,,,,,,,,11.0,10.0,6.5,3.0,0.00041493,0,,,,,2.0,,,,,,,,1.0,,2.0,1.0,,1.0,,,,,,,,,,matiassoule11,,
12764219,away,Roma,Renato Marin,renato-bellucci-marin,R. B. Marin,G,89,194,3893,M,1524396,EUR,1152489600,G,89,89,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764219,away,Roma,Mathew Ryan,mathew-ryan,M. Ryan,G,13,184,1520,M,134029,EUR,702691200,G,98,98,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764219,away,Roma,Buba Sangare,sangare-buba,B. Sangaré,D,42,184,926,M,1542721,EUR,1186358400,D,66,66,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,Buba Sangaré,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764219,away,Roma,Saud Abdulhamid,abdulhamid-saud,S. Abdulhamid,D,23,178,8457,M,966849,EUR,932256000,D,12,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,s.abdulhamed66,,
12764219,away,Roma,Mats Hummels,mats-hummels,M. Hummels,D,15,191,4565,M,16632,EUR,598233600,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,aussenrist15,,
12764219,away,Roma,Leandro Paredes,leandro-paredes,L. Paredes,M,5,180,25645,M,255389,EUR,772848000,M,16,16,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,LeoParedes,,
12764219,away,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,21,177,117206,M,256219,EUR,753321600,F,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,LaJoya,,
