match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_shotOffTarget,stat_hitWoodwork,stat_outfielderBlock,stat_dispossessed,captain,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_saves,stat_accurateKeeperSweeper,stat_keeperSaveValue,stat_goalsPrevented,stat_goalkeeperValueNormalized,stat_lastManTackle
14053634,home,FC Groningen,Brynjólfur Darri Willumsson,brynjolfur-darri-willumsson,B. Darri Willumsson,F,9,185.0,358,M,907520,EUR,966038400,F,9,9,False,11.0,8.0,1.0,,0.0,1.0,1.0,7.0,10.0,2.0,,82.0,21.0,8.1,7.0,0.0799775,2,0.26,-0.04,0.0,,,,,3.0,1.0,8.0,2.0,,1.0,,,,,,1.0,1.0,2.0,3.0,,0.6299,0.78,,,,2.0,,,,,2.0,2.0,1.243,,,,,,,
14053634,home,FC Groningen,David van der Werff,david-van-der-werff,D. v. d. Werff,M,17,180.0,85,M,1878212,EUR,1093910400,M,17,17,True,10.0,9.0,1.0,1.0,0.0,1.0,1.0,8.0,9.0,2.0,,24.0,16.0,7.5,4.0,0.0662797,1,0.32,0.2,0.0,David van der Werff,,2.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,,0.5961,0.32,,,,,,,,,1.0,1.0,0.976,,,,,,,
14053634,home,FC Groningen,Tygo Land,land-tygo,T. Land,M,18,180.0,847,M,1441117,EUR,1136937600,M,18,18,True,4.0,4.0,,,0.0,2.0,2.0,2.0,2.0,1.0,,16.0,7.0,6.6,1.0,0.00102518,0,0.02,0.0,0.13,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Oskar Zawada,oskar-zawada,O. Zawada,F,19,192.0,715,M,318745,EUR,823132800,F,19,19,True,3.0,2.0,,,0.0,2.0,3.0,,,,,16.0,10.0,6.5,4.0,7.522e-05,2,0.0,-0.06,0.18,,,,,1.0,2.0,3.0,2.0,,,,1.0,,,,,,,,1.0,0.0949,-0.53,1.0,1.0,,2.0,,,,,,,,,,,,,,
14053634,home,FC Groningen,Mats Seuntjens,mats-seuntjens,M. Seuntjens,M,20,187.0,137,M,163541,EUR,703468800,M,20,20,True,2.0,2.0,,,0.0,,,2.0,2.0,,,8.0,2.0,6.5,,0.00158205,0,0.02,,-0.04,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Mark Hoekstra,mark-hoekstra,M. Hoekstra,F,69,,38,M,2076787,EUR,1139529600,F,69,69,True,1.0,1.0,,,0.0,,,1.0,1.0,,,8.0,3.0,6.6,,0.00016518,0,0.01,0.0,0.16,Mark,Hoekstra,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Hidde Jurjus,hidde-jurjus,H. Jurjus,G,21,187.0,69,M,339941,EUR,760752000,G,21,21,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Lovro Štubljar,lovro-stubljar,L. Štubljar,G,13,191.0,139,M,1004481,EUR,1092009600,G,13,13,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Wouter Prins,wouter-prins,W. Prins,D,2,173.0,74,M,1481249,EUR,1076025600,D,2,2,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Tyrique Mercera,mercera-tyrique,T. Mercera,D,16,185.0,93,M,1592993,EUR,1071792000,D,16,16,True,,,,,,,,,,,,,,,,,0,,,,Tyrique Mercera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Sven Bouland,sven-bouland,S. Bouland,D,22,184.0,67,M,1647694,EUR,1140566400,D,22,22,True,,,,,,,,,,,,,,,,,0,,,,Sven,Bouland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Yenio Holder,yenio-holder,Y. Holder,M,55,,32,M,2193044,EUR,1183334400,M,55,55,True,,,,,,,,,,,,,,,,,0,,,,Yénio,Holder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053634,home,FC Groningen,Rui Mendes,rui-mendes,R. Mendes,F,27,180.0,127,M,940979,EUR,942192000,F,27,27,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053634,away,Heracles Almelo,Fabian de Keijzer,fabian-de-keijzer,F. d. Keijzer,G,1,193.0,108,M,856743,EUR,957916800,G,1,1,False,46.0,19.0,36.0,9.0,0.0,11.0,14.0,8.0,32.0,9.0,1.0,90.0,53.0,5.5,27.0,0.0326409,0,0.29,-0.13,-0.42,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,0.1084,-1.4293,-0.92,
14053634,away,Heracles Almelo,Mimeirhel Benita,mimeirhel-benita,M. Benita,D,2,176.0,217,M,1130308,EUR,1069027200,D,2,2,False,24.0,16.0,4.0,1.0,0.0,6.0,8.0,10.0,16.0,5.0,,90.0,66.0,6.6,17.0,0.00456164,0,-0.05,-0.07,-0.27,Mimeirhel Benita,,1.0,,,2.0,4.0,12.0,,4.0,1.0,3.0,2.0,6.0,5.0,2.0,3.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,
14053634,away,Heracles Almelo,Damon Mirani,damon-mirani,D. Mirani,D,4,182.0,55,M,318575,EUR,831945600,D,4,4,False,43.0,40.0,6.0,5.0,0.0,28.0,28.0,12.0,15.0,2.0,,90.0,62.0,6.7,4.0,0.00679089,0,0.03,0.1,-0.46,,,,,1.0,3.0,3.0,7.0,1.0,1.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,True,,,,,,,,,,,,,
14053634,away,Heracles Almelo,Ivan Mesík,ivan-mesik,I. Mesík,D,24,187.0,164,M,918484,EUR,991353600,D,24,24,False,49.0,42.0,13.0,8.0,0.0,33.0,35.0,9.0,14.0,4.0,,90.0,67.0,5.9,11.0,0.00337173,1,0.04,0.01,-0.69,,,1.0,,2.0,1.0,4.0,3.0,,2.0,1.0,10.0,,1.0,1.0,2.0,,1.0,,,0.0114,-0.09,1.0,,,,,1.0,,,,,,,,,,,,
14053634,away,Heracles Almelo,Djevencio van der Kust,djevencio-van-der-kust,D. v. d. Kust,D,5,178.0,176,M,974530,EUR,988588800,D,5,5,False,33.0,23.0,6.0,1.0,0.0,19.0,20.0,4.0,13.0,9.0,,90.0,55.0,6.1,17.0,0.00293187,0,-0.14,0.03,-0.1,,,2.0,,3.0,4.0,6.0,5.0,1.0,,,2.0,,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0
14053634,away,Heracles Almelo,Sem Scheperman,scheperman-sem,S. Scheperman,M,32,188.0,83,M,1189738,EUR,1024790400,M,32,32,False,49.0,46.0,2.0,2.0,0.0,31.0,32.0,15.0,17.0,2.0,,90.0,72.0,7.6,4.0,0.0327498,2,0.12,0.06,0.17,,,2.0,1.0,2.0,6.0,2.0,14.0,,,,4.0,1.0,7.0,2.0,,1.0,1.0,1.0,,0.1403,-0.27,2.0,,4.0,,,,,,,,,,,,,,,
14053634,away,Heracles Almelo,Jan Žambůrek,jan-zamburek,J. Žambůrek,M,13,182.0,81,M,930295,EUR,982022400,M,13,13,False,31.0,24.0,6.0,3.0,0.0,14.0,17.0,10.0,14.0,2.0,,90.0,45.0,6.6,10.0,0.0321231,1,0.07,-0.08,-0.14,,,3.0,1.0,2.0,3.0,5.0,7.0,,2.0,1.0,2.0,,,,,3.0,3.0,,,0.0266,-0.13,1.0,,,,,,,,,,,,,,,,,
14053634,away,Heracles Almelo,Bryan Limbombe,bryan-limbombe,B. Limbombe,M,7,172.0,160,M,996988,EUR,989798400,M,7,7,False,6.0,4.0,1.0,1.0,0.0,3.0,4.0,1.0,2.0,3.0,,65.0,15.0,6.2,8.0,0.00023831,1,-0.01,0.19,-0.18,,,2.0,,,,3.0,1.0,1.0,2.0,1.0,1.0,,,,2.0,,,,,0.0361,0.0,1.0,,,1.0,,,,,,,,,,,,,,
