match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_totalClearance,stat_wonTackle,captain,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_wonContest,stat_clearanceOffLine,stat_dispossessed,stat_bigChanceMissed,stat_bigChanceCreated,player_sofascoreId,stat_goals,stat_goalAssist,stat_goodHighClaim,stat_errorLeadToAShot
10385754,home,Leeds United,Rodrigo,,,rodrigo,Rodrigo,M,19,181,2040,M,542472,EUR,668217600,F,19,19,False,16.0,14.0,,,9.0,10.0,5.0,7.0,1.0,,,64.0,27.0,7.3,9.0,0.5246,0.99,0.0160509,3,,1.0,6.0,,7.0,1.0,,,1.0,,,,1.0,4.0,,1.0,1.0,,1.0,,,,2.0,,,,,,,1.0,,,
10385754,home,Leeds United,Crysencio Summerville,,,crysencio-summerville,C. Summerville,M,7,174,5285,M,917005,EUR,1004400000,M,10,10,True,11.0,10.0,,,3.0,3.0,7.0,8.0,3.0,,,26.0,18.0,6.9,4.0,0.1359,0.9213,0.00656191,1,,,,,3.0,3.0,2.0,,,,,,2.0,2.0,1.0,,,,2.0,,,,1.0,,,1.0,,,csummerville7,1.0,,,
10385754,home,Leeds United,Patrick Bamford,,,patrick-bamford,P. Bamford,F,45,185,2242,M,204336,EUR,747187200,F,9,9,True,6.0,4.0,,,1.0,1.0,3.0,5.0,,,,26.0,9.0,6.2,4.0,0.4041,0.4691,0.008262,1,,,1.0,,1.0,,,,,,,,,2.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,
10385754,home,Leeds United,Mateusz Klich,,,mateusz-klich,M. Klich,M,43,183,2169,M,44900,EUR,645235200,M,43,43,True,15.0,10.0,2.0,,3.0,5.0,7.0,10.0,3.0,,,14.0,22.0,6.3,7.0,0.0,0.0,0.00486798,0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10385754,home,Leeds United,Joe Gelhardt,,,joe-gelhardt,J. Gelhardt,M,21,179,945,M,945806,EUR,1020470400,F,30,30,True,4.0,4.0,,,1.0,1.0,3.0,3.0,,,,11.0,6.0,7.2,1.0,0.0,0.0,0.364451,0,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,
10385754,home,Leeds United,Joel Robles,,,joel-robles,J. Robles,G,1,195,157,M,93796,EUR,645580800,G,22,22,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385754,home,Leeds United,Rasmus Kristensen,,,rasmus-kristensen,R. Kristensen,D,13,186,1609,M,921789,EUR,868579200,D,25,25,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385754,home,Leeds United,Junior Firpo,,,junior-firpo,J. Firpo,D,23,184,2241,M,914835,EUR,840672000,D,3,3,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385754,home,Leeds United,Diego Llorente,,,diego-llorente,D. Llorente,D,3,185,1146,M,305278,EUR,745459200,D,14,14,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385754,home,Leeds United,Darko Gyabi,,,darko-gyabi,D. Gyabi,M,24,196,544,M,1067117,EUR,1076976000,M,18,18,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385754,away,Fulham,Bernd Leno,,,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,17,17,False,27.0,20.0,9.0,2.0,18.0,18.0,2.0,9.0,9.0,2.0,3.0,90.0,38.0,6.5,7.0,0.0,0.0,0.00097658,0,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
10385754,away,Fulham,Bobby Decordova-Reid,,,bobby-decordova-reid,B. Reid,M,14,170,1230,M,151499,EUR,728611200,D,14,14,False,38.0,18.0,8.0,,8.0,14.0,10.0,25.0,7.0,,,90.0,70.0,6.9,28.0,0.0428,0.4889,0.00536163,1,,1.0,,,4.0,6.0,1.0,3.0,,,,,3.0,2.0,1.0,3.0,,3.0,2.0,,,,1.0,2.0,,,,,,1.0,,,
