match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_outfielderBlock,captain,stat_totalContest,stat_wonContest,stat_fouls,stat_shotOffTarget,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_punches,stat_ownGoals,stat_goals,stat_goalAssist,stat_totalOffside,stat_hitWoodwork
10913516,away,Al Wehda,Waleed Bakshween,,,waleed-bakshween,W. Bakshween,M,,176.0,23,M,911303,EUR,626832000,M,4,4,False,41.0,32.0,4.0,2.0,15.0,17.0,17.0,24.0,5.0,,,,,,89.0,47.0,6.7,9.0,0,,,,2.0,4.0,5.0,2.0,,,2.0,2.0,,,1.0,,True,1.0,1.0,2.0,,,,,,,,,,,,
10913516,away,Al Wehda,Ala'a Al-Hejji,,,alaa-al-hejji,A. Al-Hejji,M,18,173.0,32,M,826242,EUR,817948800,M,88,88,False,50.0,45.0,8.0,7.0,17.0,19.0,28.0,31.0,9.0,,,,,,90.0,76.0,7.3,7.0,2,,,1.0,1.0,6.0,10.0,4.0,,2.0,2.0,1.0,1.0,3.0,1.0,,,4.0,4.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,
10913516,away,Al Wehda,Islam Ahmed Hawsawi,Hawsawi Islam Ahmed,,islam-ahmed-hawsawi,I. A. Hawsawi,D,27,170.0,30,M,1106232,EUR,1009411200,M,27,27,False,5.0,3.0,,,1.0,2.0,2.0,3.0,,,,,,,45.0,14.0,6.7,6.0,1,,,1.0,,3.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,
10913516,away,Al Wehda,Anselmo,,,anselmo,Anselmo,M,87,182.0,171,M,256671,EUR,603936000,F,87,87,False,34.0,30.0,3.0,2.0,9.0,11.0,22.0,24.0,7.0,,,,,,90.0,62.0,7.4,10.0,2,1.0,1.0,1.0,1.0,11.0,8.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,,,4.0,2.0,5.0,2.0,1.0,,,,1.0,,,,,,
10913516,away,Al Wehda,Karim Yoda,,,karim-yoda,K. Yoda,M,10,182.0,57,M,23448,EUR,593740800,F,74,74,False,39.0,34.0,3.0,1.0,13.0,15.0,21.0,24.0,5.0,,,,,,75.0,46.0,7.6,7.0,0,,,,1.0,2.0,4.0,,1.0,,1.0,,,,3.0,1.0,,2.0,2.0,1.0,,2.0,,,,1.0,,,,1.0,,
10913516,away,Al Wehda,Hazzaa Al-Ghamdi,Hazzaa Ahmed Al-Ghamdi,,hazzaa-al-ghamdi,H. Al-Ghamdi,F,90,174.0,33,M,1095802,EUR,979171200,F,90,90,False,14.0,10.0,,,2.0,2.0,8.0,12.0,2.0,,,,,,57.0,21.0,6.5,7.0,2,,,,,2.0,1.0,,,,,,1.0,,,,,3.0,1.0,2.0,1.0,,,,1.0,,,,,,1.0,
10913516,away,Al Wehda,Ali Makki,Ali Makki,,ali-makki,A. Makki,D,5,174.0,20,M,1399144,EUR,924566400,D,2,2,True,17.0,11.0,1.0,1.0,6.0,9.0,5.0,8.0,6.0,,,,,,45.0,39.0,7.6,8.0,0,,,2.0,1.0,5.0,8.0,1.0,,1.0,6.0,3.0,1.0,1.0,1.0,,,,,2.0,,,,,,5.0,,,,,,
10913516,away,Al Wehda,Gerson Rodrigues,,,gerson-rodrigues,G. Rodrigues,F,9,188.0,560,M,842565,EUR,803606400,F,10,10,True,8.0,4.0,1.0,1.0,2.0,2.0,2.0,6.0,2.0,,,,,,33.0,18.0,7.1,7.0,4,,,,1.0,3.0,3.0,,1.0,,,,1.0,,1.0,,,3.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,1.0,1.0
10913516,away,Al Wehda,Sultan Al Akouz,Sultan Al Akouz,,sultan-al-akouz,S. A. Akouz,F,29,,4,M,1399139,EUR,1082764800,F,29,29,True,4.0,3.0,,,,,4.0,5.0,,,,,,,15.0,9.0,6.6,2.0,0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,
10913516,away,Al Wehda,Sultan Al-Sawadi,,,sultan-al-sawadi,S. Al-Sawadi,M,49,168.0,8,M,818777,EUR,724291200,M,49,49,True,7.0,5.0,1.0,1.0,2.0,3.0,3.0,4.0,1.0,,,,,,8.0,8.0,6.4,3.0,0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
10913516,away,Al Wehda,Basem Al-Baqi,,,basem-al-baqi,B. Al-Baqi,G,,188.0,2,M,832639,EUR,626400000,G,66,66,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913516,away,Al Wehda,Sattam Al Tumbukti,Sattam Al Tumbukti,,sattam-al-tumbukti,S. A. Tumbukti,M,87,,5,M,1472755,EUR,999561600,M,25,25,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913516,away,Al Wehda,Abdulkarim Al Qahtani,,,abdulkarim-al-qahtani,A. Al Qahtani,M,8,173.0,8,M,804094,EUR,729216000,M,12,12,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913516,away,Al Wehda,Hussain Ahmed Al Issa,,,hussain-ahmed-al-issa,H. A. A. Issa,M,20,173.0,18,M,989764,EUR,978048000,M,7,7,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913516,away,Al Wehda,Yahya Naji,,,yahya-naji,Y. Naji,F,80,170.0,27,M,984587,EUR,920332800,F,80,80,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
