match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_interceptionWon,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_clearanceOffLine,stat_bigChanceCreated,player_sofascoreId,stat_errorLeadToAShot,stat_hitWoodwork
11996503,away,1. FC Union Berlin,Robin Gosens,robin-gosens,R. Gosens,D,21,183,3171,M,377118,EUR,773366400,M,6,6,False,,29.0,16.0,5.0,3.0,3.0,6.0,14.0,24.0,1.0,1.0,,,,,,82.0,54.0,7.8,17.0,0.033017,2,,1.0,3.0,5.0,,1.0,,,2.0,6.0,1.0,,1.0,4.0,4.0,,1.0,1.0,,0.0803,0.1575,,,1.0,,1.0,,1.0,,,,,,,,
11996503,away,1. FC Union Berlin,Kevin Volland,kevin-volland,K. Volland,F,31,179,1031,M,117373,EUR,712454400,F,10,10,False,,17.0,10.0,1.0,,5.0,6.0,7.0,17.0,2.0,2.0,,,,,,82.0,37.0,7.0,15.0,0.0394408,5,,6.0,2.0,7.0,,2.0,Kevin,Volland,2.0,3.0,,1.0,,1.0,,1.0,,3.0,,0.4066,,2.0,,2.0,,2.0,2.0,,,1.0,,,,,,2.0
11996503,away,1. FC Union Berlin,Benedict Hollerbach,benedict-hollerbach,B. Hollerbach,F,17,181,519,M,975800,EUR,990057600,F,16,16,False,,15.0,13.0,,,3.0,3.0,10.0,12.0,,3.0,,,,,,63.0,34.0,6.6,11.0,0.0545085,3,,,2.0,7.0,,1.0,,,1.0,2.0,,2.0,,,,4.0,1.0,1.0,,0.1935,0.0482,3.0,1.0,1.0,,,1.0,,2.0,,,,,,,
11996503,away,1. FC Union Berlin,Yorbe Vertessen,yorbe-vertessen,Y. Vertessen,F,11,176,940,M,909958,EUR,978912000,F,14,14,True,,4.0,4.0,,,,,4.0,5.0,,1.0,,,,,,27.0,15.0,6.8,4.0,0.00531756,3,,1.0,1.0,2.0,,,,,,3.0,,1.0,,,,2.0,1.0,,1.0,0.1711,0.3168,2.0,2.0,,,,2.0,,,1.0,,,,,,
11996503,away,1. FC Union Berlin,Diogo Leite,leite-diogo,D. Leite,D,4,188,993,M,855663,EUR,917049600,D,4,4,True,,15.0,7.0,6.0,1.0,3.0,6.0,4.0,9.0,1.0,1.0,,,,,,26.0,18.0,6.5,8.0,0.00804951,0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Alex Král,alex-kral,A. Král,M,33,185,619,M,825740,EUR,895536000,M,33,33,True,,5.0,3.0,,,,,3.0,5.0,1.0,1.0,,,,,,14.0,7.0,6.6,2.0,0.00409755,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Jérôme Roussillon,jerome-roussillon,J. Roussillon,D,21,175,187,M,146500,EUR,726278400,D,26,26,True,,3.0,2.0,1.0,,,,2.0,4.0,1.0,,,,,,,8.0,8.0,6.7,3.0,0.00161641,0,,1.0,,,,,,,1.0,3.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Brenden Aaronson,brenden-aaronson,B. Aaronson,M,11,178,2605,M,973431,EUR,972172800,M,7,7,True,,5.0,2.0,1.0,1.0,,,2.0,6.0,,1.0,,,,,,8.0,8.0,6.8,5.0,0.0637699,0,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Alexander Schwolow,alexander-schwolow,A. Schwolow,G,25,189,159,M,134778,EUR,707443200,G,37,37,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Paul Jaeckel,paul-jaeckel,P. Jaeckel,D,3,189,73,M,856668,EUR,901065600,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Chris Bedia,chris-bedia,C. Bedia,F,29,189,740,M,359236,EUR,825984000,F,11,11,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11996503,away,1. FC Union Berlin,Mikkel Kaufmann,mikkel-kaufmann,M. K. Sorensen,F,29,190,279,M,918437,EUR,978480000,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
