match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_wonContest,stat_bigChanceCreated,stat_errorLeadToAShot,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_lastManTackle,stat_errorLeadToAGoal
13981658,home,Fiorentina,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,43,43,False,True,25.0,16.0,13.0,4.0,0.0,14.0,15.0,2.0,10.0,1.0,8.0,1.0,2.0,90.0,31.0,6.1,9.0,0.00050418,27.590755897779,5.0,18.956734480305,0.0557,0,-0.3906,0.04,0.01,-0.17,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,home,Fiorentina,Dodô,,,dodo,Dodô,D,2,166,3348,M,,822518,EUR,911260800,D,2,2,False,,69.0,58.0,5.0,2.0,0.0,18.0,21.0,40.0,48.0,2.0,4.0,,,90.0,101.0,6.9,21.0,0.0826738,393.22212513391,29.0,262.59352986136,,0,,0.34,0.38,-0.24,,6.0,2.0,1.0,3.0,5.0,1.0,2.0,1.0,2.0,3.0,4.0,42.976838578117,171.52376257361,7.0,2.0,,,,,,,,,,,,,,,,,,,,,
13981658,home,Fiorentina,Pietro Comuzzo,Pietro Comuzzo,,comuzzo-pietro,P. Comuzzo,D,15,185,1322,M,,1210848,EUR,1108857600,D,15,15,False,,59.0,55.0,1.0,1.0,0.0,38.0,40.0,17.0,19.0,4.0,3.0,,,90.0,69.0,6.5,5.0,0.00575992,51.167140583894,9.0,22.363466678527,,1,,0.08,0.07,-0.17,,,,1.0,3.0,3.0,,,1.0,,1.0,,,,,,2.0,1.0,2.0,1.0,1.0,0.1074,-0.3,,,,,,,,,,,,,,
13981658,home,Fiorentina,Marin Pongračić,,,marin-pongracic,M. Pongračić,D,5,193,2505,M,,847467,EUR,873936000,D,5,5,False,,59.0,55.0,5.0,4.0,0.0,42.0,42.0,13.0,17.0,7.0,2.0,,,90.0,72.0,6.9,5.0,0.00256503,166.46293075052,22.0,30.257738041671,,0,,0.03,0.06,-0.14,,,,5.0,3.0,5.0,,,,1.0,1.0,,21.204126834008,25.160051689136,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,
13981658,home,Fiorentina,Fabiano Parisi,,,fabiano-parisi,F. Parisi,D,65,178,788,M,,972886,EUR,973728000,D,65,65,False,,60.0,52.0,5.0,3.0,0.0,27.0,28.0,25.0,32.0,2.0,10.0,,,90.0,88.0,7.0,15.0,0.166535,159.05126663863,17.0,101.92858316862,,1,,0.31,0.11,-0.08,,6.0,3.0,,3.0,6.0,,1.0,2.0,1.0,1.0,5.0,25.917065008491,49.488774853883,2.0,3.0,1.0,1.0,1.0,1.0,,0.0523,-0.08,1.0,,,,,,,,,,,,,
13981658,home,Fiorentina,Rolando Mandragora,,,rolando-mandragora,R. Mandragora,M,8,183,2103,M,,548178,EUR,867542400,M,8,8,False,,22.0,21.0,1.0,1.0,1.0,6.0,6.0,15.0,16.0,,3.0,,,73.0,33.0,6.9,3.0,0.0118126,32.254876856341,5.0,11.492823235718,,5,,-0.09,0.18,-0.09,,1.0,,2.0,3.0,4.0,1.0,,,,1.0,,,,,2.0,,2.0,2.0,1.0,2.0,0.2493,-0.51,,1.0,2.0,0.5671,,,,,,,,,,
13981658,home,Fiorentina,Nicolò Fagioli,,,nicolo-fagioli,N. Fagioli,M,44,178,4280,M,nicolofagioli,901850,EUR,981936000,M,44,44,False,,69.0,64.0,9.0,8.0,0.0,30.0,30.0,34.0,39.0,1.0,6.0,,,90.0,89.0,8.1,11.0,0.32724,188.71091718619,28.0,58.188731884394,,0,,0.58,0.21,-0.02,,2.0,,,3.0,9.0,,3.0,,,1.0,6.0,,,,4.0,,,,,,,,3.0,,,,3.0,1.0,,,,,,,,
13981658,home,Fiorentina,Marco Brescianini,,,marco-brescianini,M. Brescianini,M,4,188,1111,M,,928800,EUR,948326400,M,4,4,False,,27.0,21.0,1.0,,0.0,8.0,10.0,13.0,17.0,3.0,,,,73.0,36.0,6.2,7.0,0.00349775,40.851746388866,4.0,6.1634219283177,,1,,-0.18,0.01,-0.12,,1.0,,1.0,3.0,1.0,,,,,,,,,,1.0,3.0,,,,,0.028,0.08,,1.0,,0.1956,,,1.0,,,,,,,
13981658,home,Fiorentina,Manor Solomon,,,manor-solomon,M. Solomon,M,19,167,5398,M,,862223,EUR,932774400,M,19,19,False,,38.0,35.0,1.0,1.0,0.0,9.0,9.0,26.0,29.0,1.0,1.0,,,85.0,53.0,8.6,6.0,0.039245,179.94224070955,18.0,102.29916856878,,2,,0.28,0.26,-0.02,,4.0,1.0,1.0,,8.0,,3.0,,,,3.0,23.853017039722,52.854150683421,3.0,2.0,,,1.0,1.0,,0.111,0.53,,1.0,1.0,0.5556,3.0,,,1.0,1.0,,,,,
13981658,home,Fiorentina,Albert Guðmundsson,,,albert-gudmundsson,A. Guðmundsson,F,10,178,3691,M,,804909,EUR,866332800,M,10,10,False,,24.0,21.0,,,0.0,3.0,4.0,18.0,20.0,,1.0,,,48.0,30.0,6.8,4.0,0.0874555,120.33092650378,10.0,50.925303607969,,2,,0.3,0.21,-0.07,,,,,2.0,2.0,,1.0,,,,1.0,14.758619745225,30.27456162714,2.0,2.0,,1.0,,,1.0,0.058,-0.17,1.0,,1.0,,1.0,,,,,,,,,
13981658,home,Fiorentina,Moise Kean,,,moise-kean,M. Kean,F,20,183,15084,M,moise_kean,835601,EUR,951696000,F,20,20,False,,17.0,13.0,,,0.0,4.0,5.0,9.0,12.0,,,,,85.0,33.0,7.6,7.0,0.0124323,35.729085366133,6.0,1.7070876517736,,8,,-0.23,0.1,0.0,,,,3.0,2.0,7.0,,1.0,,,3.0,3.0,,,,,2.0,4.0,,,,0.8771,0.4,,2.0,2.0,0.4387,1.0,,,1.0,2.0,1.0,,,,
13981658,home,Fiorentina,Jack Harrison,,,jack-harrison,J. Harrison,M,17,175,1145,M,,829570,EUR,848448000,F,17,17,True,,17.0,15.0,,,1.0,2.0,2.0,13.0,15.0,,1.0,,,42.0,29.0,7.2,9.0,0.237623,122.5534445597,14.0,55.32485578589,,0,,0.47,0.13,-0.01,,5.0,1.0,,5.0,3.0,,3.0,,,1.0,1.0,10.443498790216,13.555789316746,1.0,2.0,3.0,,,,,,,1.0,,,,2.0,,,,,,,,,
13981658,home,Fiorentina,Cher Ndour,,,ndour-cher,C. Ndour,M,27,190,2173,M,,1114422,EUR,1090886400,M,27,27,True,,4.0,2.0,1.0,,0.0,1.0,1.0,1.0,3.0,1.0,1.0,,,17.0,7.0,6.4,2.0,0.00040735,,,,,1,,0.05,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,0.0446,0.01,,,,,,,,,,,,,,
13981658,home,Fiorentina,Giovanni Fabbian,,,giovanni-fabbian,G. Fabbian,M,80,186,1385,M,,1067204,EUR,1042502400,M,80,80,True,,7.0,5.0,,,0.0,3.0,3.0,2.0,4.0,2.0,,,,17.0,16.0,6.3,4.0,0.00204382,3.4037532225471,1.0,-2.5522912467349,,0,,-0.09,-0.36,0.23,,,,,4.0,,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
13981658,home,Fiorentina,Luca Ranieri,,,luca-ranieri,L. Ranieri,D,6,187,1115,M,,893998,EUR,924825600,D,6,6,True,,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,1.0,,,,13.0,3.0,6.3,,0.00049283,,,,,0,,0.01,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,home,Fiorentina,Roberto Piccoli,,,roberto-piccoli,R. Piccoli,F,91,190,1557,M,,958982,EUR,980553600,F,91,91,True,,3.0,2.0,,,0.0,2.0,3.0,,,,1.0,,,13.0,9.0,6.3,5.0,2.141e-05,47.759473979213,3.0,25.66231855803,,0,,-0.05,0.29,0.14,,,,,4.0,1.0,,1.0,,,2.0,,21.184866099556,39.604416117398,1.0,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,
13981658,home,Fiorentina,Oliver Christensen,,,oliver-christensen,O. Christensen,G,53,190,517,M,,860306,EUR,922060800,G,53,53,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,home,Fiorentina,Luca Lezzerini,,,luca-lezzerini,L. Lezzerini,G,1,195,135,M,,139272,EUR,796003200,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981658,home,Fiorentina,Robin Gosens,,,robin-gosens,R. Gosens,D,21,183,3165,M,,377118,EUR,773366400,D,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
