match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_accurateCross,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goodHighClaim,stat_punches,stat_clearanceOffLine,stat_totalOffside
12117184,home,Internacional,Lucca Drummond,lucca-drummond,Lucca,F,,191,256,M,1878437,EUR,1073865600,F,48,48,True,,,,,,,,,,,,,,,,,,,,,0,,Lucca Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,away,Athletico,Léo Linck,leo-linck,L. Linck,G,24,194,1042,M,1119887,EUR,983577600,G,24,24,False,,31.0,21.0,12.0,2.0,0.0,20.0,23.0,1.0,8.0,3.0,1.0,1.0,,,90.0,38.0,6.4,10.0,0.00012396,0,-0.7523,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,
12117184,away,Athletico,Leonardo Godoy,leonardo-godoy,L. Godoy,D,29,174,518,M,794006,EUR,799027200,D,29,29,False,,24.0,22.0,2.0,1.0,0.0,16.0,17.0,7.0,8.0,2.0,,,,,59.0,42.0,7.3,8.0,0.0462984,0,,,,1.0,1.0,1.0,3.0,4.0,,,2.0,1.0,,1.0,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,
12117184,away,Athletico,Thiago Heleno,thiago-heleno,T. Heleno,D,44,185,283,M,33106,EUR,590457600,D,44,44,False,True,46.0,40.0,6.0,3.0,0.0,33.0,35.0,7.0,11.0,2.0,,,,,90.0,63.0,7.3,6.0,0.0101441,0,,,,,4.0,2.0,4.0,4.0,,,9.0,3.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
12117184,away,Athletico,Mateo Gamarra,gamarra-mateo,M. Gamarra,D,14,185,727,M,1085451,EUR,972000000,D,15,15,False,,78.0,63.0,17.0,7.0,0.0,49.0,56.0,14.0,22.0,7.0,,,,,90.0,94.0,7.0,18.0,0.00366084,1,,,,,,3.0,2.0,5.0,,,4.0,4.0,1.0,2.0,,2.0,,1.0,0.0448,,1.0,,,,,1.0,,,,,,,,,
12117184,away,Athletico,Fernando,fernando,Fernando,D,17,181,188,M,1017746,EUR,937267200,D,6,6,False,,33.0,30.0,2.0,2.0,0.0,15.0,17.0,15.0,16.0,3.0,,,,,59.0,47.0,6.7,3.0,0.0139337,0,,,,,1.0,2.0,3.0,5.0,,,1.0,,2.0,,,,3.0,1.0,,,1.0,,,,,,,,,,,,,,
12117184,away,Athletico,Bruno Zapelli,bruno-zapelli,Bruno Zapelli,M,10,181,1443,M,1092354,EUR,1021507200,M,10,10,False,,34.0,26.0,2.0,1.0,1.0,7.0,8.0,21.0,28.0,8.0,,,,,90.0,65.0,7.6,18.0,0.283044,0,,,,2.0,1.0,,9.0,7.0,4.0,,1.0,,2.0,2.0,2.0,5.0,4.0,2.0,,3.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,
12117184,away,Athletico,Fernandinho,fernandinho,Fernandinho,M,,179,1901,M,13630,EUR,484012800,M,5,5,False,,49.0,39.0,7.0,3.0,0.0,20.0,22.0,19.0,27.0,7.0,,,,,80.0,66.0,7.4,12.0,0.0210807,0,,,,,,2.0,1.0,8.0,,,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,2.0,2.0,,,,,,,,,,,
12117184,away,Athletico,João Cruz,joao-cruz,J. Cruz,M,8,172,469,M,1485226,EUR,1147392000,M,57,57,False,,31.0,24.0,3.0,1.0,0.0,12.0,15.0,13.0,21.0,2.0,,,,,70.0,45.0,7.1,13.0,0.0242545,3,,,,5.0,1.0,,4.0,2.0,,1.0,1.0,,,2.0,,2.0,,1.0,0.264,,2.0,1.0,,,,1.0,,1.0,1.0,0.6725,,,,,
12117184,away,Athletico,Agustín Canobbio,agustin-canobbio,A. Canobbio,M,17,175,3082,M,846413,EUR,907200000,F,14,14,False,,17.0,12.0,,,0.0,2.0,2.0,10.0,18.0,2.0,,,,,70.0,31.0,7.6,12.0,0.266479,1,,,,3.0,1.0,1.0,6.0,3.0,1.0,,,,,1.0,1.0,2.0,,,0.2336,2.0,3.0,,2.0,1.0,1.0,,,1.0,1.0,0.2633,,,,,1.0
12117184,away,Athletico,Lucas Di Yorio,lucas-di-yorio,L. D. Yorio,F,9,190,908,M,838303,EUR,848620800,F,7,7,False,,12.0,9.0,,,0.0,7.0,9.0,2.0,3.0,1.0,,,,,90.0,30.0,6.6,9.0,0.0013542,3,,,,,5.0,1.0,8.0,6.0,1.0,,1.0,,,1.0,,5.0,3.0,1.0,0.3343,,1.0,,1.0,1.0,,2.0,1.0,1.0,,0.3453,,,,,
12117184,away,Athletico,Julimar,julimar,Julimar,F,20,188,376,M,1167536,EUR,980380800,F,20,20,False,,31.0,27.0,2.0,2.0,0.0,7.0,8.0,20.0,23.0,4.0,,,,,90.0,44.0,6.7,7.0,0.0456031,3,,,,,2.0,2.0,9.0,4.0,,1.0,2.0,,1.0,,,,1.0,3.0,0.4618,1.0,1.0,,4.0,1.0,,,1.0,2.0,,0.5007,,,,,1.0
12117184,away,Athletico,Lucas Esquivel,lucas-esquivel,L. Esquivel,D,37,183,1067,M,1087079,EUR,1003017600,D,37,37,True,,18.0,13.0,4.0,2.0,0.0,9.0,12.0,4.0,6.0,3.0,,,,,31.0,39.0,6.4,9.0,0.00237255,0,,Lucas Esquivel,,,1.0,1.0,6.0,3.0,,,7.0,,1.0,1.0,,,1.0,2.0,,,1.0,,2.0,,,,,,,,,,,,
12117184,away,Athletico,Erick,erick,Erick,M,14,176,1116,M,874063,EUR,879465600,M,26,26,True,,12.0,12.0,,,0.0,10.0,10.0,2.0,2.0,1.0,,,,,31.0,18.0,6.5,,0.00152134,0,,,,,1.0,,2.0,2.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,
12117184,away,Athletico,Felipinho,felipinho,Felipinho,M,5,183,272,M,1107060,EUR,1003363200,D,23,23,True,,4.0,3.0,,,0.0,2.0,3.0,1.0,1.0,,,,,,20.0,11.0,6.9,1.0,0.00018998,0,,Felipinho,,,1.0,,1.0,4.0,,,,2.0,,2.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,
12117184,away,Athletico,Tomás Cuello,tomas-cuello,T. Cuello,M,28,176,1951,M,871273,EUR,952214400,F,28,28,True,,6.0,3.0,1.0,,0.0,1.0,2.0,2.0,4.0,1.0,,,,,20.0,11.0,6.6,4.0,0.0246289,1,,,,,,,,,,1.0,,,,,,1.0,,,0.0345,1.0,,,,,,,,,,,,,,,
12117184,away,Athletico,Kaique Rocha,kaique-rocha,K. Rocha,D,27,195,456,M,963990,EUR,983318400,D,4,4,True,,2.0,,,,0.0,,2.0,,,,,,,,10.0,8.0,6.7,3.0,,0,,,,,,2.0,,2.0,,,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
12117184,away,Athletico,Mycael,mycael,Mycael,G,1,191,790,M,1128850,EUR,1079049600,G,41,41,True,,,,,,,,,,,,,,,,,,,,,0,,Mycael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,away,Athletico,Lucas Belezi,belezi-lucas,L. Belezi,D,45,186,218,M,1130040,EUR,1052352000,D,45,45,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,away,Athletico,Madson,madson,Madson,D,22,182,227,M,243439,EUR,695260800,D,22,22,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,away,Athletico,Nikão,nikao,Nikão,M,11,174,442,M,139300,EUR,712368000,M,11,11,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,away,Athletico,Zé Vitor,ze-vitor,Z. Vitor,M,8,194,77,M,1188028,EUR,957225600,M,30,30,True,,,,,,,,,,,,,,,,,,,,,0,,Zé Vitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,away,Athletico,Pablo,pablo,Pablo,F,92,185,909,M,374486,EUR,709257600,F,92,92,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117184,away,Athletico,Gonzalo Mastriani,gonzalo-mastriani,G. Mastriani,F,39,180,1585,M,345847,EUR,735955200,F,9,9,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
