match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_interceptionWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_challengeLost,stat_outfielderBlock,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_dispossessed,stat_hitWoodwork,stat_totalOffside,stat_keyPass,stat_bigChanceMissed,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_goals,stat_goalAssist,stat_crossNotClaimed,stat_punches,stat_lastManTackle
11451076,home,Kayserispor,Stéphane Bahoken,stephane-bahoken,S. Bahoken,F,,185,234,M,153220,EUR,707011200,F,13,13,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Ertuğrul Taşkıran,ertugrul-taskiran,E. Taşkıran,G,1,191,137,M,105974,EUR,626227200,G,1,1,False,23.0,16.0,9.0,2.0,14.0,15.0,2.0,8.0,1.0,1.0,,9.0,1.0,2.0,2.0,3.0,90.0,37.0,7.1,7.0,0.00054414,0,0.2906,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
11451076,away,Alanyaspor,Florent Hadergjonaj,florent-hadergjonaj,F. Hadergjonaj,D,94,183,410,M,354860,EUR,775612800,D,94,94,False,21.0,16.0,2.0,1.0,7.0,9.0,9.0,13.0,,1.0,1.0,1.0,,,,,83.0,36.0,6.5,7.0,0.0167121,0,,1.0,,1.0,3.0,2.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Fatih Aksoy,fatih-aksoy,F. Aksoy,D,20,189,69,M,827922,EUR,878774400,D,20,20,False,29.0,24.0,3.0,1.0,18.0,19.0,6.0,10.0,1.0,3.0,,4.0,1.0,,,,76.0,40.0,6.8,6.0,0.00244279,1,,,,1.0,2.0,1.0,1.0,,4.0,,,,0.0795,,,,,1.0,,0.156,1.0,,,,,,,,,,,,
11451076,away,Alanyaspor,Furkan Bayır,furkan-bayir,F. Bayır,D,23,188,77,M,1003161,EUR,950054400,D,4,4,False,45.0,38.0,7.0,2.0,28.0,31.0,10.0,14.0,2.0,3.0,,3.0,,,,,90.0,58.0,6.9,7.0,0.00273766,2,,,,,1.0,,,1.0,8.0,1.0,,1.0,0.2925,,1.0,,,,,,,,,,,,1.0,,,,,,
11451076,away,Alanyaspor,Fidan Aliti,fidan-aliti,F. Aliti,D,5,182,320,M,385296,EUR,749606400,D,5,5,False,49.0,41.0,9.0,3.0,30.0,33.0,11.0,16.0,1.0,4.0,,2.0,3.0,,,,90.0,60.0,6.7,8.0,0.00417781,1,,,,4.0,6.0,,,,6.0,,,1.0,0.0576,1.0,,,,1.0,,0.2407,,,,,,,,,,,,,
11451076,away,Alanyaspor,Yusuf Özdemir,yusuf-ozdemir,Y. Özdemir,M,88,181,157,M,1084884,EUR,979084800,D,88,88,False,28.0,19.0,5.0,1.0,5.0,11.0,15.0,18.0,,5.0,,1.0,3.0,,,,90.0,46.0,6.5,12.0,0.0293593,0,,1.0,1.0,2.0,4.0,1.0,,,1.0,2.0,1.0,1.0,,,1.0,Yusuf Ozdemir,,,1.0,,,,,,,,,,,,,,
11451076,away,Alanyaspor,Efecan Karaca,efecan-karaca,E. Karaca,M,7,166,109,M,60510,EUR,627177600,M,7,7,False,24.0,20.0,3.0,3.0,8.0,8.0,13.0,18.0,,6.0,,2.0,3.0,,,,90.0,39.0,7.2,7.0,0.0502639,0,,2.0,1.0,,1.0,,,,,3.0,1.0,1.0,,,,,,,2.0,,,,,1.0,,,,True,,,,,
11451076,away,Alanyaspor,João Novais,joao-novais,J. Novais,M,7,183,160,M,233370,EUR,742262400,M,10,10,False,34.0,22.0,7.0,3.0,13.0,17.0,12.0,25.0,1.0,8.0,,6.0,2.0,,,,90.0,64.0,7.3,24.0,0.296849,1,,8.0,3.0,,4.0,6.0,4.0,,1.0,1.0,,,0.0513,,,,,1.0,1.0,0.3464,2.0,,,2.0,,,,,,,,,
11451076,away,Alanyaspor,Nicolas Janvier,nicolas-janvier,N. Janvier,M,17,171,91,M,802150,EUR,902793600,M,17,17,False,47.0,39.0,10.0,7.0,20.0,24.0,19.0,24.0,,1.0,,8.0,1.0,,,,90.0,55.0,6.7,10.0,0.0119847,1,,1.0,,,2.0,,,,1.0,,,2.0,0.0151,,,,,,,,,,,,,,1.0,,,,,,
11451076,away,Alanyaspor,Oğuz Aydın,oguz-aydin,O. Aydın,M,70,183,3374,M,999396,EUR,972604800,M,11,11,False,17.0,14.0,4.0,2.0,4.0,6.0,11.0,14.0,,2.0,,3.0,,,,,63.0,24.0,7.4,5.0,0.384663,0,,3.0,1.0,,3.0,1.0,1.0,,,1.0,1.0,,,3.0,,,,,,,,,,5.0,,1.0,,,,,,,
11451076,away,Alanyaspor,Carlos Eduardo,carlos-eduardo,Carlos Eduardo,F,96,173,354,M,795295,EUR,844905600,F,28,28,False,14.0,10.0,,,1.0,2.0,9.0,12.0,3.0,6.0,,1.0,1.0,,,,83.0,32.0,6.7,13.0,0.0102948,2,,,,2.0,6.0,2.0,1.0,,3.0,1.0,1.0,1.0,0.7238,1.0,,,,2.0,5.0,1.0421,2.0,,2.0,,1.0,,,,,,,,1.0
