match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_aerialLost,stat_outfielderBlock,stat_wonTackle,player_sofascoreId,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalCross,stat_totalContest,stat_blockedScoringAttempt,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_goalAssist,stat_shotOffTarget,stat_wasFouled,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_penaltyWon
11453084,away,Al-Hilal,Malcom,,,malcom,Malcom,M,10,171,13905,M,551772,EUR,856915200,M,77,77,False,32.0,29.0,,,5.0,5.0,24.0,27.0,5.0,1.0,,5.0,,1.0,,,,,76.0,45.0,6.3,12.0,1,,1.0,,,,,,malcomoliveira_97,,,,,,,3.0,1.0,,1.0,,,,,,1.0,,,,
11453084,away,Al-Hilal,Salem Al-Dawsari,,,salem-al-dawsari,S. Al-Dawsari,M,29,171,11126,M,160893,EUR,682560000,M,29,29,False,47.0,39.0,2.0,1.0,12.0,14.0,27.0,35.0,5.0,7.0,,3.0,,2.0,,,,,89.0,59.0,7.4,14.0,3,,1.0,,,1.0,,,29salem,True,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,1.0,,,,1.0,,,,
11453084,away,Al-Hilal,Aleksandar Mitrović,,,aleksandar-mitrovic,A. Mitrović,F,9,189,24095,M,192144,EUR,779673600,F,9,9,False,6.0,4.0,,,1.0,2.0,3.0,4.0,3.0,,,1.0,,,,,,,34.0,13.0,8.4,4.0,2,,2.0,,,2.0,,,AleksMitrović,,,2.0,2.0,,,,,,1.0,,,,,,2.0,,,,1.0
11453084,away,Al-Hilal,Saleh Al-Shehri,,,saleh-al-shehri,S. Al-Shehri,F,11,184,1112,M,818779,EUR,752112000,F,11,11,True,23.0,16.0,3.0,3.0,4.0,5.0,12.0,18.0,5.0,2.0,,,,1.0,,,,,56.0,36.0,7.1,9.0,2,3.0,7.0,,1.0,2.0,1.0,1.0,,,,,,,,2.0,1.0,,1.0,,1.0,1.0,,1.0,2.0,,,,
11453084,away,Al-Hilal,Salman Al-Faraj,,,salman-al-faraj,S. Al-Faraj,M,7,180,489,M,148858,EUR,617932800,M,7,7,True,10.0,9.0,2.0,1.0,6.0,6.0,3.0,4.0,2.0,1.0,,1.0,,,,,,,14.0,14.0,6.6,2.0,0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11453084,away,Al-Hilal,Hassan Al Tambakti,,,hassan-al-tambakti,H. A. Tambakti,D,87,182,1188,M,881837,EUR,918518400,D,87,87,True,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,2.0,,1.0,0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11453084,away,Al-Hilal,Mohamed Kanno,,,mohamed-kanno,M. Kanno,M,28,191,1575,M,828524,EUR,780192000,M,28,28,True,3.0,3.0,,,2.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,1.0,5.0,,1.0,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
11453084,away,Al-Hilal,Mohammed Al-Owais,,,mohammed-al-owais,M. Al-Owais,G,33,185,753,M,791416,EUR,687052800,G,21,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453084,away,Al-Hilal,Mohammed Jahfali,,,mohammed-jahfali,M. Jahfali,D,70,185,103,M,791561,EUR,656726400,D,70,70,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453084,away,Al-Hilal,Khalifah Al-Dawsari,,,khalifah-al-dawsari,K. Al-Dawsari,D,4,176,460,M,931837,EUR,915235200,D,4,4,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453084,away,Al-Hilal,Mohammed Al-Qahtani,Mohammed Al-Qahtani,,al-qahtani-mohammed,M. Al-Qahtani,M,15,167,790,M,1134261,EUR,1027382400,M,56,56,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453084,away,Al-Hilal,Abdullah Al-Hamdan,,,abdullah-al-hamdan,A. Al-Hamdan,F,9,185,1411,M,915991,EUR,937094400,F,14,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
