match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_errorLeadToAGoal,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_lastManTackle,stat_ownGoals,stat_totalContest,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_totalOffside,stat_clearanceOffLine
11352569,away,Luton Town,Jacob Brown,,,jacob-brown,J. Brown,F,40,178,156,M,858911,EUR,892166400,F,19,19,False,23.0,13.0,1.0,,4.0,6.0,9.0,17.0,10.0,7.0,4.0,1.0,,3.0,,,,,,,90.0,49.0,6.6,18.0,0.0147329,1,,,,3.0,6.0,10.0,2.0,,,,3.0,1.0,,,,,,0.0474,,3.0,,,1.0,,,,,,,1.0,,,
11352569,away,Luton Town,Elijah Adebayo,,,adebayo-elijah,E. Adebayo,F,11,193,980,M,920542,EUR,884131200,F,11,11,False,10.0,9.0,,,1.0,1.0,8.0,9.0,9.0,3.0,1.0,,,3.0,,,,,,,71.0,35.0,6.8,11.0,0.0217758,1,,,,3.0,5.0,11.0,,1.0,,,2.0,1.0,2.0,,,1.0,,0.0761,0.3453,2.0,,,6.0,,,,,1.0,,,,,
11352569,away,Luton Town,Carlton Morris,,,carlton-morris,C. Morris,F,9,185,1069,M,358222,EUR,819072000,F,9,9,True,8.0,5.0,,,1.0,1.0,4.0,8.0,3.0,1.0,,,,,,,,,,,19.0,11.0,7.3,4.0,0.00271145,0,,1.0,,4.0,2.0,7.0,,,,,,3.0,,,,,,,,,,,1.0,,,,,1.0,,,,,
11352569,away,Luton Town,Chiedozie Ogbene,,,ogbene-chiedozie,C. Ogbene,M,19,181,757,M,849309,EUR,862444800,F,7,7,True,8.0,6.0,2.0,1.0,2.0,2.0,4.0,7.0,3.0,,2.0,,,1.0,,,,,,,18.0,19.0,6.5,10.0,0.00062821,0,,1.0,,,,3.0,,,,,,,,,,,,,,,,,5.0,,,,,2.0,,,,,
11352569,away,Luton Town,Mads Juel Andersen,,,mads-juel-andersen,M. J. Andersen,D,5,194,150,M,841005,EUR,883180800,D,5,5,True,6.0,3.0,2.0,,1.0,3.0,2.0,3.0,1.0,3.0,,,,,,,,,,,12.0,10.0,6.5,4.0,0.00031106,0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11352569,away,Luton Town,Pelly Ruddock Mpanzu,,,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175,298,M,387116,EUR,742867200,M,17,17,True,4.0,2.0,,,1.0,2.0,1.0,2.0,2.0,,1.0,,,2.0,,,,,,,16.0,6.0,6.6,2.0,0.00015523,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352569,away,Luton Town,James Shea,,,james-shea,J. Shea,G,1,180,47,M,137789,EUR,677030400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352569,away,Luton Town,Tim Krul,,,tim-krul,T. Krul,G,,193,418,M,18154,EUR,576028800,G,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352569,away,Luton Town,Luke Berry,,,luke-berry,L. Berry,M,8,177,75,M,97465,EUR,710899200,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352569,away,Luton Town,Tahith Chong,,,tahith-chong,T. Chong,M,24,185,1632,M,825845,EUR,944265600,M,14,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352569,away,Luton Town,Cauley Woodrow,,,cauley-woodrow,C. Woodrow,F,12,184,112,M,140487,EUR,786326400,F,10,10,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
