match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_keyPass,stat_wonContest,stat_shotOffTarget,stat_fouls,stat_expectedGoals,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_dispossessed,stat_blockedScoringAttempt,stat_wasFouled,captain,stat_bigChanceCreated,stat_accurateCross,stat_bigChanceMissed,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_penaltyConceded,stat_totalOffside
12513650,away,Sporting Braga,João Moutinho,joao-moutinho,J. Moutinho,M,8,171,1563,M,6562,EUR,526521600,M,8,8,False,65.0,54.0,11.0,5.0,0.0,32.0,33.0,22.0,32.0,7.0,,,,,90.0,77.0,7.1,11.0,0.0281149,1,,,2.0,,6.0,4.0,2.0,1.0,1.0,,3.0,1.0,,,,1.0,1.0,3.0,0.0292,,,,,,,,,,2.0,,,,,,,,,,
12513650,away,Sporting Braga,Uroš Račić,uros-racic,U. Račić,M,10,193,669,M,839909,EUR,890092800,M,10,10,False,14.0,12.0,2.0,2.0,0.0,3.0,3.0,9.0,11.0,,,,,,45.0,22.0,6.3,4.0,0.00689745,0,,,1.0,1.0,5.0,1.0,,1.0,2.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,
12513650,away,Sporting Braga,Ricardo Horta,ricardo-horta,R. Horta,M,21,173,2145,M,314380,EUR,779587200,M,21,21,False,35.0,27.0,4.0,2.0,0.0,8.0,10.0,19.0,28.0,6.0,,,,,90.0,51.0,7.2,15.0,0.057234,1,,3.0,1.0,,3.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,,2.0,1.0,,,0.1136,,,,,,,1.0,1.0,1.0,1.0,True,,,,,,,,,
12513650,away,Sporting Braga,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174,2789,M,966575,EUR,934416000,M,16,16,False,33.0,26.0,2.0,1.0,0.0,3.0,3.0,25.0,34.0,6.0,,,,,90.0,61.0,7.2,18.0,0.161344,2,,4.0,4.0,4.0,11.0,12.0,1.0,8.0,,,,,,,2.0,4.0,2.0,,0.0422,,,,,,,1.0,2.0,,4.0,,,2.0,,,,,,,
12513650,away,Sporting Braga,Ismael Gharbi,gharbi-ismael,I. Gharbi,M,11,173,7580,M,1113488,EUR,1081555200,M,20,20,False,23.0,19.0,1.0,1.0,0.0,8.0,9.0,11.0,19.0,4.0,,,,,45.0,44.0,6.5,13.0,0.0168122,1,,5.0,1.0,,7.0,5.0,1.0,3.0,1.0,,1.0,2.0,2.0,,,1.0,,1.0,0.0623,,,,,,,,2.0,1.0,2.0,,,,,,,,,,
12513650,away,Sporting Braga,Fran Navarro,fran-navarro,F. Navarro,F,39,179,1028,M,914772,EUR,886464000,F,39,39,False,7.0,5.0,,,0.0,2.0,2.0,3.0,5.0,1.0,,,,,60.0,14.0,6.3,5.0,0.011631,1,,,2.0,1.0,3.0,2.0,,,,,,,,,,,,,0.4546,,,1.0,,0.2506,,2.0,1.0,,1.0,,,,1.0,,,,,,2.0
12513650,away,Sporting Braga,Robson Bambu,robson-bambu,R. Bambu,D,3,184,362,M,923186,EUR,879292800,D,3,3,True,39.0,35.0,4.0,1.0,0.0,28.0,30.0,7.0,9.0,3.0,,,,,45.0,44.0,6.9,4.0,0.00325568,0,,,1.0,1.0,2.0,2.0,,,2.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,2.0
12513650,away,Sporting Braga,Jean-Baptiste Gorby,jean-baptiste-gorby,J. Gorby,M,29,181,4294,M,1120039,EUR,1027555200,M,29,29,True,29.0,24.0,4.0,3.0,0.0,18.0,18.0,6.0,11.0,3.0,,,,,45.0,34.0,6.6,9.0,0.00607569,0,,,,,3.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,3.0,1.0,,,,,,,,,,,,
12513650,away,Sporting Braga,Roger Fernandes,roger-fernandes,R. Fernandes,M,78,170,2450,M,1128560,EUR,1132531200,F,11,11,True,15.0,14.0,2.0,2.0,0.0,6.0,6.0,9.0,17.0,3.0,,,,,45.0,35.0,7.8,12.0,0.068485,3,,8.0,1.0,,1.0,5.0,,1.0,,,,2.0,,,2.0,1.0,,,0.0945,,,1.0,,0.1453,,3.0,,2.0,2.0,,1.0,1.0,,,,,,,
12513650,away,Sporting Braga,Amine El Ouazzani,el-ouazzani-amine,A. E. Ouazzani,F,9,188,2047,M,1014048,EUR,995155200,F,9,9,True,7.0,4.0,,,0.0,1.0,2.0,3.0,5.0,,,,,,30.0,9.0,6.2,4.0,0.00410599,0,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
12513650,away,Sporting Braga,Tiago Sá,tiago-sa,T. Sá,G,12,188,145,M,344159,EUR,789782400,G,12,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513650,away,Sporting Braga,João Ferreira,joao-ferreira,J. Ferreira,D,13,185,384,M,976401,EUR,985219200,D,13,13,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513650,away,Sporting Braga,Adrián Marín,adrian-marin,A. Marín,D,21,181,96,M,547242,EUR,852768000,D,19,19,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513650,away,Sporting Braga,Vítor Carvalho,vitor-carvalho,V. Carvalho,M,6,183,434,M,887754,EUR,864691200,M,6,6,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513650,away,Sporting Braga,Gabriel Martínez,gabriel-martinez,G. Martínez,M,77,185,489,M,1134430,EUR,1043193600,F,77,77,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Gabriel Martínez,,,,,,,,,,,,,,,,,,,
