match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_punches,stat_outfielderBlock,stat_clearanceOffLine,stat_totalOffside
12437718,home,Las Palmas,Enzo Loiodice,,,loiodice-enzo,E. Loiodice,M,12,176,327,M,933426,EUR,975283200,M,12,12,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,home,Las Palmas,Dário Essugo,,,dario-essugo,D. Essugo,M,14,178,9115,M,1110006,EUR,1110758400,M,29,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,home,Las Palmas,Marc Cardona,,,marc-cardona,M. Cardona,F,22,182,195,M,841854,EUR,805161600,F,9,9,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437718,away,Athletic Club,Julen Agirrezabala,,,julen-agirrezabala,J. Agirrezabala,G,25,187,1097,M,1014412,EUR,977788800,G,13,13,False,24.0,15.0,17.0,8.0,0.0,10.0,12.0,12.0,1.0,5.0,1.0,3.0,,,90.0,32.0,7.1,9.0,0.00129842,0,-0.7138,5.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,
12437718,away,Athletic Club,Óscar de Marcos,,,oscar-de-marcos,Ó. de Marcos,D,10,180,561,M,52663,EUR,608515200,D,18,18,False,31.0,21.0,5.0,,0.0,9.0,16.0,16.0,2.0,5.0,,,,,77.0,51.0,6.7,11.0,0.00747258,0,,12.0,1.0,,,,1.0,4.0,,1.0,2.0,3.0,1.0,,,1.0,,,,,,,,True,1.0,,,,,,,,,
12437718,away,Athletic Club,Daniel Vivian,,,daniel-vivian,D. Vivian,D,3,183,3110,M,910978,EUR,931132800,D,3,3,False,33.0,24.0,5.0,,0.0,12.0,16.0,17.0,9.0,6.0,,,,,90.0,55.0,7.3,9.0,0.00686956,0,,12.0,,,2.0,2.0,3.0,7.0,,,2.0,3.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,3.0,,
12437718,away,Athletic Club,Aitor Paredes,,,aitor-paredes,A. Paredes,D,4,186,1132,M,959872,EUR,956966400,D,4,4,False,34.0,23.0,8.0,2.0,0.0,19.0,22.0,12.0,5.0,5.0,,,,,90.0,45.0,7.7,12.0,0.00082117,1,,4.0,,,,1.0,1.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,0.8723,0.9874,,,,,,,,,,2.0,1.0,
12437718,away,Athletic Club,Yuri Berchiche,,,yuri-berchiche,Y. Berchiche,D,17,181,1146,M,84531,EUR,634608000,D,17,17,False,43.0,33.0,5.0,2.0,0.0,19.0,25.0,20.0,7.0,9.0,,,,,90.0,74.0,7.1,16.0,0.00777298,1,,14.0,2.0,,,3.0,,7.0,,2.0,1.0,1.0,1.0,,1.0,,,,,,0.0769,,1.0,,2.0,,,1.0,,,,,,
12437718,away,Athletic Club,Mikel Jauregizar,,,mikel-jauregizar,M. Jauregizar,M,18,177,1766,M,1495844,EUR,1068681600,M,23,23,False,20.0,16.0,1.0,1.0,0.0,10.0,11.0,9.0,,3.0,,,,,56.0,32.0,6.0,6.0,0.00520755,0,,6.0,,,,2.0,5.0,6.0,,2.0,2.0,2.0,1.0,,1.0,3.0,1.0,,,,,,,,1.0,,,,,,,,,
12437718,away,Athletic Club,Iñigo Ruiz de Galarreta,,,inigo-ruiz-de-galarreta,I. R. d. Galarreta,M,16,174,944,M,96365,EUR,744595200,M,16,16,False,26.0,20.0,1.0,,0.0,7.0,7.0,20.0,,6.0,,,,,59.0,33.0,6.6,8.0,0.00877628,0,,13.0,1.0,,,,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,
