match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_duelLost,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialLost,stat_blockedScoringAttempt,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wasFouled,stat_penaltyWon,stat_wonContest,stat_outfielderBlock,stat_fouls,stat_dispossessed,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_penaltyMiss,stat_goalAssist,stat_penaltySave,stat_penaltyFaced,stat_ownGoals,stat_penaltyConceded,stat_lastManTackle,stat_errorLeadToAShot
10385602,away,Brighton & Hove Albion,Lewis Dunk,lewis-dunk,L. Dunk,D,5,190,1911,M,,115365,EUR,690681600,D,5,5,False,124.0,111.0,9.0,5.0,69.0,71.0,42.0,53.0,4.0,5.0,4.0,15.0,,,,,90.0,142.0,6.7,16.0,0.0538,0.0,0.0636162,1,,True,2.0,,,1.0,,,2.0,,,1.0,,1.0,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,1.0,,
10385602,away,Brighton & Hove Albion,Levi Colwill,levi-colwill,L. Colwill,D,6,187,17899,M,LColwill,996911,EUR,1046217600,D,6,6,False,119.0,112.0,3.0,2.0,66.0,69.0,46.0,50.0,2.0,3.0,3.0,6.0,,,,,90.0,130.0,6.1,11.0,0.2851,0.0,0.0196892,1,,,2.0,1.0,,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,1.0
10385602,away,Brighton & Hove Albion,Pervis Estupiñán,pervis-estupinan,P. Estupiñán,D,2,175,14887,M,pervisestupinan,805465,EUR,885340800,D,30,30,False,59.0,52.0,2.0,,22.0,22.0,30.0,38.0,,2.0,,7.0,,,,,72.0,72.0,5.8,11.0,0.0551,0.0,0.0214795,1,,,4.0,,2.0,1.0,,,1.0,,,1.0,,,1.0,,,,2.0,,1.0,2.0,,,1.0,1.0,,,,,,,,1.0,,1.0
10385602,away,Brighton & Hove Albion,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,87.0,76.0,4.0,,34.0,38.0,42.0,49.0,2.0,7.0,3.0,3.0,1.0,,,,90.0,105.0,6.0,14.0,0.0,0.0,0.0493207,0,,,5.0,1.0,1.0,2.0,2.0,,,,,1.0,,,,,2.0,,1.0,,,3.0,,,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Alexis Mac Allister,alexis-mac-allister,A. Mac Allister,M,10,176,71412,M,Macca10,895324,EUR,914457600,M,10,10,False,93.0,82.0,4.0,3.0,40.0,41.0,42.0,52.0,,5.0,1.0,8.0,,,,,90.0,111.0,7.6,15.0,0.3019,0.0644,0.370469,5,,,3.0,,1.0,,2.0,2.0,1.0,,,,1.0,1.0,2.0,2.0,2.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Solly March,solly-march,S. March,M,7,180,1255,M,,301288,EUR,774662400,M,7,7,False,35.0,29.0,3.0,2.0,15.0,16.0,15.0,23.0,,6.0,1.0,2.0,,,,,90.0,59.0,7.4,11.0,0.1562,0.6632,0.183923,3,,,9.0,1.0,4.0,,4.0,3.0,,,,4.0,1.0,4.0,,2.0,,,2.0,,2.0,,1.0,,,4.0,1.0,,,,,,,,,
10385602,away,Brighton & Hove Albion,Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,174,18092,M,facubuonanotte_,1117025,EUR,1103760000,M,40,40,False,31.0,23.0,2.0,1.0,8.0,10.0,15.0,21.0,,3.0,2.0,4.0,,,,,88.0,40.0,7.1,10.0,0.7165,0.63,0.0647739,1,,,4.0,3.0,1.0,,1.0,,,Facundo Buonanotte,,,,2.0,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Kaoru Mitoma,mitoma-kaoru,K. Mitoma,M,22,178,20820,M,KaoruM,936849,EUR,864086400,M,22,22,False,33.0,21.0,2.0,1.0,5.0,6.0,16.0,28.0,,4.0,,2.0,,,,,90.0,59.0,6.1,21.0,0.3664,0.4077,0.0495563,3,,,5.0,,5.0,1.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,,3.0,,1.0,2.0,,,,1.0,,1.0,,,,,,,,
10385602,away,Brighton & Hove Albion,Julio Enciso,julio-enciso,J. Enciso,M,19,173,12907,M,julioenciso.33,973556,EUR,1074816000,F,20,20,False,27.0,23.0,1.0,,6.0,7.0,17.0,21.0,,2.0,,3.0,,,,,75.0,35.0,6.6,6.0,0.4339,0.6563,0.287988,2,,,3.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,1.0,,,2.0,,,1.0,,,,1.0,,1.0,,,,,,,,
10385602,away,Brighton & Hove Albion,Danny Welbeck,danny-welbeck,D. Welbeck,F,18,185,4510,M,,33902,EUR,659577600,F,18,18,True,8.0,6.0,,,1.0,1.0,5.0,7.0,,,,1.0,,,,,18.0,9.0,6.5,3.0,0.0,0.0,0.00728661,0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Deniz Undav,deniz-undav,D. Undav,F,26,179,7434,M,denizundav,794298,EUR,837734400,F,21,21,True,8.0,6.0,,,1.0,1.0,5.0,7.0,,,,1.0,,,,,15.0,8.0,6.5,2.0,0.0,0.0,0.0671213,0,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Odeluga Offiah,odeluga-offiah,O. Offiah,D,42,187,118,M,,1069627,EUR,1035590400,D,42,42,True,6.0,4.0,,,2.0,3.0,2.0,3.0,,,,,,,,,17.0,7.0,6.1,3.0,0.0,0.0,0.0177219,0,,,1.0,1.0,,,,,1.0,Odeluga Offiah,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,18379,M,RS1,920546,EUR,879811200,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Jan Paul van Hecke,jan-paul-van-hecke,J. P. van Hecke,D,6,189,3186,M,,962012,EUR,960422400,D,29,29,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Adam Webster,adam-webster,A. Webster,D,4,191,505,M,,216308,EUR,789177600,D,4,4,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Joël Veltman,joel-veltman,J. Veltman,D,34,184,1147,M,,219572,EUR,695433600,D,34,34,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Billy Gilmour,gilmour-billy,B. Gilmour,M,6,169,4342,M,billygilmour,907668,EUR,992217600,M,27,27,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Yasin Ayari,yasin-ayari,Y. Ayari,M,26,172,2693,M,,1036269,EUR,1065398400,M,26,26,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
