match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_gender,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_totalContest,stat_wonContest,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,captain,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim
13444506,away,CD Faialense,Mirko Nufi,mirko-nufi,M. Nufi,D,4,,0,2073838,EUR,827625600,D,4,4,False,15.0,9.0,6.0,2.0,0.0,6.0,10.0,3.0,5.0,,2.0,5.0,1.0,,,73.0,25.0,6.0,8.0,0,Mirko Nufi,,,,3.0,6.0,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,True,,,
13444506,away,CD Faialense,Eoin Houlihan,eoin-houlihan,E. Houlihan,M,15,,0,2073807,EUR,858211200,D,15,15,False,26.0,20.0,7.0,4.0,0.0,16.0,16.0,4.0,10.0,,4.0,1.0,2.0,,,90.0,40.0,6.5,6.0,0,Eoin Houlihan,,,,,1.0,,6.0,3.0,2.0,,,1.0,,1.0,,,,,,,,,,,
13444506,away,CD Faialense,Denis Petro,denis-petro,D. Petro,D,,185.0,1,882059,EUR,929664000,D,3,3,False,28.0,18.0,5.0,1.0,0.0,14.0,20.0,4.0,8.0,,3.0,3.0,3.0,,,90.0,54.0,6.3,16.0,0,,,1.0,1.0,1.0,3.0,,5.0,2.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,
13444506,away,CD Faialense,Garrett Leahy,garrett-leahy,G. Leahy,M,6,,0,2073814,EUR,847497600,M,6,6,False,20.0,14.0,5.0,1.0,0.0,9.0,10.0,5.0,10.0,,5.0,2.0,1.0,,,90.0,34.0,6.6,7.0,1,Garrett Leahy,,,,,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,1.0,3.0,3.0,,,,1.0,,,,,
13444506,away,CD Faialense,Nicholas Awada,nicholas-awada,N. Awada,M,18,,0,2077385,EUR,966729600,M,18,18,False,4.0,2.0,,,0.0,1.0,1.0,1.0,3.0,,6.0,2.0,2.0,,,63.0,27.0,6.4,12.0,0,Nicholas,,2.0,,1.0,6.0,1.0,1.0,,3.0,2.0,4.0,1.0,,,2.0,1.0,Awada,2.0,,,,,,,
13444506,away,CD Faialense,Jacob Maddox,jacob-maddox,J. Maddox,M,8,,0,2073822,EUR,900460800,M,8,8,False,36.0,24.0,8.0,4.0,0.0,12.0,17.0,12.0,19.0,,7.0,3.0,,,,90.0,56.0,6.6,19.0,0,Jacob Maddox,,4.0,3.0,,6.0,,,,5.0,4.0,1.0,1.0,,,4.0,2.0,,3.0,,,,,,,
13444506,away,CD Faialense,Guilherme Barbosa,guilherme-barbosa,G. Barbosa,M,10,,0,2077384,EUR,842313600,M,10,10,False,2.0,1.0,,,0.0,1.0,2.0,,,,1.0,,,,,43.0,9.0,6.3,2.0,1,Guilherme,,,,,1.0,,1.0,,1.0,,,,,,,,Barbosa,1.0,,1.0,,,,,
13444506,away,CD Faialense,Gianluca Arlotti,gianluca-arlotti,G. Arlotti,M,12,,1,2073815,EUR,957830400,M,12,12,False,11.0,6.0,2.0,,0.0,2.0,2.0,4.0,9.0,2.0,4.0,2.0,1.0,,,64.0,24.0,6.1,12.0,0,Gianluca Arlotti,,2.0,,1.0,4.0,1.0,,,,,3.0,1.0,,,2.0,1.0,,,,,,,,1.0,
13444506,away,CD Faialense,Yanis Lakhlifi,yanis-lakhlifi,Y. Lakhlifi,F,9,,0,2073854,EUR,1007078400,F,9,9,False,11.0,9.0,,,0.0,6.0,6.0,3.0,5.0,1.0,5.0,2.0,4.0,,,73.0,23.0,6.5,7.0,1,Yanis Lakhlifi,,,,2.0,7.0,1.0,,,,,3.0,3.0,,,1.0,,,1.0,,1.0,,,,,
13444506,away,CD Faialense,Alessandro Negri,alessandro-negri,A. Negri,M,16,,0,2073862,EUR,928800000,M,16,16,True,13.0,6.0,4.0,1.0,0.0,3.0,3.0,3.0,10.0,,3.0,,1.0,,,47.0,23.0,6.7,10.0,1,Alessandro Negri,,,,2.0,3.0,,,1.0,2.0,2.0,2.0,,,1.0,,,,1.0,1.0,,,,,,
13444506,away,CD Faialense,Liam Ireland,liam-ireland,L. Ireland,M,11,,0,2073832,EUR,1025481600,M,11,11,True,4.0,2.0,,,0.0,1.0,1.0,1.0,3.0,2.0,2.0,,,,,27.0,8.0,6.6,4.0,1,Liam Ireland,,1.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,
13444506,away,CD Faialense,Damian Attidore,damian-attidore,D. Attidore,D,33,,1,2073802,EUR,922406400,D,33,33,True,8.0,3.0,2.0,,0.0,,2.0,3.0,6.0,,2.0,1.0,,,,26.0,16.0,6.7,7.0,0,Damian Attidore,,4.0,3.0,1.0,3.0,1.0,,,1.0,1.0,,,3.0,,1.0,1.0,,1.0,,,,,,1.0,
13444506,away,CD Faialense,Francis Mulkern,francis-mulkern,F. Mulkern,M,19,,0,2073811,EUR,679881600,M,19,19,True,5.0,3.0,,,0.0,1.0,1.0,2.0,4.0,,,,,,,17.0,8.0,6.8,3.0,2,Francis Mulkern,,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,1.0,,
13444506,away,CD Faialense,Graham Brenner,graham-brenner,G. Brenner,M,17,,0,2073816,EUR,909100800,M,17,17,True,9.0,8.0,2.0,1.0,0.0,5.0,5.0,3.0,4.0,,,2.0,,,,17.0,15.0,6.7,2.0,0,Graham Brenner,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,
13444506,away,CD Faialense,Felipe Guimaraes,felipe-guimaraes,F. Guimaraes,M,7,,0,2073810,EUR,742608000,M,7,7,True,,,,,,,,,,,,,,,,,,,,0,Felipe Guimaraes,,,,,,,,,,,,,,,,,,,,,,,,,
13444506,away,CD Faialense,Kyle Ryan,kyle-ryan,K. Ryan,M,14,,0,2073830,EUR,840326400,M,14,14,True,,,,,,,,,,,,,,,,,,,,0,Kyle Ryan,,,,,,,,,,,,,,,,,,,,,,,,,
