match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_keyPass,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalOffside
12694093,away,Oxford United,Greg Leigh,greg-leigh,G. Leigh,D,22,181,587,M,329431,EUR,780883200,D,22,22,False,57.0,40.0,11.0,2.0,0.0,22.0,28.0,19.0,31.0,8.0,90.0,80.0,6.6,24.0,0,,,,2.0,,3.0,1.0,5.0,,1.0,,,,2.0,1.0,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,
12694093,away,Oxford United,Josh McEachran,josh-mceachran,J. McEachran,M,20,178,39,M,98439,EUR,730944000,M,6,6,False,39.0,38.0,,,0.0,31.0,32.0,8.0,8.0,3.0,61.0,46.0,7.0,2.0,0,,,,1.0,1.0,,3.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,,,3.0,2.0,1.0,,,,,,,,,,
12694093,away,Oxford United,Owen Dale,owen-dale,O. Dale,M,35,175,47,M,845570,EUR,909878400,M,17,17,False,19.0,16.0,,,0.0,8.0,9.0,8.0,11.0,2.0,61.0,23.0,6.5,6.0,1,,,,1.0,1.0,,3.0,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
12694093,away,Oxford United,Louie Sibley,louie-sibley,L. Sibley,M,40,178,139,M,944036,EUR,999302400,M,14,14,False,24.0,19.0,2.0,1.0,0.0,11.0,12.0,8.0,12.0,5.0,90.0,36.0,6.6,8.0,1,,,,,,,4.0,4.0,1.0,1.0,,1.0,1.0,,,3.0,,,,,,,,2.0,1.0,,1.0,,,,,,
12694093,away,Oxford United,Cameron Brannagan,cameron-brannagan,C. Brannagan,M,8,180,229,M,372522,EUR,831600000,M,8,8,False,35.0,33.0,,,0.0,21.0,21.0,12.0,15.0,1.0,61.0,41.0,6.7,5.0,0,,,True,1.0,,,2.0,2.0,,,,,1.0,1.0,,2.0,2.0,,,,,,,1.0,,,,,,,,,
12694093,away,Oxford United,Malcolm Ebiowei,ebiowei-malcolm,M. Ebiowei,M,,185,304,M,1176104,EUR,1062633600,M,11,11,False,15.0,10.0,5.0,2.0,0.0,2.0,4.0,9.0,14.0,3.0,77.0,23.0,6.4,9.0,0,,,,3.0,,,5.0,2.0,1.0,1.0,1.0,3.0,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0
12694093,away,Oxford United,Dane Scarlett,scarlett-dane,D. Scarlett,F,44,180,2424,M,998772,EUR,1080086400,F,44,44,False,13.0,10.0,,,0.0,7.0,7.0,3.0,6.0,2.0,83.0,23.0,6.7,6.0,1,,,,,,1.0,5.0,4.0,,,1.0,2.0,1.0,1.0,,,,,1.0,,1.0,,,4.0,2.0,,,,,,,,
12694093,away,Oxford United,Will Vaulks,will-vaulks,W. Vaulks,M,4,180,83,M,254849,EUR,747878400,M,4,4,True,18.0,14.0,4.0,1.0,0.0,9.0,10.0,6.0,9.0,3.0,29.0,25.0,6.8,7.0,1,,,,1.0,1.0,,1.0,2.0,,2.0,1.0,,,,,1.0,1.0,,1.0,,,2.0,1.0,,,,,,,,,,
12694093,away,Oxford United,Tyler Goodrham,tyler-goodrham,T. Goodrham,M,19,170,124,M,993444,EUR,1060214400,F,19,19,True,10.0,9.0,,,0.0,4.0,4.0,5.0,9.0,1.0,29.0,15.0,6.4,6.0,0,,,,3.0,1.0,,4.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
12694093,away,Oxford United,Idris El Mizouni,idris-el-mizouni,I. E. Mizouni,M,8,185,645,M,979169,EUR,969926400,M,15,15,True,14.0,12.0,,,0.0,5.0,6.0,7.0,8.0,1.0,29.0,22.0,6.7,4.0,0,,,,,,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,
12694093,away,Oxford United,Rúben Rodrigues,ruben-rodrigues,R. Rodrigues,M,20,181,252,M,946563,EUR,838857600,F,20,20,True,7.0,6.0,,,0.0,1.0,1.0,5.0,6.0,1.0,13.0,11.0,6.8,2.0,1,,,,,,1.0,3.0,2.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,
12694093,away,Oxford United,Mark Harris,mark-harris,M. Harris,F,9,182,285,M,1064263,EUR,914889600,F,9,9,True,4.0,4.0,,,0.0,1.0,1.0,3.0,3.0,,13.0,5.0,6.8,,1,Mark Harris,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
12694093,away,Oxford United,Simon Eastwood,simon-eastwood,S. Eastwood,G,13,188,17,M,20804,EUR,614822400,G,13,13,True,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694093,away,Oxford United,Jack Currie,jack-currie,J. Currie,D,26,175,51,M,1096585,EUR,1008460800,D,26,26,True,,,,,,,,,,,,,,,0,Jack Currie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694093,away,Oxford United,James Golding,james-golding,J. Golding,D,35,188,70,M,1155375,EUR,1092096000,D,35,35,True,,,,,,,,,,,,,,,0,James Golding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694093,away,Oxford United,Gatlin O'Donkor,gatlin-odonkor,G. O'Donkor,F,39,178,110,M,1093341,EUR,1097712000,F,39,39,True,,,,,,,,,,,,,,,0,Gatlin O'Donkor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
