match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_shotOffTarget,stat_unsuccessfulTouch,stat_blockedScoringAttempt,captain,stat_onTargetScoringAttempt,stat_totalOffside,stat_goals,stat_hitWoodwork,stat_bigChanceMissed,player_sofascoreId,stat_bigChanceCreated
11068546,home,Alanyaspor,Wilson Eduardo,wilson-eduardo,W. Eduardo,F,7,179,140,M,105404,EUR,647395200,F,17,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068546,away,Başakşehir FK,Volkan Babacan,volkan-babacan,V. Babacan,G,1,192,197,M,30143,EUR,587260800,G,1,1,False,24.0,23.0,3.0,2.0,22.0,23.0,1.0,1.0,,1.0,3.0,,,2.0,2.0,90.0,28.0,6.7,2.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11068546,away,Başakşehir FK,Ömer Ali Şahiner,omer-ali-sahiner,Ö. A. Şahiner,D,42,175,88,M,103912,EUR,694310400,D,42,42,False,82.0,74.0,7.0,3.0,27.0,29.0,48.0,55.0,3.0,1.0,4.0,,,,,90.0,105.0,6.8,11.0,1.0,1,1.0,1.0,3.0,,1.0,,,,2.0,2.0,,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,
11068546,away,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183,505,M,839982,EUR,837561600,D,5,5,False,104.0,101.0,2.0,2.0,60.0,62.0,41.0,43.0,8.0,2.0,12.0,1.0,,,,90.0,119.0,7.4,6.0,,2,2.0,5.0,2.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,,,2.0,,,2.0,,,,1.0,,
11068546,away,Başakşehir FK,Ahmed Touba,ahmed-touba,A. Touba,D,5,190,4977,M,856216,EUR,889747200,D,59,59,False,117.0,108.0,17.0,11.0,46.0,47.0,62.0,71.0,1.0,1.0,10.0,,,,,90.0,122.0,6.8,10.0,1.0,1,2.0,1.0,4.0,,,,,1.0,,,,,,1.0,,2.0,,,1.0,,,,,,,Toubaahmed59,
11068546,away,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178,140,M,248529,EUR,687052800,D,60,60,False,59.0,49.0,6.0,2.0,17.0,21.0,32.0,42.0,2.0,,4.0,,,,,83.0,71.0,6.1,17.0,,1,2.0,1.0,9.0,1.0,1.0,1.0,,,,,4.0,,,4.0,,2.0,1.0,1.0,,,,,,,,,
11068546,away,Başakşehir FK,Lucas Biglia,lucas-biglia,L. Biglia,M,,178,317,,17799,EUR,507427200,M,20,20,False,100.0,89.0,6.0,3.0,34.0,35.0,55.0,65.0,5.0,,8.0,1.0,,,,90.0,115.0,7.0,13.0,,1,1.0,1.0,6.0,,1.0,,1.0,3.0,3.0,2.0,1.0,,,,,3.0,1.0,,,True,,,,,,,
11068546,away,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,58.0,53.0,2.0,1.0,9.0,10.0,48.0,61.0,3.0,,4.0,,,,,90.0,83.0,7.0,20.0,3.0,1,2.0,,11.0,1.0,5.0,3.0,1.0,,,,3.0,,,13.0,4.0,3.0,,3.0,,,1.0,,,,,,
11068546,away,Başakşehir FK,Eden Karzev,eden-karzev,E. Karzev,M,36,186,132,M,921169,EUR,955411200,M,72,72,False,19.0,15.0,2.0,,8.0,10.0,7.0,10.0,3.0,,4.0,1.0,,,,59.0,23.0,6.3,6.0,1.0,0,,1.0,3.0,,,,,,1.0,1.0,1.0,,,1.0,,2.0,,1.0,,,,,,,,,
11068546,away,Başakşehir FK,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178,161,M,806964,EUR,887500800,M,19,19,False,37.0,34.0,2.0,1.0,9.0,9.0,25.0,29.0,2.0,1.0,4.0,2.0,,,,83.0,53.0,6.7,10.0,1.0,1,1.0,,3.0,1.0,,,,,,,1.0,,,1.0,,1.0,1.0,5.0,,,,,,,,,
