match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_expectedGoalsOnTarget,stat_keyPass,stat_wonContest,stat_shotOffTarget,captain,stat_goals,stat_bigChanceCreated,stat_bigChanceMissed,stat_punches,stat_hitWoodwork
12501563,away,Lecce,Nikola Krstović,,,nikola-krstovic,N. Krstović,F,90,185,4445,M,,839156,EUR,954892800,F,9,9,False,12.0,8.0,1.0,1.0,0.0,3.0,3.0,5.0,9.0,,4.0,,,,,,45.0,22.0,7.1,8.0,0.00306922,3,,,,3.0,2.0,6.0,5.0,2.0,2.0,,,,,1.0,1.0,,0.1088,1.0,,2.0,1.0,,0.0684,,1.0,2.0,,,,,,1.0
12501563,away,Lecce,Tiago Gabriel,Tiago Gabriel,,tiago-gabriel,T. Gabriel,D,44,194,1285,M,,1651825,EUR,1104019200,D,44,44,True,35.0,30.0,5.0,4.0,0.0,20.0,22.0,10.0,13.0,5.0,2.0,,,,,,79.0,44.0,7.2,5.0,0.0404726,0,,,,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
12501563,away,Lecce,Marco Sala,,,sala-marco,M. Sala,D,3,182,232,M,,927312,EUR,928454400,D,99,99,True,15.0,13.0,,,0.0,7.0,8.0,7.0,10.0,,1.0,,,,,,45.0,25.0,6.9,5.0,0.0581429,0,,3.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,
12501563,away,Lecce,Ante Rebić,,,ante-rebic,A. Rebić,F,9,185,4196,M,_anterebic,152769,EUR,748569600,F,3,3,True,11.0,7.0,,,0.0,4.0,5.0,3.0,7.0,,1.0,,,,,,45.0,22.0,6.0,10.0,0.0100343,1,,1.0,,5.0,1.0,10.0,2.0,,,1.0,,,,,1.0,,0.5037,,1.0,4.0,1.0,,0.2995,1.0,,,,,,1.0,,
12501563,away,Lecce,Konan N'Dri,,,ndri-konan,K. N'Dri,F,11,174,429,M,,978327,EUR,972604800,F,10,10,True,7.0,6.0,1.0,1.0,0.0,3.0,3.0,4.0,7.0,,,,,,,,34.0,20.0,6.8,8.0,0.0291814,0,,3.0,1.0,1.0,,2.0,3.0,1.0,3.0,1.0,,,1.0,1.0,,,,,,2.0,,,,1.0,1.0,,,,,,,
12501563,away,Lecce,Þórir Jóhann Helgason,,,thorir-johann-helgason,J. T. Helgason,M,14,187,318,M,,886628,EUR,970099200,M,14,14,True,4.0,3.0,,,1.0,2.0,2.0,2.0,4.0,,1.0,,,,,,13.0,9.0,7.3,3.0,0.0726715,1,,2.0,1.0,,,,1.0,,1.0,,,,,,,,0.1415,,,1.0,,,,1.0,1.0,1.0,,,,,,
12501563,away,Lecce,Christian Früchtl,,,christian-fruchtl,C. Früchtl,G,1,193,348,M,,845024,EUR,949017600,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501563,away,Lecce,Jasper Samooja,,,samooja-jasper,J. Samooja,G,32,189,137,M,,999192,EUR,1058745600,G,32,32,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501563,away,Lecce,Frédéric Guilbert,,,frederic-guilbert,F. Guilbert,D,,178,402,M,,372430,EUR,788227200,D,12,12,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501563,away,Lecce,Ylber Ramadani,,,ylber-ramadani,Y. Ramadani,M,20,185,1041,M,,841977,EUR,829267200,M,20,20,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501563,away,Lecce,Hamza Rafia,,,hamza-rafia,H. Rafia,M,24,178,2318,M,,857772,EUR,923011200,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501563,away,Lecce,Medon Berisha,Medon,Berisha,medon-berisha,M. Berisha,M,10,186,1316,M,,1142149,EUR,1066694400,M,5,5,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501563,away,Lecce,Mohamed Kaba,,,mohamed-kaba,M. Kaba,M,21,185,693,M,,1127590,EUR,1004140800,M,77,77,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501563,away,Lecce,Lameck Banda,,,lameck-banda,L. Banda,M,19,165,4769,M,lameckbanda.10,911350,EUR,980726400,M,22,22,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501563,away,Lecce,Jesper Karlsson,,,jesper-karlsson,J. Karlsson,F,11,179,1272,M,,834597,EUR,901324800,F,37,37,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501563,away,Lecce,Rareș Burnete,,,rares-catalin-burnete,R. Burnete,F,7,185,490,M,,1136325,EUR,1075507200,F,23,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
