match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_keyPass,stat_shotValueNormalized,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_totalCross,stat_totalOffside,captain,player_sofascoreId,stat_dispossessed,stat_errorLeadToAShot,stat_bigChanceMissed,stat_shotOffTarget,stat_accurateCross,stat_bigChanceCreated,stat_errorLeadToAGoal,stat_goodHighClaim
13981594,home,Atalanta,Kamaldeen Sulemana,kamaldeen-sulemana,K. Sulemana,F,7,174.0,8299,M,1019442,EUR,1013731200,F,7,7,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kamaldeenho10,,,,,,,,
13981594,away,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189.0,4489,M,793986,EUR,935712000,G,99,99,False,43.0,31.0,21.0,9.0,0.0,26.0,28.0,5.0,15.0,2.0,2.0,1.0,7.0,,,1.0,,90.0,52.0,6.4,12.0,0.0016875,92.997251615848,14.0,48.72,13.545,0.0326,0,0.0011000000000001,0.12,0.0,-0.38,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
13981594,away,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,23,190.0,4038,M,611210,EUR,829699200,D,23,23,False,50.0,45.0,4.0,3.0,0.0,38.0,38.0,7.0,12.0,3.0,12.0,4.0,5.0,4.0,,,,90.0,74.0,7.3,9.0,0.0035621,109.42820691008,14.0,13.965,11.55,,1,,0.06,0.05,0.26,,,,1.0,5.0,,,,,1.0,,5.0,3.0,2.0,0.1977,,,,,0.03,,1.0,2.0,5.0,2.0,,,,,,,,,,,
13981594,away,Roma,Jan Ziółkowski,jan-ziolkowski,J. Ziółkowski,D,24,194.0,3957,M,1499991,EUR,1117929600,D,24,24,False,17.0,15.0,2.0,1.0,0.0,15.0,15.0,,2.0,1.0,3.0,5.0,2.0,1.0,,,,45.0,28.0,6.8,2.0,0.00014037,11.762651966736,3.0,-1.68,0.31499999999999,,0,,-0.01,0.01,0.25,,Jan Ziólkowski,,1.0,1.0,,,,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
13981594,away,Roma,Mario Hermoso,mario-hermoso,M. Hermoso,D,22,184.0,2630,M,353130,EUR,803433600,D,22,22,False,59.0,49.0,5.0,1.0,0.0,38.0,43.0,11.0,16.0,,5.0,3.0,4.0,2.0,,,,90.0,76.0,6.5,11.0,0.0114771,96.180171045313,18.0,8.0849999999999,5.775,,0,,0.2,0.04,-0.06,,,,4.0,7.0,1.0,,,,,,3.0,3.0,1.0,,,,,,,,1.0,2.0,3.0,,,,,,,,,,,,
13981594,away,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,19,180.0,2880,M,893008,EUR,856137600,M,19,19,False,41.0,35.0,4.0,4.0,0.0,19.0,22.0,16.0,19.0,1.0,3.0,2.0,6.0,1.0,,,,90.0,59.0,7.1,8.0,0.0290583,81.389934056845,16.0,-21.315,4.305,,0,,0.2,-0.18,0.16,,,,1.0,4.0,2.0,,,,,,2.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,
13981594,away,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,4,186.0,2731,M,186855,EUR,794188800,M,4,4,False,73.0,57.0,10.0,5.0,0.0,31.0,35.0,26.0,38.0,3.0,7.0,4.0,6.0,1.0,,,,90.0,90.0,6.6,21.0,0.0897971,171.94388250855,21.0,75.18,17.745,,0,,0.06,0.15,0.16,,,,3.0,11.0,3.0,1.0,,,,,3.0,1.0,2.0,,,20.267419396657,1.0,1.0,,,1.0,1.0,3.0,,,True,,1.0,,,,,,,
13981594,away,Roma,Manu Koné,manu-kone,M. Koné,M,17,186.0,6943,M,974087,EUR,990057600,M,17,17,False,30.0,28.0,1.0,,0.0,11.0,12.0,17.0,18.0,1.0,4.0,3.0,2.0,2.0,,,,83.0,46.0,6.6,7.0,0.0794545,59.026347674315,6.0,24.465,16.695,,1,,0.1,0.02,-0.1,,,,,7.0,3.0,2.0,,,,,1.0,1.0,2.0,0.0554,,,,1.0,-0.11,,,,1.0,,,,,1.0,,,1.0,,,,
13981594,away,Roma,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182.0,2446,M,982778,EUR,1042848000,M,2,2,False,25.0,18.0,4.0,2.0,0.0,10.0,12.0,8.0,13.0,1.0,3.0,1.0,1.0,,,,,59.0,37.0,6.5,9.0,0.00564282,13.607894650778,3.0,-1.05,3.36,,1,,-0.01,-0.19,-0.11,,,,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,0.0137,,,,,0.03,,,,,,,,,,,,1.0,,,,
13981594,away,Roma,Matías Soulé,matias-soule,M. Soulé,F,18,182.0,12526,M,1082406,EUR,1050364800,F,18,18,False,22.0,17.0,,,0.0,4.0,6.0,13.0,16.0,,3.0,,3.0,1.0,,,,66.0,38.0,6.3,14.0,0.0758729,86.329775131225,9.0,45.99,22.47,,1,,0.1,0.22,-0.08,,,,,11.0,2.0,6.0,1.0,1.0,,,1.0,1.0,,0.0234,0.1262,22.470411567214,1.0,,0.01,,,,,,,,matiassoule11,4.0,,,,,,,
