match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_totalCross,stat_totalClearance,stat_wonTackle,stat_fouls,stat_accurateCross,stat_keyPass,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_dispossessed,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_errorLeadToAShot
12421013,away,RSC Anderlecht,Jan-Carlo Simić,Jan-Carlo Simić,,jan-carlo-simic,J. Simić,D,4,185,1987,M,1214992,EUR,1114992000,D,4,4,False,28.0,25.0,1.0,,0.0,18.0,19.0,7.0,9.0,6.0,,1.0,,,,90.0,38.0,6.6,4.0,0.0025628,0,,4.0,1.0,1.0,,2.0,,,,,,,4.0,,1.0,,,1.0,,,,,,,,,,,,
12421013,away,RSC Anderlecht,Zanka,,,zanka,Zanka,D,,189,459,M,26404,EUR,640828800,D,13,13,False,57.0,52.0,4.0,4.0,1.0,37.0,40.0,15.0,17.0,3.0,,4.0,,,,90.0,64.0,7.3,6.0,0.0112652,1,,1.0,4.0,4.0,,,1.0,,,,0.0504,,2.0,,2.0,,1.0,,,,1.0,,,,,1.0,,,,
12421013,away,RSC Anderlecht,Ludwig Augustinsson,,,ludwig-augustinsson,L. Augustinsson,D,6,181,394,M,138546,EUR,766886400,D,6,6,False,39.0,30.0,3.0,1.0,0.0,13.0,15.0,17.0,25.0,2.0,1.0,2.0,,,,64.0,54.0,7.2,13.0,0.0506481,1,,,3.0,4.0,,,,1.0,1.0,,0.82,1.0,1.0,1.0,,,,1.0,,1.0,,,0.9859,,,,,1.0,,
12421013,away,RSC Anderlecht,Yari Verschaeren,,,verschaeren-yari,Y. Verschaeren,M,10,172,1145,M,901898,EUR,994896000,M,10,10,False,38.0,33.0,5.0,3.0,1.0,12.0,17.0,21.0,21.0,3.0,2.0,7.0,,,,85.0,52.0,7.2,9.0,0.0831163,0,,,,6.0,,,,3.0,2.0,3.0,,,,3.0,,,1.0,,,,,,,1.0,True,,,,,1.0
12421013,away,RSC Anderlecht,Mats Rits,,,mats-rits,M. Rits,M,23,180,216,M,70961,EUR,742953600,M,23,23,False,44.0,32.0,9.0,4.0,0.0,11.0,14.0,22.0,31.0,4.0,1.0,2.0,,,,90.0,52.0,6.8,12.0,0.129816,0,,2.0,1.0,3.0,,,2.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,
12421013,away,RSC Anderlecht,Theo Leoni,,,theo-leoni,T. Leoni,M,6,174,569,M,867251,EUR,956275200,M,17,17,False,47.0,37.0,2.0,2.0,0.0,11.0,13.0,26.0,37.0,5.0,2.0,5.0,,,,90.0,62.0,7.6,15.0,0.0894929,1,,1.0,1.0,5.0,,,1.0,2.0,1.0,,0.8981,3.0,1.0,2.0,1.0,,,3.0,2.0,1.0,,,0.9953,,,,,1.0,,
12421013,away,RSC Anderlecht,Anders Dreyer,,,anders-dreyer,A. Dreyer,F,10,174,2337,M,809280,EUR,894067200,F,36,36,False,14.0,12.0,2.0,1.0,0.0,2.0,2.0,11.0,21.0,3.0,,3.0,,,,90.0,29.0,7.0,13.0,0.217263,2,,,,,,,,,1.0,,0.2843,9.0,,,1.0,1.0,4.0,2.0,,1.0,1.0,1.0,0.0681,,,,,,,
12421013,away,RSC Anderlecht,Kasper Dolberg,,,kasper-dolberg,K. Dolberg,F,9,187,4191,M,795761,EUR,876096000,F,12,12,False,10.0,5.0,,,0.0,1.0,1.0,4.0,9.0,6.0,,2.0,,,,65.0,21.0,6.9,10.0,0.00238889,1,,4.0,2.0,6.0,,,,,3.0,3.0,0.2402,,,,,,1.0,1.0,1.0,1.0,,,0.2992,2.0,,,,,KDolberg,
12421013,away,RSC Anderlecht,Francis Amuzu,,,amuzu-francis,F. Amuzu,M,9,170,1932,M,901889,EUR,935366400,F,7,7,False,13.0,12.0,,,0.0,1.0,1.0,11.0,14.0,4.0,1.0,3.0,,,,57.0,22.0,7.2,5.0,0.0151377,1,,,,2.0,,,1.0,1.0,,1.0,0.0705,2.0,,1.0,2.0,,,1.0,,1.0,,,0.2696,,,,,1.0,,
12421013,away,RSC Anderlecht,Nilson Angulo,Nilson Angulo,,nilson-angulo,N. Angulo,F,10,182,4530,M,1116571,EUR,1055980800,F,32,32,True,8.0,7.0,,,0.0,1.0,1.0,6.0,8.0,5.0,,3.0,,,,33.0,20.0,6.2,9.0,0.0442418,1,,,1.0,1.0,,,,,1.0,,0.1403,1.0,,,,,,3.0,,,1.0,,,2.0,,,,,,
12421013,away,RSC Anderlecht,Thomas Foket,,,thomas-foket,T. Foket,D,25,177,266,M,245615,EUR,780451200,D,25,25,True,15.0,15.0,,,0.0,5.0,5.0,10.0,10.0,2.0,,,,,,26.0,21.0,6.7,1.0,0.0497811,0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,
12421013,away,RSC Anderlecht,Luis Vázquez,,,luis-vazquez,L. Vázquez,F,19,191,1685,M,974713,EUR,988070400,F,20,20,True,12.0,9.0,1.0,1.0,0.0,2.0,2.0,7.0,10.0,2.0,1.0,1.0,,,,25.0,15.0,6.8,4.0,0.130739,0,,1.0,1.0,2.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
12421013,away,RSC Anderlecht,Mario Stroeykens,Mathieu,Stroeykens,mario-stroeykens,M. Stroeykens,M,29,177,3682,M,1101702,EUR,1096416000,M,29,29,True,5.0,5.0,,,1.0,1.0,1.0,4.0,4.0,1.0,,,,,,11.0,8.0,7.7,,0.424928,1,,,1.0,2.0,1.0,,,,,1.0,0.05,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,
12421013,away,RSC Anderlecht,Mads Juhl Kikkenborg,,,kikkenborg-mads-juhl,M. J. Kikkenborg,G,16,197,183,M,984005,EUR,939254400,G,16,16,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421013,away,RSC Anderlecht,Amando Lapage,,,amando-lapage,A. Lapage,D,4,187,181,M,1396102,EUR,1099872000,D,73,73,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421013,away,RSC Anderlecht,Moussa Ndiaye,,,moussa-ndiaye,M. Ndiaye,D,16,181,1546,M,982315,EUR,1024358400,D,5,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421013,away,RSC Anderlecht,Kristian Arnstad,,,kristian-arnstad,K. Arnstad,M,10,171,574,M,984989,EUR,1062892800,M,61,61,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421013,away,RSC Anderlecht,Majeed Ashimeru,,,majeed-ashimeru,M. Ashimeru,M,18,182,1285,M,901149,EUR,876441600,M,18,18,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
