match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,captain,stat_aerialLost,stat_totalClearance,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,stat_unsuccessfulTouch,stat_dispossessed,stat_accurateCross,stat_totalOffside,stat_keyPass,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_hitWoodwork,player_sofascoreId
14109656,home,Eyüpspor,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189.0,1142,M,358524,EUR,829353600,G,1,1,False,29.0,19.0,15.0,7.0,0.0,17.0,23.0,2.0,6.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,90.0,41.0,7.1,11.0,0.00033614,0.2024,0,0.6071,-0.01,-0.03,0.16,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109656,home,Eyüpspor,Calegari,calegari,Calegari,D,2,171.0,473,M,988906,EUR,1014768000,D,2,2,False,20.0,11.0,2.0,,0.0,7.0,10.0,4.0,10.0,6.0,2.0,,2.0,,,,,90.0,36.0,6.7,12.0,0.00766307,,0,,-0.01,0.07,-0.17,,,,2.0,2.0,5.0,4.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14109656,home,Eyüpspor,Robin Yalçın,robin-yalcin,R. Yalçın,D,2,183.0,91,M,138154,EUR,759456000,D,6,6,False,38.0,30.0,10.0,5.0,0.0,19.0,24.0,11.0,14.0,5.0,,,,,,,,90.0,48.0,7.2,8.0,0.00452664,,0,,0.08,0.11,-0.02,,,,,1.0,2.0,1.0,2.0,4.0,2.0,,True,1.0,3.0,,,,,,,,,,,,,,,,,,
14109656,home,Eyüpspor,Luccas Claro,luccas-claro,L. Claro,D,4,182.0,171,M,998209,EUR,687916800,D,4,4,False,56.0,41.0,14.0,7.0,0.0,32.0,37.0,9.0,19.0,15.0,4.0,,2.0,,,,,90.0,76.0,8.0,16.0,0.0105605,,1,,0.2,0.13,0.41,,,,,11.0,2.0,,2.0,1.0,1.0,,,2.0,9.0,1.0,1.0,1.0,1.0,0.0308,-0.05,,,,,,,,,,,,
14109656,home,Eyüpspor,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189.0,775,M,858004,EUR,892598400,D,18,18,False,44.0,35.0,4.0,,0.0,22.0,25.0,13.0,19.0,3.0,4.0,,,,,,,90.0,60.0,7.1,13.0,0.00392779,,0,,0.01,0.14,0.32,,,,,2.0,3.0,1.0,2.0,,,,,2.0,4.0,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,
14109656,home,Eyüpspor,Umut Meraş,umut-meras,U. Meraş,D,77,178.0,154,M,609746,EUR,819417600,D,77,77,False,44.0,30.0,6.0,1.0,0.0,13.0,17.0,17.0,27.0,6.0,4.0,,1.0,,,,,68.0,71.0,6.9,19.0,0.0125376,,0,,-0.08,0.08,0.4,,,,2.0,2.0,5.0,,2.0,1.0,1.0,1.0,,2.0,3.0,2.0,2.0,,2.0,,,,2.0,,,,,,,,,,
14109656,home,Eyüpspor,Yalçın Kayan,yalcin-kayan,Y. Kayan,M,20,182.0,80,M,945548,EUR,917654400,M,30,30,False,9.0,7.0,1.0,,0.0,1.0,2.0,6.0,7.0,4.0,2.0,,2.0,,,,,55.0,21.0,6.9,8.0,0.0305177,,0,,0.19,0.04,0.15,,,,2.0,,4.0,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,2.0,3.0,1.0,,,,,,,,,
14109656,home,Eyüpspor,Kerem Demirbay,kerem-demirbay,K. Demirbay,M,26,185.0,2104,M,142619,EUR,741657600,M,10,10,False,52.0,40.0,10.0,4.0,0.0,14.0,16.0,26.0,36.0,5.0,5.0,,2.0,,,,,85.0,69.0,7.0,21.0,0.0298484,,0,,0.28,0.25,0.0,,,,5.0,,6.0,1.0,1.0,3.0,,,,3.0,1.0,1.0,,,,,,2.0,1.0,,,,,,,,,,
14109656,home,Eyüpspor,Svit Sešlar,svit-seslar,S. Sešlar,M,10,185.0,669,M,946291,EUR,1010534400,M,99,99,False,20.0,16.0,1.0,,0.0,10.0,11.0,6.0,9.0,4.0,2.0,,2.0,,,,,68.0,30.0,6.8,6.0,0.00474078,,0,,-0.11,0.05,0.27,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,
14109656,home,Eyüpspor,Mame Thiam,mame-thiam,M. Thiam,F,17,185.0,1076,M,180981,EUR,718588800,F,9,9,False,12.0,10.0,,,0.0,3.0,4.0,7.0,8.0,3.0,2.0,,1.0,,,,,90.0,20.0,6.2,4.0,0.00734744,,3,,-0.21,0.13,0.0,,,,,2.0,4.0,,,,,2.0,,2.0,,,,,,0.3222,0.1,2.0,,,3.0,,2.0,2.0,1.0,0.1253,,,
14109656,home,Eyüpspor,Denis Drăguş,denis-dragus,D. Drăguş,F,70,184.0,2440,M,841199,EUR,931219200,F,70,70,False,23.0,17.0,1.0,,0.0,5.0,6.0,12.0,17.0,2.0,3.0,,,,,,,85.0,41.0,5.8,19.0,0.0418325,,1,,-0.13,-0.55,-0.05,,,,,,9.0,1.0,,2.0,1.0,1.0,,,,5.0,,1.0,,0.0436,-0.17,5.0,2.0,,,1.0,,,,,1.0,,
14109656,home,Eyüpspor,Mateusz Łęgowski,mateusz-legowski,M. Łęgowski,M,20,181.0,793,M,1064080,EUR,1043798400,M,20,20,True,11.0,9.0,2.0,1.0,0.0,5.0,6.0,4.0,5.0,2.0,1.0,,2.0,,,,,35.0,14.0,6.9,2.0,0.0110595,,0,,0.12,-0.05,0.14,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14109656,home,Eyüpspor,Emre Akbaba,emre-akbaba,E. Akbaba,M,8,180.0,414,M,343527,EUR,718156800,M,8,8,True,8.0,6.0,1.0,,0.0,1.0,2.0,5.0,6.0,3.0,,,1.0,,,,,22.0,18.0,6.8,6.0,0.2265,,0,,0.25,-0.19,-0.04,,,,5.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,2.0,1.0,2.0,,,,,,,
14109656,home,Eyüpspor,Serdar Gürler,serdar-gurler,S. Gürler,M,7,176.0,112,M,96520,EUR,684806400,M,11,11,True,7.0,5.0,2.0,1.0,0.0,,,5.0,7.0,3.0,1.0,,2.0,,,,,22.0,19.0,6.9,6.0,0.00244126,,1,,-0.07,0.1,0.17,,,,2.0,,1.0,,2.0,1.0,1.0,,,,,,,,,0.0642,0.0,1.0,1.0,,,,,,1.0,,,,
14109656,home,Eyüpspor,Prince Ampem,prince-ampem,P. Ampem,M,40,171.0,278,M,923888,EUR,892425600,F,40,40,True,5.0,5.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,1.0,,,,,,,,13.0,9.0,6.7,2.0,0.297513,,0,,0.29,0.02,0.13,,,,2.0,,1.0,,,,,,,,,2.0,1.0,,,,,,,1.0,,1.0,,,,,1.0,,
14109656,home,Eyüpspor,Taşkın Ilter,taskin-ilter,T. Ilter,M,28,185.0,82,M,171911,EUR,773366400,M,28,28,True,8.0,6.0,3.0,2.0,0.0,,1.0,6.0,7.0,1.0,1.0,,,,,,,13.0,9.0,6.7,2.0,0.0108363,,0,,0.07,0.04,0.0,,,,,,2.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,
14109656,home,Eyüpspor,Jankat Yılmaz,jankat-yilmaz,J. Yılmaz,G,24,193.0,1049,M,1210422,EUR,1092614400,G,24,24,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
