match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_dispossessed,stat_totalContest,stat_wonContest,stat_wasFouled,stat_outfielderBlock,stat_unsuccessfulTouch,stat_goalAssist,stat_challengeLost,stat_keyPass,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_shotOffTarget,stat_accurateCross,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_penaltyConceded,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_penaltyWon
10408645,away,Espanyol,Brian Oliván,brian-olivan,B. Oliván,D,12,179.0,147,M,351500,EUR,765158400,D,14,14,False,30.0,23.0,6.0,3.0,12.0,14.0,12.0,18.0,2.0,7.0,7.0,,,90.0,59.0,7.2,18.0,0.0642,0.0,0.0383895,1,,,2.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,
10408645,away,Espanyol,Vinícius Souza,vinicius-souza,Vinicius,M,5,187.0,1714,M,979290,EUR,929577600,M,12,12,False,23.0,18.0,3.0,2.0,11.0,11.0,7.0,12.0,3.0,8.0,6.0,,,88.0,46.0,6.5,13.0,0.0,0.0,0.00684899,0,,,,2.0,9.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,,,5.0,,1.0,,,,,,,,,,,,,,,,,
10408645,away,Espanyol,Fernando Calero,fernando-calero,F. Calero,D,5,183.0,302,M,857205,EUR,811036800,M,5,5,False,26.0,21.0,4.0,,11.0,13.0,10.0,13.0,1.0,4.0,4.0,,,56.0,33.0,6.8,5.0,0.0,0.0,0.0069685,0,,,,,1.0,,1.0,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
10408645,away,Espanyol,Sergi Darder,sergi-darder,S. Darder,M,10,180.0,979,M,110783,EUR,756518400,M,10,10,False,30.0,22.0,7.0,3.0,10.0,10.0,12.0,24.0,,5.0,6.0,,,90.0,52.0,6.4,17.0,0.0288,0.0,0.0254094,1,,,4.0,,6.0,,3.0,,,1.0,2.0,5.0,2.0,3.0,,,,,,1.0,,,,,,,,,,,,,,1.0,
10408645,away,Espanyol,Rubén Sánchez,sanchez-saez-ruben,R. Sánchez,D,2,184.0,124,M,1021165,EUR,981244800,F,27,27,False,23.0,18.0,1.0,1.0,10.0,12.0,8.0,14.0,3.0,7.0,7.0,,,81.0,50.0,7.1,17.0,0.0901,0.0,0.0233857,3,,,3.0,,5.0,2.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,,,4.0,,,,1.0,,,2.0,,,,,,,,,,,,
10408645,away,Espanyol,Joselu,joselu,Joselu,F,9,191.0,18060,M,69418,EUR,638496000,F,9,9,False,20.0,12.0,,,6.0,7.0,6.0,13.0,5.0,8.0,3.0,,,90.0,31.0,7.4,11.0,0.7884,0.9692,0.00627132,1,,,,9.0,11.0,,1.0,,,1.0,1.0,,,3.0,,2.0,,,,,,,,,joselumato,1.0,1.0,,,,,,,,1.0
10408645,away,Espanyol,Nicolás Melamed,nicolas-melamed,N. Melamed,M,10,173.0,234,M,989878,EUR,986947200,F,21,21,False,11.0,9.0,1.0,1.0,5.0,5.0,4.0,7.0,1.0,6.0,,,,56.0,26.0,6.7,7.0,0.0,0.0,0.0025734,0,,,1.0,4.0,7.0,,,,,1.0,,4.0,3.0,2.0,,3.0,,1.0,,,,,,,,,,,,,,,,,
10408645,away,Espanyol,Adrián Embarba,adrian-embarba,A. Embarba,M,23,173.0,477,M,346516,EUR,705196800,F,23,23,True,4.0,3.0,,,2.0,3.0,2.0,3.0,,5.0,2.0,,,34.0,19.0,6.8,5.0,0.0767,0.0,0.0567702,2,,,2.0,1.0,3.0,,,1.0,,1.0,,4.0,3.0,1.0,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,
10408645,away,Espanyol,Edu Expósito,edu-exposito,E. Expósito,M,8,175.0,1017,M,877262,EUR,838857600,M,20,20,True,17.0,14.0,,,10.0,11.0,4.0,6.0,2.0,4.0,5.0,,,34.0,27.0,7.5,5.0,0.0913,0.2448,0.00240987,2,,,,,1.0,,2.0,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,
10408645,away,Espanyol,Luca Koleosho,luca-koleosho,L. Koleosho,M,24,175.0,1584,M,1216282,EUR,1095206400,M,30,30,True,4.0,1.0,,,,1.0,1.0,4.0,,,1.0,,,9.0,8.0,6.3,6.0,0.0,0.0,0.00115478,0,,,1.0,,1.0,,,,,,,,,,,2.0,,1.0,,,Luca Koleosho,,,,,,,,,,,,,,
10408645,away,Espanyol,Nabil Touaizi,nabil-touaizi,N. Touaizi,F,2,183.0,485,M,904849,EUR,980985600,F,32,32,True,1.0,1.0,,,,,1.0,1.0,,,,,,12.0,2.0,6.5,,0.0,0.0,0.00077977,0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408645,away,Espanyol,Joan García,joan-garcia,J. García,G,13,193.0,111965,M,930267,EUR,988934400,G,1,1,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408645,away,Espanyol,Angel Fortuno,fortuno-angel,A. Fortuno,G,1,183.0,108,M,1082734,EUR,978307200,G,34,34,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408645,away,Espanyol,Omar El Hilali,omar-el-hilali,O. E. Hilali,D,23,183.0,6663,M,1064026,EUR,1063324800,D,26,26,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408645,away,Espanyol,Wassim Keddari,wassim-keddari,W. Keddari,D,5,183.0,448,M,1184318,EUR,1107388800,D,28,28,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,Wassim Keddari,,,,,,,,,,,,,,
10408645,away,Espanyol,Keidi Bare,keidi-bare,K. Bare,M,6,174.0,295,M,862480,EUR,872726400,M,8,8,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408645,away,Espanyol,Daniel Villahermosa,daniel-villahermosa,D. Villahermosa,M,6,172.0,42,M,1012440,EUR,978393600,M,31,31,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
