match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_errorLeadToAShot,stat_wasFouled,stat_keyPass,stat_interceptionWon,stat_unsuccessfulTouch,stat_penaltyConceded,captain,stat_totalCross,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_goals,stat_totalOffside,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyMiss,stat_penaltyWon
11451034,home,Başakşehir FK,Krzysztof Piątek,krzysztof-piatek,K. Piątek,F,9,183,13169,M,558738,EUR,804556800,F,9,9,False,17.0,10.0,,,4.0,5.0,7.0,13.0,5.0,9.0,1.0,2.0,,,,,,90.0,36.0,7.6,14.0,0.66282,2,,,,1.0,4.0,1.0,2.0,,,,2.0,2.0,,,2.0,1.0,,5.0,,,1.0,,0.3469,,1.0,,,pjona_9,1.0,1.0,1.0,1.0,,,,,,,
11451034,home,Başakşehir FK,Onur Ergün,onur-ergun,O. Ergün,M,4,185,45,M,893009,EUR,721785600,M,4,4,True,13.0,11.0,1.0,1.0,8.0,8.0,3.0,5.0,,1.0,3.0,4.0,,,,,,45.0,19.0,6.6,3.0,0.00077657,0,,,,1.0,2.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Ousseynou Ba,ousseynou-ba,O. Ba,D,27,192,385,M,889430,EUR,816048000,D,27,27,True,7.0,3.0,4.0,,3.0,6.0,,1.0,2.0,2.0,3.0,2.0,,,,,,18.0,10.0,6.5,4.0,1.136e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Emirhan İlkhan,emirhan-ilkhan,E. İlkhan,M,6,175,987,M,1142612,EUR,1086048000,M,26,26,True,2.0,1.0,,,,,1.0,2.0,,,1.0,1.0,,,,,,18.0,6.0,6.3,4.0,0.00011106,0,,,,1.0,3.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Eden Karzev,eden-karzev,E. Karzev,M,36,186,132,M,921169,EUR,955411200,M,90,90,True,4.0,2.0,1.0,,2.0,2.0,,2.0,,,1.0,2.0,,,,,,15.0,6.0,6.6,2.0,1.69e-05,1,,,,,,,,,,,,,,,,,,,,,,,0.0182,,1.0,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Cemali Sertel,sertel-cemali,C. Sertel,D,19,186,55,M,929956,EUR,947116800,D,88,88,True,,,,,,,,,,,,,,,,,,8.0,,6.5,,,0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Deniz Dilmen,deniz-dilmen,D. Dilmen,G,1,198,150,M,1065508,EUR,1117929600,G,98,98,True,,,,,,,,,,,,,,,,,,,,,,,0,,Deniz Dilmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Mahmut Tekdemir,mahmut-tekdemir,M. Tekdemir,D,,178,50,M,43666,EUR,569721600,M,21,21,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Serdar Gürler,serdar-gurler,S. Gürler,M,7,176,112,M,96520,EUR,684806400,M,7,7,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Danijel Aleksić,danijel-aleksic,D. Aleksić,M,9,182,137,M,45377,EUR,672969600,M,8,8,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Philippe Keny,philippe-keny,P. P. Keny,F,19,186,355,M,988909,EUR,926985600,F,17,17,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451034,away,Hatayspor,Erce Kardeşler,erce-kardesler,E. Kardeşler,G,31,186,93,M,758606,EUR,763603200,G,1,1,False,34.0,26.0,13.0,5.0,23.0,25.0,3.0,9.0,,1.0,,7.0,,,,2.0,,90.0,47.0,7.0,8.0,0.00119702,0,-0.2105,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,2.0,1.0,1.0,,,,
11451034,away,Hatayspor,Kerim Alıcı,kerim-alici,K. Alıcı,D,27,183,22,M,758870,EUR,867110400,D,22,22,False,52.0,46.0,6.0,5.0,29.0,31.0,17.0,23.0,5.0,7.0,2.0,,,,,,,90.0,70.0,7.1,10.0,0.109429,1,,,,2.0,4.0,,,,,,2.0,1.0,2.0,,,1.0,,1.0,,,2.0,,0.0146,,,,1.0,,,,,1.0,,,,,,,
11451034,away,Hatayspor,Guy-Marcelin Kilama,guy-marcelin-kilama,G. M. Kilama,D,,180,314,M,944222,EUR,928022400,D,3,3,False,77.0,70.0,11.0,5.0,48.0,49.0,22.0,28.0,1.0,2.0,3.0,6.0,,,,,,90.0,87.0,6.5,10.0,0.0119193,0,,,,,4.0,,3.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11451034,away,Hatayspor,Burak Bekaroğlu,burak-bekaroglu,B. Bekaroğlu,D,86,185,23,M,802645,EUR,861148800,D,86,86,False,79.0,66.0,12.0,4.0,46.0,47.0,20.0,32.0,3.0,6.0,2.0,5.0,,,,,,85.0,90.0,7.4,14.0,0.256951,2,,,,3.0,4.0,,,,,1.0,3.0,1.0,1.0,,,2.0,1.0,1.0,,,,,0.1878,,2.0,,,,,,1.0,,,,,1.0,1.0,,
11451034,away,Hatayspor,Cengiz Demir,demir-cengiz,C. Demir,D,5,186,15,M,1015360,EUR,987552000,D,27,27,False,29.0,24.0,3.0,1.0,13.0,14.0,11.0,15.0,,3.0,1.0,,,,,,,65.0,44.0,6.6,7.0,0.0126957,2,,,,3.0,5.0,,,,,,1.0,1.0,2.0,,2.0,,1.0,,,,,,0.552,,2.0,,,,,,,,,,,1.0,,,
