match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,player_sofascoreId,stat_wonContest,stat_shotOffTarget,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalOffside,stat_errorLeadToAGoal,stat_bigChanceMissed
12421252,home,KVC Westerlo,Matija Frigan,,,matija-frigan,M. Frigan,F,20,184,1391,M,1092081,EUR,1044921600,F,9,9,False,15.0,13.0,4.0,3.0,0.0,3.0,4.0,10.0,11.0,1.0,5.0,,3.0,,,,,81.0,25.0,7.8,4.0,0.0209039,3,,,,5.0,6.0,,2.0,,,,,1.0,2.0,,0.9664,1.0,,,2.0,2.0,,1.0,1.0,0.9694,1.0,,,
12421252,home,KVC Westerlo,Alfie Devine,,,alfie-devine,A. Devine,M,21,182,1496,M,1049459,EUR,1091318400,M,10,10,True,7.0,1.0,4.0,,0.0,1.0,4.0,,3.0,1.0,1.0,,,,,,,25.0,8.0,6.4,6.0,4.14e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421252,home,KVC Westerlo,Rhys Youlley,Rhys Youlley,,rhys-youlley,R. Youlley,M,36,184,55,M,1415589,EUR,1108252800,M,36,36,True,4.0,3.0,,,0.0,2.0,3.0,1.0,1.0,,3.0,1.0,2.0,,,,,20.0,13.0,6.6,2.0,0.00010768,1,,,,2.0,3.0,1.0,,,,3.0,1.0,1.0,,,0.0799,,,,,1.0,,,,,,,,
12421252,home,KVC Westerlo,Emin Bayram,,,emin-bayram,E. Bayram,D,40,193,768,M,997153,EUR,1049241600,D,40,40,True,4.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,,2.0,1.0,,,,,,9.0,10.0,7.1,,0.00238498,0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,
12421252,home,KVC Westerlo,Serhiy Sydorchuk,,,serhiy-sydorchuk,S. Sydorchuk,M,8,189,289,M,81202,EUR,673142400,M,15,15,True,6.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,5.0,,2.0,,2.0,,,,,9.0,8.0,6.7,4.0,0.00060251,0,,,,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,
12421252,home,KVC Westerlo,Islam Slimani,,,islam-slimani,I. Slimani,F,19,188,7448,M,238708,EUR,582595200,F,19,19,True,2.0,1.0,,,0.0,1.0,1.0,,1.0,,,1.0,,,,,,9.0,4.0,6.4,1.0,3.086e-05,0,,,,2.0,3.0,1.0,,,,,,,,,,,,islamslimani09,,,,,,,,,,
12421252,home,KVC Westerlo,Koen Van Langendonck,,,koen-van-langendonck,K. V. Langendonck,G,30,188,44,M,247481,EUR,613353600,G,30,30,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421252,home,KVC Westerlo,Amando Lapage,,,amando-lapage,A. Lapage,D,4,187,181,M,1396102,EUR,1099872000,D,73,73,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421252,home,KVC Westerlo,Mathias Fixelles,,,mathias-fixelles,M. Fixelles,M,11,174,39,M,876447,EUR,839721600,M,4,4,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421252,home,KVC Westerlo,Arthur Piedfort,Arthur Piedfort,,arthur-piedfort,A. Piedfort,M,46,186,202,M,1149123,EUR,1107216000,D,46,46,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
