match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_totalOffside,stat_aerialLost,stat_aerialWon,stat_wasFouled,stat_fouls,captain,stat_unsuccessfulTouch,stat_dispossessed,stat_shotOffTarget,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_hitWoodwork,stat_keyPass,player_sofascoreId,stat_bigChanceCreated
10433871,home,Trabzonspor,Emrehan Gedikli,,,emrehan-gedikli,E. Gedikli,F,,185,201,M,997130,EUR,1051228800,F,37,37,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433871,away,Galatasaray,Fernando Muslera,,,fernando-muslera,F. Muslera,G,16,190,9390,M,28381,EUR,519264000,G,1,1,False,32.0,18.0,20.0,6.0,14.0,16.0,4.0,16.0,15.0,,3.0,90.0,42.0,7.3,15.0,0,,,,1.0,,,,,1.0,,,,,,,1.0,,,True,,,,,,,,Muslera,
10433871,away,Galatasaray,Sacha Boey,,,boey-sacha,S. Boey,D,93,178,13192,M,980418,EUR,968803200,D,93,93,False,38.0,28.0,3.0,,9.0,14.0,21.0,28.0,5.0,,,90.0,67.0,7.4,15.0,0,4.0,2.0,7.0,10.0,1.0,4.0,2.0,,2.0,,3.0,3.0,3.0,,3.0,4.0,1.0,1.0,,1.0,,,,,,1.0,sacha_boey,
10433871,away,Galatasaray,Victor Nelsson,,,victor-nelsson,V. Nelsson,D,15,187,2685,M,846148,EUR,908323200,D,25,25,False,44.0,35.0,6.0,3.0,25.0,25.0,10.0,19.0,6.0,,,90.0,54.0,7.2,9.0,1,,,5.0,5.0,1.0,,,,5.0,1.0,,2.0,1.0,,3.0,2.0,1.0,1.0,,,,1.0,,,,,Nelsson,
10433871,away,Galatasaray,Abdülkerim Bardakcı,,,abdulkerim-bardakci,A. Bardakcı,D,42,185,6050,M,178963,EUR,778896000,D,42,42,False,45.0,33.0,10.0,3.0,26.0,28.0,7.0,17.0,5.0,,,90.0,55.0,6.9,13.0,1,,,5.0,6.0,1.0,,,,2.0,1.0,,,,,4.0,4.0,2.0,,,,,,,1.0,,,abdulkerimbard1,
10433871,away,Galatasaray,Patrick van Aanholt,,,patrick-van-aanholt,P. v. Aanholt,D,14,175,552,M,74577,EUR,651888000,D,3,3,False,51.0,44.0,3.0,2.0,26.0,28.0,19.0,24.0,3.0,,,90.0,72.0,7.3,9.0,1,1.0,1.0,1.0,2.0,1.0,,,,1.0,,3.0,2.0,,,,,,,,,,1.0,,,,,,
10433871,away,Galatasaray,Lucas Torreira,,,lucas-torreira,L. Torreira,M,34,168,8645,M,754794,EUR,823996800,M,5,5,False,42.0,34.0,3.0,1.0,17.0,18.0,17.0,24.0,8.0,,,73.0,50.0,7.0,8.0,0,,,2.0,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,,,ltorreira34,
10433871,away,Galatasaray,Sérgio Oliveira,,,sergio-oliveira,S. Oliveira,M,27,181,1618,M,991493,EUR,707443200,M,27,27,False,47.0,39.0,6.0,2.0,15.0,16.0,27.0,36.0,3.0,,,90.0,71.0,7.2,16.0,1,5.0,3.0,6.0,6.0,,2.0,1.0,,1.0,,2.0,2.0,2.0,,1.0,,3.0,1.0,,2.0,3.0,,,1.0,,4.0,,
10433871,away,Galatasaray,Yunus Akgün,,,yunus-akgun,Y. Akgün,M,11,173,9004,M,857738,EUR,962928000,M,11,11,False,48.0,41.0,2.0,,7.0,7.0,35.0,42.0,2.0,,,89.0,60.0,6.9,9.0,1,1.0,1.0,6.0,4.0,2.0,4.0,3.0,,,,,,,,1.0,,1.0,2.0,,,,,,1.0,,1.0,yunusakgun17,1.0
10433871,away,Galatasaray,Dries Mertens,,,dries-mertens,D. Mertens,M,,169,10256,M,32493,EUR,547257600,M,10,10,False,40.0,30.0,4.0,3.0,7.0,10.0,23.0,31.0,9.0,,,89.0,62.0,7.5,17.0,2,1.0,,6.0,9.0,,3.0,1.0,2.0,1.0,,1.0,5.0,4.0,,1.0,,3.0,4.0,,2.0,1.0,,1.0,,,1.0,driesmertens,1.0
10433871,away,Galatasaray,Kerem Aktürkoğlu,,,kerem-akturkoglu,K. Aktürkoğlu,F,9,173,24902,M,903324,EUR,908928000,M,7,7,False,22.0,18.0,,,6.0,7.0,12.0,15.0,2.0,,,90.0,32.0,6.2,9.0,1,,,8.0,2.0,3.0,4.0,2.0,1.0,,,,,,1.0,2.0,,,2.0,,,1.0,,,,,,KAktürkoğlu,
10433871,away,Galatasaray,Haris Seferović,,,haris-seferovic,H. Seferović,F,9,189,1003,M,50899,EUR,698716800,F,9,9,False,14.0,10.0,,,2.0,2.0,8.0,12.0,2.0,,,65.0,26.0,6.8,7.0,3,,,6.0,5.0,,,,1.0,1.0,,,,,3.0,3.0,2.0,3.0,1.0,,1.0,2.0,1.0,,1.0,,,,
10433871,away,Galatasaray,Bafetimbi Gomis,,,bafetimbi-gomis,B. Gomis,F,,184,1072,M,3530,EUR,492134400,F,18,18,True,4.0,3.0,,,,,3.0,4.0,,,,25.0,12.0,6.2,5.0,2,,,7.0,4.0,,,,,,,,1.0,,2.0,2.0,3.0,,3.0,,2.0,2.0,2.0,1.0,,,,,
10433871,away,Galatasaray,Berkan Kutlu,,,berkan-kutlu,B. Kutlu,M,18,186,2160,M,992912,EUR,885686400,M,22,22,True,20.0,16.0,1.0,,8.0,8.0,8.0,12.0,5.0,,,17.0,26.0,6.8,6.0,0,,,1.0,2.0,,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,1.0,,
10433871,away,Galatasaray,Emre Akbaba,,,emre-akbaba,E. Akbaba,M,8,180,423,M,343527,EUR,718156800,M,23,23,True,,,,,,,,,,,,1.0,1.0,,,0,,,2.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,
10433871,away,Galatasaray,Barış Alper Yılmaz,,,baris-alper-yilmaz,B. A. Yılmaz,M,53,186,13015,M,904096,EUR,959040000,F,53,53,True,,,,,,,,,,,,1.0,1.0,,1.0,0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,barisalperyilmaz,
10433871,away,Galatasaray,Okan Kocuk,,,okan-kocuk,O. Koçuk,G,1,187,288,M,190179,EUR,806803200,G,34,34,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433871,away,Galatasaray,Emin Bayram,,,emin-bayram,E. Bayram,D,40,193,771,M,997153,EUR,1049241600,D,40,40,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433871,away,Galatasaray,Omar Elabdellaoui,,,omar-elabdellaoui,O. Elabdellaoui,D,3,179,172,M,100619,EUR,691891200,D,14,14,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433871,away,Galatasaray,Kazımcan Karataş,,,kazimcan-karatas,K. Karataş,D,88,182,1617,M,1008884,EUR,1042675200,D,88,88,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433871,away,Galatasaray,Emre Kılınç,,,emre-kilinc,E. Kılınç,M,11,174,322,M,202032,EUR,777600000,M,54,54,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433871,away,Galatasaray,Hamza Akman,,,hamza-akman,H. Akman,M,18,170,354,M,1394720,EUR,1096243200,M,81,81,True,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
