match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,player_sofascoreId,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_expectedGoals,stat_dispossessed,stat_unsuccessfulTouch,stat_accurateCross,stat_keyPass,stat_blockedScoringAttempt,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,player_firstName,player_lastName,stat_goodHighClaim,stat_punches,stat_goalsPrevented
12501522,away,Torino,Ivan Ilić,ivan-ilic,I. Ilić,M,8,185,1776,M,877371,EUR,984787200,M,8,8,True,26.0,25.0,1.0,,0.0,9.0,9.0,16.0,17.0,1.0,2.0,,,45.0,29.0,6.4,1.0,0.0113917,1,,,,1.0,3.0,,,,,,,,,,2.0,0.0063,,,,,1.0,,,,,,,,,,,,,,
12501522,away,Torino,Valentino Lazaro,valentino-lazaro,V. Lazaro,M,20,180,1014,M,233826,EUR,827625600,D,20,20,True,14.0,10.0,,,0.0,3.0,6.0,7.0,10.0,,1.0,,,31.0,25.0,6.5,9.0,0.01707,1,,,2.0,,2.0,1.0,,,,,,1.0,1.0,,,0.0216,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,
12501522,away,Torino,Nikola Vlašić,nikola-vlasic,N. Vlašić,M,10,178,5477,M,357596,EUR,875923200,M,10,10,True,15.0,14.0,1.0,1.0,0.0,5.0,5.0,9.0,10.0,1.0,1.0,,,31.0,20.0,6.6,2.0,0.0146575,0,niksivlasic_,,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
12501522,away,Torino,Yann Karamoh,yann-karamoh,Y. Karamoh,F,75,185,1024,M,802149,EUR,899856000,F,7,7,True,6.0,3.0,,,0.0,1.0,2.0,2.0,5.0,,,,,22.0,13.0,6.3,6.0,0.00069739,1,,,1.0,,2.0,,,,,,,,,,1.0,0.0122,,,,,1.0,1.0,,,,,,,,,,,,,
12501522,away,Torino,Sebastian Walukiewicz,sebastian-walukiewicz,S. Walukiewicz,D,6,188,2252,M,886243,EUR,954892800,D,4,4,True,7.0,7.0,,,0.0,4.0,4.0,3.0,3.0,,1.0,,,11.0,9.0,6.7,,0.0015636,0,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,away,Torino,Alberto Paleari,alberto-paleari,A. Paleari,G,1,192,344,M,259281,EUR,715046400,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,away,Torino,Antonio Donnarumma,antonio-donnarumma,A. Donnarumma,G,1,192,596,M,125921,EUR,647308800,G,17,17,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,away,Torino,Ali Dembélé,dembele-ali,A. Dembélé,D,3,185,224,M,1397347,EUR,1073260800,D,21,21,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,away,Torino,Alessio Cacciamani,alessio-cacciamani,A. Cacciamani,M,77,170,193,M,1868036,EUR,1183075200,F,95,95,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alessio Cacciamani,,,,
12501522,away,Torino,Sergiu Perciun,sergiu-perciun,Perciun,M,83,180,372,M,1592970,EUR,1145750400,M,83,83,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergiu,Perciun,,,
12501522,away,Torino,Samuele Ricci,samuele-ricci,S. Ricci,M,4,182,4118,M,930189,EUR,998352000,M,28,28,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501522,away,Torino,Antonio Sanabria,antonio-sanabria,A. Sanabria,F,99,181,3538,M,333261,EUR,825897600,F,9,9,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
