match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_blockedScoringAttempt,stat_wasFouled,stat_expectedGoals,player_sofascoreId,stat_shotOffTarget,stat_wonTackle,stat_aerialLost,stat_totalOffside,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_clearanceOffLine,stat_errorLeadToAShot
12437767,home,Villarreal,Ayoze Pérez,,,ayoze-perez,A. Pérez,F,22,180.0,3785,M,345195,EUR,743385600,F,22,22,False,17.0,15.0,,,0.0,5.0,5.0,10.0,12.0,,4.0,1.0,4.0,,,,,,,90.0,32.0,7.0,7.0,0.15189,1,,,,4.0,1.0,1.0,2.0,1.0,,,,1.0,3.0,1.0,2.0,,1.0,2.0,0.0393,,,1.0,1.0,,,,,,,
12437767,home,Villarreal,Juan Bernat,,,juan-bernat,J. Bernat,D,,170.0,1161,M,96368,EUR,730944000,D,12,12,True,20.0,13.0,,,0.0,2.0,4.0,12.0,20.0,2.0,2.0,1.0,2.0,,,,,,,45.0,31.0,6.9,12.0,0.22585,0,,4.0,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,
12437767,home,Villarreal,Thierno Barry,,,thierno-barry,T. Barry,F,11,195.0,5887,M,1395746,EUR,1035158400,F,15,15,True,1.0,,,,0.0,,,,1.0,6.0,6.0,,,,,,,,,33.0,8.0,7.3,1.0,,6,,,,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,,1.0456,t.barry29,4.0,,,1.0,1.0,1.0,,0.7342,,
12437767,home,Villarreal,Pau Cabanes,Pau Cabanes De La Torre,,pau-cabanes-de-la-torre,P. C. D. L. Torre,F,33,179.0,321,M,1863206,EUR,1108598400,F,33,33,True,17.0,12.0,,,0.0,2.0,3.0,10.0,18.0,,4.0,,4.0,,,,,,,20.0,30.0,7.0,14.0,0.00926953,0,,4.0,,2.0,,1.0,4.0,3.0,,,,1.0,3.0,,1.0,,,,,,,1.0,,,,,,,,
12437767,home,Villarreal,Rubén Gómez,Rubén Gómez Peris,,ruben-gomez,R. Gómez,G,31,185.0,45,M,1407702,EUR,1011830400,G,55,55,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437767,home,Villarreal,Pau Navarro,,,pau-navarro,P. Navarro,D,6,185.0,319,M,1525863,EUR,1114387200,D,26,26,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437767,home,Villarreal,Willy Kambwala,Willy Kambwala,,kambwala-willy,W. Kambwala,D,5,192.0,2163,M,1136721,EUR,1093392000,D,5,5,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437767,home,Villarreal,Thiago Ojeda,Thiago Ojeda,,thiago-ojeda,T. Ojeda,M,28,188.0,125,M,1116580,EUR,1042329600,M,38,38,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437767,home,Villarreal,Denis Suárez,,,denis-suarez,D. Suárez,M,4,176.0,1456,M,138383,EUR,757814400,M,6,6,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437767,away,Real Betis,Francisco Vieites,,,francisco-vieites,F. Vieites,G,13,196.0,313,M,929975,EUR,926035200,G,25,25,False,35.0,14.0,27.0,6.0,0.0,13.0,14.0,1.0,21.0,1.0,1.0,1.0,8.0,4.0,1.0,2.0,1.0,,,90.0,47.0,7.0,21.0,9.11e-05,0,0.5919,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
12437767,away,Real Betis,Youssouf Sabaly,,,youssouf-sabaly,Y. Sabaly,D,17,174.0,5678,M,111803,EUR,731289600,D,23,23,False,33.0,26.0,2.0,,0.0,16.0,21.0,10.0,12.0,1.0,3.0,3.0,6.0,,,,,,,90.0,46.0,7.1,10.0,0.00382104,0,,,,1.0,,,,,,1.0,,1.0,2.0,,,,,1.0,,youssouf_sabaly23,,1.0,1.0,,,,,,1.0,
12437767,away,Real Betis,Marc Bartra,,,marc-bartra,M. Bartra,D,5,183.0,1917,M,99519,EUR,663897600,D,5,5,False,37.0,29.0,8.0,2.0,0.0,22.0,23.0,7.0,14.0,,3.0,10.0,2.0,,,,,,,90.0,59.0,7.4,8.0,0.00780934,0,,,,5.0,,,,,,2.0,6.0,2.0,,2.0,,True,,1.0,,,,,3.0,,,,,,,
12437767,away,Real Betis,Diego Llorente,,,diego-llorente,D. Llorente,D,3,185.0,1146,M,305278,EUR,745459200,D,3,3,False,28.0,26.0,2.0,2.0,0.0,18.0,20.0,8.0,8.0,1.0,1.0,7.0,1.0,,,,,,,90.0,37.0,6.6,3.0,0.0107184,0,,,,4.0,,,1.0,,,,1.0,,,,,,,,,,,,3.0,,,,,,,
12437767,away,Real Betis,Romain Perraud,,,romain-perraud,R. Perraud,D,15,173.0,596,M,827519,EUR,874886400,D,15,15,False,33.0,26.0,2.0,,0.0,9.0,11.0,17.0,26.0,1.0,9.0,6.0,6.0,,,,,,,90.0,66.0,6.8,15.0,0.0117953,0,,4.0,,8.0,2.0,2.0,1.0,,,,,2.0,,2.0,,,,6.0,,,,2.0,1.0,,,,,,,
12437767,away,Real Betis,Johnny Cardoso,,,johnny,J. Cardoso,M,5,186.0,5097,M,990169,EUR,1000944000,M,4,4,False,39.0,35.0,2.0,1.0,0.0,18.0,19.0,17.0,20.0,,3.0,6.0,11.0,,,,,,,90.0,61.0,6.7,9.0,0.0170609,0,,,,7.0,3.0,1.0,3.0,,,,5.0,1.0,1.0,,,,,2.0,,,,1.0,,,,,,,,
12437767,away,Real Betis,Sergi Altimira,,,sergi-altimira,S. Altimira,M,6,188.0,1049,M,1137814,EUR,998697600,M,16,16,False,43.0,39.0,3.0,1.0,0.0,14.0,15.0,25.0,28.0,,4.0,3.0,4.0,,,,,,,88.0,58.0,7.1,8.0,0.0299144,1,,,,4.0,,1.0,,,,,,3.0,2.0,1.0,2.0,,,1.0,0.0184,,,3.0,2.0,,,1.0,,0.2011,,1.0
12437767,away,Real Betis,Chimy Ávila,,,chimy-avila,C. Ávila,F,9,171.0,2160,M,789381,EUR,760492800,M,9,9,False,8.0,6.0,1.0,,0.0,2.0,3.0,5.0,9.0,,2.0,,2.0,,,,,,,34.0,16.0,5.6,6.0,0.120301,1,,4.0,1.0,4.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,0.0108,,,1.0,2.0,,,,,,,
12437767,away,Real Betis,Giovani Lo Celso,,,lo-celso-giovani,G. Lo Celso,M,20,177.0,15743,M,798835,EUR,829008000,M,20,20,False,39.0,30.0,5.0,2.0,0.0,8.0,12.0,22.0,33.0,,4.0,1.0,3.0,,,,,,,74.0,63.0,7.5,21.0,0.0474343,2,,6.0,,6.0,,4.0,1.0,1.0,,1.0,1.0,2.0,2.0,2.0,1.0,,,1.0,0.1111,locelso_giovani,,1.0,1.0,,,2.0,1.0,0.7731,,
