match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_totalOffside,captain,stat_bigChanceMissed,player_sofascoreId,stat_goals,stat_outfielderBlock,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_errorLeadToAShot
12421106,home,Club Brugge KV,Romeo Vermant,romeo-vermant,R. Vermant,F,17,184,1524,M,1069336,EUR,1074902400,F,17,17,False,18.0,15.0,3.0,2.0,0.0,6.0,7.0,9.0,12.0,4.0,,,81.0,31.0,7.5,7.0,0.0330405,2,,Romeo,Vermant,2.0,,,,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,,,2.0,0.5562,0.3029,,,2.0,,1.0,,1.0,,,,,,
12421106,home,Club Brugge KV,Kyriani Sabbe,kyriani-sabbe,K. Sabbe,D,64,176,1049,M,1101258,EUR,1106697600,D,64,64,True,12.0,11.0,4.0,3.0,0.0,4.0,4.0,7.0,8.0,,,,21.0,24.0,6.8,4.0,0.00619873,0,,,,,,3.0,,,,,2.0,2.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,
12421106,home,Club Brugge KV,Chemsdine Talbi,chemsdine-talbi,C. Talbi,M,7,175,12536,M,1142675,EUR,1115596800,F,68,68,True,8.0,7.0,1.0,,0.0,1.0,2.0,6.0,7.0,1.0,,,21.0,14.0,7.5,2.0,0.0247898,1,,,,,,1.0,,,,,2.0,1.0,1.0,,1.0,,,,,1.0,,,,0.9079,0.9952,1.0,1.0,,,,,1.0,,,,,,
12421106,home,Club Brugge KV,Michał Skóraś,michal-skoras,M. Skóraś,F,8,172,3088,M,942479,EUR,950572800,F,21,21,True,2.0,,1.0,,0.0,,,,2.0,1.0,,,10.0,6.0,6.0,3.0,,1,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,0.4019,,,,1.0,,1.0,,,,,,,,
12421106,home,Club Brugge KV,Ferran Jutglà,ferran-jutgla,F. Jutglà,F,9,175,3732,M,949962,EUR,917827200,F,9,9,True,3.0,3.0,,,0.0,2.0,2.0,2.0,2.0,1.0,,,9.0,9.0,7.0,3.0,0.0708725,1,,,,2.0,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,0.0993,,2.0,1.0,,,,,,,,,,,
12421106,home,Club Brugge KV,Jorne Spileers,jorne-spileers,J. Spileers,D,58,188,885,M,1104897,EUR,1106265600,D,58,58,True,,,,,0.0,,,,,,,,1.0,1.0,,,,0,,Jorne,Spileers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
12421106,home,Club Brugge KV,Nordin Jackers,nordin-jackers,N. Jackers,G,29,185,424,M,361722,EUR,873417600,G,29,29,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421106,home,Club Brugge KV,Hugo Vetlesen,hugo-vetlesen,H. Vetlesen,M,10,174,784,M,877236,EUR,951696000,M,10,10,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421106,home,Club Brugge KV,Casper Nielsen,casper-nielsen,C. Nielsen,M,94,182,403,M,247471,EUR,767577600,M,27,27,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421106,home,Club Brugge KV,Gustaf Nilsson,gustaf-nilsson,G. Nilsson,F,19,197,774,M,572286,EUR,864345600,F,19,19,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421106,away,RSC Anderlecht,Colin Coosemans,colin-coosemans,C. Coosemans,G,26,185,265,M,122399,EUR,712800000,G,26,26,False,52.0,41.0,21.0,10.0,0.0,37.0,39.0,4.0,13.0,13.0,4.0,7.0,90.0,67.0,8.1,11.0,0.00461988,0,1.1331,,,2.0,2.0,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,
12421106,away,RSC Anderlecht,Killian Sardella,killian-sardella,K. Sardella,D,54,177,482,M,909964,EUR,1020297600,D,54,54,False,24.0,19.0,,,0.0,15.0,15.0,6.0,14.0,5.0,,,90.0,46.0,6.2,15.0,0.0304775,0,,,,5.0,,2.0,,,2.0,,,,,,5.0,2.0,3.0,,,,,,4.0,,,,,,,,,,,,,,,
12421106,away,RSC Anderlecht,Jan-Carlo Simić,jan-carlo-simic,J. Simić,D,4,185,1987,M,1214992,EUR,1114992000,D,4,4,False,61.0,55.0,6.0,2.0,0.0,41.0,41.0,14.0,20.0,2.0,,,90.0,70.0,6.5,7.0,0.0685549,1,,Jan-Carlo Simić,,3.0,,7.0,,,2.0,,,,,,,,1.0,,,1.0,,,,0.0939,0.5706,,,,,,,1.0,,,,,1.0,
12421106,away,RSC Anderlecht,Leander Dendoncker,leander-dendoncker,L. Dendoncker,M,20,188,1662,M,190405,EUR,797904000,D,32,32,False,79.0,67.0,6.0,1.0,0.0,46.0,49.0,21.0,30.0,3.0,,,90.0,91.0,6.4,14.0,0.00557631,0,,,,4.0,,2.0,2.0,,1.0,2.0,2.0,,,,,,1.0,,,,,2.0,,,,,,,True,,,,,,,,,
