match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_outfielderBlock,stat_ownGoals,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,captain,stat_keyPass,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_errorLeadToAShot,stat_wasFouled,stat_expectedGoalsOnTarget,stat_totalCross,stat_hitWoodwork,stat_penaltyWon,stat_penaltyMiss,stat_accurateCross,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,stat_goals
14572728,home,Celtic,Johnny Kenny,kenny-johnny,J. Kenny,F,9,177,634,M,1116315,EUR,1054857600,F,24,24,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14572728,away,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189,4533,M,793986,EUR,935712000,G,99,99,False,28.0,20.0,11.0,3.0,0.0,20.0,23.0,,5.0,2.0,10.0,1.0,2.0,,90.0,38.0,7.1,9.0,7.461e-05,74.551375881156,11.0,12.705,4.2,0.2021,0,0.1397,0.09,0.04,0.21,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,
14572728,away,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,23,190,4065,M,611210,EUR,829699200,D,23,23,False,44.0,36.0,3.0,2.0,0.0,17.0,22.0,19.0,22.0,6.0,4.0,,,,90.0,60.0,7.0,8.0,0.0489812,105.28282614369,10.0,53.55,27.72,,0,,0.28,0.13,0.28,,3.0,1.0,8.0,4.0,1.0,1.0,,,,,4.0,,,,,,,1.0,,1.0,1.0,,1.0,64.719785622183,3.0,,1.0,,,,,1.0,,1.0,,,,1.0,,,,,
14572728,away,Roma,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190,9187,M,848287,EUR,935107200,D,5,5,False,57.0,48.0,2.0,1.0,0.0,36.0,40.0,12.0,17.0,2.0,4.0,,,,90.0,68.0,7.1,12.0,0.0108075,129.20997581427,20.0,30.975,9.135,,0,,0.11,0.07,0.13,,,5.0,3.0,7.0,2.0,,,,,,3.0,,,evanndicka,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,
14572728,away,Roma,Mario Hermoso,mario-hermoso,M. Hermoso,D,22,184,2636,M,353130,EUR,803433600,D,22,22,False,38.0,29.0,3.0,1.0,0.0,17.0,21.0,12.0,17.0,1.0,6.0,,,,80.0,56.0,6.7,14.0,0.00599084,60.412710471693,9.0,-18.48,4.935,,0,,0.02,0.08,-0.27,,,3.0,1.0,7.0,2.0,3.0,2.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,
14572728,away,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,19,180,2952,M,893008,EUR,856137600,M,19,19,False,46.0,33.0,6.0,1.0,1.0,14.0,21.0,19.0,25.0,3.0,7.0,,,,90.0,71.0,7.4,18.0,0.626408,131.11427436322,17.0,58.065,25.935,,1,,0.34,0.18,0.0,,,3.0,1.0,6.0,2.0,1.0,,1.0,,,,,,,1.0,0.0641,-0.38,,1.0,2.0,2.0,,,27.250334328224,1.0,,1.0,1.0,,,,,,3.0,,,,,,,,,
14572728,away,Roma,Neil El Aynaoui,neil-el-aynaoui,N. El Aynaoui,M,8,186,16268,M,1128530,EUR,994032000,M,8,8,False,46.0,43.0,5.0,4.0,0.0,13.0,14.0,30.0,32.0,1.0,4.0,,,,90.0,59.0,7.1,6.0,0.104831,57.775692561605,12.0,14.7,6.09,,0,,0.22,0.06,-0.05,,,,3.0,4.0,3.0,4.0,2.0,2.0,,,,Neil,El Aynaoui,,,,,2.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
14572728,away,Roma,Niccolò Pisilli,niccolo-pisilli,N. Pisilli,M,61,180,2285,M,1175821,EUR,1095897600,M,61,61,False,39.0,33.0,6.0,4.0,0.0,14.0,15.0,19.0,24.0,2.0,2.0,,,,85.0,54.0,7.1,10.0,0.0127667,98.71381594064,15.0,48.405,10.395,,1,,0.04,0.14,0.2,,,,1.0,4.0,,3.0,2.0,3.0,1.0,,,,,,1.0,0.0364,-0.21,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
14572728,away,Roma,Devyne Rensch,devyne-rensch,D. Rensch,D,2,182,2450,M,982778,EUR,1042848000,M,2,2,False,34.0,29.0,3.0,1.0,0.0,8.0,10.0,21.0,24.0,2.0,4.0,,,,90.0,58.0,6.7,11.0,0.034053,104.57356153861,15.0,28.455,12.705,,0,,-0.13,0.07,-0.02,,,,3.0,6.0,3.0,1.0,,2.0,,,,,,,,,,,1.0,6.0,4.0,,,12.094412098155,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,
14572728,away,Roma,Matías Soulé,matias-soule,M. Soulé,F,18,182,12547,M,1082406,EUR,1050364800,F,18,18,False,33.0,31.0,3.0,3.0,1.0,9.0,10.0,22.0,23.0,,3.0,,,,69.0,49.0,7.2,11.0,0.155935,178.44270782709,20.0,108.465,22.575,,3,,0.27,0.32,0.0,,,1.0,1.0,2.0,,,,1.0,,,,,,matiassoule11,,0.1151,-0.4,,,2.0,1.0,1.0,1.0,52.005539388994,3.0,,4.0,1.0,,2.0,,,0.557,5.0,1.0,,,,,,,,
14572728,away,Roma,Stephan El Shaarawy,stephan-el-shaarawy,S. El Shaarawy,F,22,178,5701,M,45925,EUR,720144000,F,92,92,False,30.0,23.0,,,0.0,11.0,11.0,12.0,19.0,,3.0,,,,69.0,45.0,6.8,13.0,0.0382319,187.63716286709,16.0,104.58,34.545,,2,,0.01,0.43,0.16,,,1.0,1.0,3.0,,1.0,1.0,1.0,,,,,,stewel92,2.0,0.1046,-0.49,,1.0,1.0,1.0,,2.0,98.889400990504,5.0,True,,,,,,,,2.0,,,,,,,,,
14572728,away,Roma,Evan Ferguson,evan-ferguson,E. Ferguson,F,11,188,8315,M,999231,EUR,1098144000,F,11,11,False,16.0,10.0,,,0.0,2.0,4.0,8.0,12.0,1.0,1.0,,,,69.0,28.0,8.0,11.0,0.019591,31.264357246301,6.0,11.025,7.875,,3,,-0.37,-0.1,-0.03,,1.0,1.0,6.0,2.0,,,,1.0,,,,,,EvanFerguson9,1.0,0.8087,0.73,1.0,3.0,1.0,,,,,,,1.0,,,2.0,,1.0,1.211,,1.0,,,,,,,,2.0
14572728,away,Roma,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,7,186,5682,M,555540,EUR,835142400,M,7,7,True,16.0,12.0,1.0,1.0,0.0,5.0,7.0,7.0,9.0,,2.0,,,,21.0,20.0,7.0,5.0,0.153943,97.614492377444,9.0,-14.595,15.33,,0,,0.14,0.04,0.0,,,2.0,,3.0,,,,,,,,,,lorepelle7,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
