match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_fouls,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_aerialWon,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_aerialLost,stat_challengeLost,stat_hitWoodwork,stat_dispossessed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAShot,stat_goodHighClaim,stat_goalAssist,stat_goals
10385470,away,Liverpool,Stefan Bajčetić,,,stefan-bajcetic,S. Bajčetić,M,43,185,10262,M,stefanbajcetic,1142636,EUR,1098403200,M,43,43,False,22.0,18.0,2.0,10.0,11.0,11.0,,2.0,2.0,1.0,,,59.0,28.0,6.4,7.0,0.0172,0.0,0.00533332,1,,,,8.0,,,3.0,2.0,,,,,2.0,1.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,
10385470,away,Liverpool,Mohamed Salah,,,mohamed-salah,M. Salah,M,11,175,565083,M,MoSalah,159665,EUR,708566400,F,11,11,False,23.0,18.0,,9.0,9.0,14.0,,4.0,3.0,,,,90.0,33.0,7.2,10.0,0.202,0.0183,0.36055,2,,,,9.0,,,5.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,,1.0,3.0,,,1.0,1.0,,,,,,1.0,
10385470,away,Liverpool,Cody Gakpo,,,cody-gakpo,C. Gakpo,M,18,193,51371,M,CodyGakpo,862967,EUR,926035200,F,18,18,False,10.0,8.0,,3.0,3.0,8.0,1.0,1.0,1.0,2.0,,,59.0,18.0,7.0,4.0,0.4558,0.8339,0.00469362,2,,,,5.0,1.0,,5.0,3.0,,,,,1.0,,,,,2.0,1.0,,,2.0,1.0,,,2.0,,,,,,,1.0
10385470,away,Liverpool,Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,188,70760,M,Darwin,924871,EUR,930182400,F,27,27,False,12.0,9.0,2.0,5.0,5.0,7.0,1.0,1.0,,2.0,,,59.0,18.0,6.9,6.0,0.6448,1.2167,0.0186336,2,,,2.0,4.0,,,8.0,,2.0,,,,,,,,,,,,,1.0,3.0,,,2.0,,,,,,,1.0
10385470,away,Liverpool,Roberto Firmino,,,roberto-firmino,R. Firmino,M,9,181,31054,M,BobbyFirmino,143697,EUR,686361600,F,9,9,True,22.0,18.0,,5.0,6.0,16.0,,,2.0,,,,31.0,30.0,6.5,8.0,0.0,0.0,0.0183772,0,,,,13.0,,,6.0,3.0,4.0,2.0,,,1.0,,,,1.0,,,,,,4.0,,,,,,,,,,
10385470,away,Liverpool,James Milner,,,james-milner,J. Milner,M,20,175,3367,M,,791,EUR,505180800,M,7,7,True,31.0,29.0,2.0,16.0,17.0,14.0,,3.0,1.0,1.0,,,31.0,36.0,7.0,3.0,0.0,0.0,0.0284184,0,,,2.0,13.0,,,1.0,4.0,2.0,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,
10385470,away,Liverpool,Harvey Elliott,,,harvey-elliott,H. Elliott,M,9,170,21132,M,harvelliott,955245,EUR,1049414400,M,19,19,True,18.0,16.0,1.0,3.0,3.0,17.0,,4.0,1.0,,,,31.0,26.0,7.3,5.0,0.0173,0.4399,0.287011,1,,,,14.0,2.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,
10385470,away,Liverpool,Diogo Jota,,,diogo-jota,D. Jota,F,,178,31287,M,DiogoJ18,606164,EUR,849657600,F,20,20,True,14.0,11.0,,4.0,5.0,10.0,,,,,,,31.0,26.0,5.9,4.0,0.519,0.0,0.00800621,4,,,,8.0,1.0,1.0,5.0,2.0,2.0,1.0,,,1.0,,,,,,2.0,4.0,,,4.0,,,,,,,,,,
10385470,away,Liverpool,Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,9953,M,caoimhinkelleher98,827362,EUR,911779200,G,62,62,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385470,away,Liverpool,Nathaniel Phillips,,,nathaniel-phillips,N. Phillips,D,3,190,2174,M,,920393,EUR,858902400,D,47,47,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385470,away,Liverpool,Konstantinos Tsimikas,,,konstantinos-tsimikas,K. Tsimikas,D,12,178,16200,M,TK21,786259,EUR,831859200,D,21,21,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385470,away,Liverpool,Joël Matip,,,joel-matip,J. Matip,D,,195,3362,M,joelmatip,51501,EUR,681609600,D,32,32,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385470,away,Liverpool,Naby Keïta,,,naby-keita,N. Keïta,M,5,172,16640,M,keitanabydeco,365772,EUR,792374400,M,8,8,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
