match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,captain,stat_accurateCross,stat_bigChanceMissed,stat_goals,stat_hitWoodwork,stat_punches,stat_errorLeadToAGoal,stat_totalOffside
12421171,away,K. Beerschot V.A.,Ewan Henderson,,,ewan-henderson,E. Henderson,M,20,186.0,63,M,862951,EUR,954115200,M,8,8,False,41.0,32.0,5.0,2.0,0.0,23.0,26.0,10.0,17.0,4.0,6.0,,,,,90.0,55.0,6.8,11.0,0.0526525,1,,2.0,2.0,6.0,5.0,3.0,,,,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,,,1.0,1.0,0.033,,1.0,,1.0,,,,,,
12421171,away,K. Beerschot V.A.,Faisal Al-Ghamdi,Faisal,Al-Ghamdi,al-ghamdi-faisal,F. A. Ghamdi,M,16,185.0,953,M,966452,EUR,997660800,M,16,16,False,46.0,39.0,8.0,4.0,0.0,19.0,20.0,20.0,26.0,1.0,7.0,,,,,90.0,59.0,7.0,10.0,0.0512911,0,,,1.0,2.0,6.0,,,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Tom Reyners,,,tom-reyners,T. Reyners,F,10,169.0,57,M,965779,EUR,956188800,M,7,7,False,18.0,16.0,2.0,2.0,0.0,4.0,5.0,12.0,15.0,,5.0,,,,,80.0,34.0,6.9,9.0,0.0196416,2,,2.0,2.0,7.0,1.0,3.0,,2.0,1.0,,,,4.0,,1.0,1.0,,,2.0,,1.0,0.2079,0.8748,,,,,,,,,
12421171,away,K. Beerschot V.A.,Antoine Colassin,,,antoine-colassin,A. Colassin,F,25,188.0,181,M,909965,EUR,983145600,M,25,25,False,23.0,14.0,10.0,5.0,0.0,7.0,10.0,7.0,13.0,2.0,1.0,,,,,80.0,40.0,6.8,13.0,0.0211097,4,,,,4.0,2.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,3.0,1.0,1.0,0.1682,0.0932,,,,,,,,,
12421171,away,K. Beerschot V.A.,Thibaud Verlinden,,,thibaud-verlinden,T. Verlinden,M,7,173.0,110,M,826172,EUR,931478400,M,10,10,False,22.0,17.0,2.0,2.0,0.0,7.0,8.0,11.0,21.0,1.0,2.0,,,,,90.0,55.0,6.4,21.0,0.166896,3,,7.0,,9.0,4.0,2.0,2.0,5.0,1.0,,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,0.0707,0.0502,,True,1.0,,,,,,1.0
12421171,away,K. Beerschot V.A.,Marwan Alsahafi,,,alsahafi-marwan,M. Alsahafi,F,9,179.0,1131,M,1474689,EUR,1076976000,F,17,17,False,12.0,7.0,,,0.0,3.0,3.0,4.0,9.0,,2.0,,,,,90.0,22.0,6.4,12.0,0.00505663,0,,,2.0,5.0,4.0,,1.0,4.0,2.0,,,,4.0,1.0,,,1.0,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Marco Weymans,,,marco-weymans,M. Weymans,D,28,175.0,96,M,802065,EUR,868406400,D,28,28,True,6.0,5.0,2.0,1.0,0.0,3.0,3.0,2.0,3.0,2.0,2.0,,,,,26.0,11.0,6.4,2.0,0.00317243,0,,,,1.0,3.0,,,,,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,ArJany Martha,,,martha-arjany,A. Martha,D,11,180.0,259,M,1004277,EUR,1062633600,D,42,42,True,3.0,2.0,,,0.0,,1.0,2.0,3.0,,1.0,,,,,10.0,6.0,6.4,2.0,0.00595702,0,,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Florian Krüger,,,florian-kruger,F. Krüger,F,26,186.0,130,M,945878,EUR,918864000,F,11,11,True,4.0,3.0,1.0,,0.0,3.0,3.0,,1.0,,,,,,,10.0,4.0,6.4,1.0,7.588e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Ayouba Kosiah,,,ayouba-kosiah,A. Kosiah,F,92,188.0,256,M,1046939,EUR,995760000,F,9,9,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,,,1.0,2.0,,1.0,0.00071254,0,,,2.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Davor Matijaš,,,davor-matijas,D. Matijaš,G,71,188.0,108,M,826029,EUR,935366400,G,71,71,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Katuku Derrick Tshimanga,,,katuku-derrick-tshimanga,K. D. Tshimanga,D,26,176.0,30,M,46014,EUR,594777600,D,26,26,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Herve Matthys,,,herve-matthys,H. Matthys,D,3,184.0,82,M,318637,EUR,822009600,D,3,3,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Félix Nzouango Bikien,,,felix-nzouango-bikien,F. N. Bikien,D,99,188.0,117,M,1012653,EUR,1041897600,D,55,55,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421171,away,K. Beerschot V.A.,Welat Cagro,,,cagro-welat,W. Cagro,M,47,188.0,51,M,988579,EUR,928108800,M,47,47,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
