match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_fouls,stat_expectedGoals,stat_challengeLost,stat_wonContest,player_firstName,player_lastName,stat_shotOffTarget,stat_totalOffside,captain,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_hitWoodwork
11369383,away,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,30.0,21.0,13.0,4.0,18.0,18.0,3.0,12.0,1.0,10.0,3.0,1.0,2.0,1.0,,,90.0,41.0,7.1,9.0,0.00037842,0,0.1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174,127,M,800403,EUR,735523200,D,20,20,False,36.0,28.0,6.0,1.0,14.0,17.0,14.0,20.0,2.0,8.0,,,,,,,90.0,58.0,6.6,12.0,0.0100538,0,,1.0,3.0,4.0,5.0,,,1.0,,,1.0,3.0,,2.0,,,,1.0,,,,,,True,,,,,,,,,1.0,1.0,
11369383,away,Cádiz,Víctor Chust,victor-chust,V. Chust,D,23,182,605,M,855831,EUR,952214400,D,5,5,False,53.0,41.0,9.0,2.0,35.0,38.0,6.0,15.0,4.0,2.0,,,,,,,90.0,61.0,6.5,13.0,0.00264833,0,,,1.0,3.0,3.0,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,Javier Hernández,javier-hernandez,J. Hernández,D,26,181,457,M,1031658,EUR,894067200,D,15,15,False,49.0,34.0,20.0,8.0,23.0,25.0,12.0,26.0,2.0,5.0,,,,,,,90.0,57.0,6.6,16.0,0.0250086,0,,2.0,1.0,2.0,2.0,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,
11369383,away,Cádiz,Lucas Pires,lucas-pires,L. Pires,D,23,182,554,M,1136896,EUR,985392000,D,33,33,False,29.0,20.0,7.0,3.0,12.0,15.0,11.0,20.0,4.0,6.0,,,,,,,90.0,61.0,6.4,20.0,0.0421257,0,,6.0,3.0,8.0,6.0,1.0,3.0,,3.0,1.0,3.0,,,2.0,,,,2.0,1.0,,,,,,3.0,,,,,,,,,,
11369383,away,Cádiz,Robert Navarro,robert-navarro,R. Navarro,M,23,178,940,M,944165,EUR,1018569600,M,27,27,False,8.0,6.0,,,2.0,2.0,6.0,9.0,,,,,,,,,45.0,21.0,6.6,6.0,0.0225253,1,,3.0,2.0,4.0,5.0,,1.0,,3.0,1.0,2.0,1.0,,1.0,,1.0,0.3214,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,1.0
11369383,away,Cádiz,Rominigue Kouamé,rominigue-kouame,R. Kouamé,M,6,177,330,M,846446,EUR,850780800,M,12,12,False,42.0,32.0,3.0,1.0,16.0,23.0,17.0,20.0,1.0,10.0,,,,,,,84.0,53.0,7.0,12.0,0.0492232,0,,1.0,2.0,3.0,2.0,,,3.0,,,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,2.0,,
11369383,away,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,28.0,21.0,7.0,4.0,9.0,11.0,12.0,17.0,3.0,3.0,,,,,,,62.0,35.0,6.5,8.0,0.00649898,0,,,2.0,8.0,3.0,1.0,,,,,,1.0,1.0,2.0,,3.0,,2.0,,,,,,,,,,,,,,,1.0,,
11369383,away,Cádiz,Darwin Machís,darwin-machis,D. Machís,F,11,174,1580,M,252863,EUR,729043200,M,18,18,False,32.0,24.0,5.0,3.0,4.0,6.0,21.0,31.0,1.0,6.0,,,,,,,90.0,55.0,7.0,17.0,0.0553342,2,,5.0,,6.0,6.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,,,1.0,0.0378,2.0,1.0,,,1.0,1.0,,1.0,,1.0,0.1127,,,,,,,
11369383,away,Cádiz,Roger Martí,roger-marti,R. Martí,F,9,178,227,M,212074,EUR,662860800,F,21,21,False,23.0,14.0,3.0,1.0,4.0,5.0,10.0,18.0,,4.0,,,,,,,75.0,39.0,7.4,18.0,0.3929,1,,,2.0,6.0,6.0,1.0,,,,,6.0,4.0,2.0,2.0,,3.0,0.0591,,,,,1.0,,,,,,,,,2.0,,,,
11369383,away,Cádiz,Chris Ramos,chris-ramos,C. Ramos,F,9,193,1666,M,914819,EUR,853545600,F,16,16,False,11.0,5.0,2.0,1.0,2.0,3.0,3.0,9.0,1.0,3.0,,,,,,,75.0,27.0,6.5,15.0,0.0128779,2,,1.0,5.0,8.0,5.0,2.0,,1.0,1.0,1.0,4.0,1.0,,3.0,,2.0,0.1254,,,,,1.0,2.0,,,1.0,1.0,0.6885,,,,,,,
11369383,away,Cádiz,Álex Fernández,alex-fernandez,Á. Fernández,M,8,183,168,M,148588,EUR,719107200,M,8,8,True,28.0,24.0,3.0,1.0,10.0,13.0,14.0,15.0,1.0,5.0,,,,,,,45.0,35.0,6.7,5.0,0.0076514,0,,,1.0,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,Gonzalo Escalante,gonzalo-escalante,G. Escalante,M,8,182,258,M,316170,EUR,733190400,M,17,17,True,12.0,7.0,3.0,,3.0,4.0,4.0,8.0,,2.0,,,,,,,28.0,17.0,6.6,6.0,0.00185238,0,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,Maximiliano Gómez,maximiliano-gomez,M. Gómez,F,9,186,1051,M,805245,EUR,839980800,F,25,25,True,3.0,3.0,,,1.0,1.0,2.0,2.0,,,,,,,,,15.0,4.0,6.5,1.0,0.00183736,0,,,2.0,2.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,Sergi Guardiola,sergi-guardiola,S. Guardiola,F,14,185,229,M,141945,EUR,675475200,F,19,19,True,3.0,1.0,,,,1.0,1.0,3.0,1.0,,,,,,,,15.0,8.0,6.6,4.0,0.00062281,0,,1.0,,,2.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,
11369383,away,Cádiz,Álvaro Negredo,alvaro-negredo,Á. Negredo,F,,186,307,M,27838,EUR,493344000,F,9,9,True,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,12.0,4.0,6.6,1.0,4.02e-06,0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,Victor Wehbi Aznar,victor-wehbi-aznar,V. W. Aznar,G,13,189,104,M,1011486,EUR,1034812800,G,26,26,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,David Gil,david-gil,D. Gil,G,1,183,78,M,138390,EUR,758246400,G,13,13,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,Jorge Meré,jorge-mere,J. Meré,D,3,182,166,M,355046,EUR,861235200,D,22,22,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,Mamadou Mbaye,mamadou-mbaye,M. Mbaye,D,15,188,162,M,921621,EUR,898992000,D,14,14,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,José Mari,jose-mari,J. Mari,M,,181,49,M,141997,EUR,565747200,M,6,6,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
