match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,captain,stat_totalOffside,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_goodHighClaim,stat_hitWoodwork,player_sofascoreId
10438340,away,Chaves,Bruno Langa,,,bruno-langa,B. Langa,D,24,178,2435,M,987490,EUR,878256000,D,5,5,False,46.0,33.0,6.0,13.0,20.0,29.0,8.0,,,90.0,80.0,8.0,26.0,2,3.0,21.0,3.0,1.0,1.0,1.0,3.0,8.0,,,2.0,2.0,,2.0,1.0,,2.0,4.0,2.0,2.0,,2.0,,,,,,2.0,,,
10438340,away,Chaves,João Mendes,,,joao-mendes,J. Mendes,M,10,183,228,M,857376,EUR,782697600,M,8,8,False,36.0,32.0,4.0,9.0,11.0,26.0,8.0,,,86.0,53.0,6.7,14.0,0,3.0,23.0,1.0,,1.0,,7.0,3.0,1.0,2.0,4.0,1.0,,,1.0,1.0,4.0,1.0,,2.0,,,,,,,,,,,
10438340,away,Chaves,João Pedro,,,joao-pedro,J. Pedro,M,,176,61,M,251217,EUR,733795200,M,83,83,False,40.0,30.0,2.0,20.0,27.0,13.0,8.0,,,90.0,49.0,6.9,10.0,0,,10.0,,,1.0,1.0,6.0,5.0,2.0,,1.0,1.0,1.0,2.0,3.0,,,,3.0,,,,,,,,,,,,
10438340,away,Chaves,Bernardo Sousa,,,bernardo-sousa,B. Sousa,F,77,178,72,M,1087371,EUR,954115200,M,73,73,False,16.0,12.0,,2.0,2.0,15.0,1.0,,,67.0,25.0,6.6,7.0,1,,10.0,1.0,,1.0,,2.0,,,,,,,,,,2.0,,2.0,1.0,,,,,,,1.0,,,,
10438340,away,Chaves,João Teixeira,,,joao-teixeira,J. Teixeira,M,97,178,78,M,138899,EUR,760492800,M,10,10,False,40.0,36.0,2.0,13.0,16.0,28.0,5.0,,,90.0,64.0,7.3,13.0,2,2.0,24.0,4.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,,,1.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,,True,,1.0,,,,,
10438340,away,Chaves,Euller,,,euller,Euller,M,7,173,63,M,336843,EUR,789177600,M,16,16,False,21.0,17.0,,6.0,6.0,20.0,4.0,,,90.0,46.0,6.8,14.0,3,,12.0,5.0,1.0,1.0,,7.0,8.0,2.0,1.0,5.0,4.0,,1.0,1.0,1.0,4.0,3.0,2.0,,,1.0,,,,,2.0,,,,
10438340,away,Chaves,Juninho Vieira,,,juninho-vieira,Juninho,F,23,179,17759,M,833236,EUR,848534400,F,20,20,False,11.0,8.0,,2.0,3.0,9.0,,,,81.0,21.0,6.7,7.0,2,,6.0,1.0,,2.0,1.0,4.0,3.0,,2.0,2.0,2.0,,,,,1.0,,,2.0,1.0,,1.0,,1.0,1.0,1.0,,,,juninhovieira_21
10438340,away,Chaves,Jô Batista,,,jo-batista,Batista,F,90,192,162,M,947921,EUR,799286400,F,95,95,True,7.0,4.0,,,1.0,6.0,,,,23.0,13.0,6.9,3.0,1,,4.0,,,6.0,3.0,6.0,5.0,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,,,1.0,,,,,
10438340,away,Chaves,Sandro Cruz,,,cruz-sandro,S. Cruz,D,57,182,281,M,982146,EUR,989625600,D,12,12,True,2.0,2.0,,,,2.0,,,,9.0,3.0,6.4,1.0,0,,2.0,,,,,2.0,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,
10438340,away,Chaves,Nélson Monte,,,nelson-monte,N. Monte,D,4,187,67,M,831014,EUR,807062400,D,3,3,True,4.0,3.0,,2.0,2.0,2.0,,,,11.0,5.0,6.5,1.0,0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
10438340,away,Chaves,Gonçalo Filipe,Gonçalo Filipe,,goncalo-filipe,G. Filipe,G,28,194,11,M,1397563,EUR,957052800,G,30,30,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438340,away,Chaves,João Queirós,,,joao-queiros,J. Queirós,D,4,190,59,M,869032,EUR,893203200,D,44,44,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438340,away,Chaves,Gui Silva,Guilherme,,guilherme,G. Silva,D,4,191,12,M,1401182,EUR,972086400,D,47,47,True,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
