match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_totalTackle,stat_wonTackle,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_hitWoodwork,stat_errorLeadToAGoal
10913615,away,Abha,Abdulfattah Adam Mohammed,abdulfattah-adam-mohammed,A. A. Mohammed,F,77,180.0,85,M,952442,EUR,788918400,F,9,9,False,10.0,8.0,,,2.0,2.0,6.0,8.0,,,2.0,,,,,64.0,16.0,6.5,6.0,1,,,2.0,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,
10913615,away,Abha,Dries Saddiki,dries-saddiki,D. Saddiki,M,17,179.0,158,M,795133,EUR,839548800,M,34,34,True,28.0,27.0,2.0,1.0,15.0,15.0,12.0,13.0,5.0,,4.0,1.0,,,,26.0,36.0,6.1,2.0,0,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,3.0,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0
10913615,away,Abha,Felipe Caicedo,felipe-caicedo,F. Caicedo,F,,185.0,1058,M,18841,EUR,589420800,F,20,20,True,10.0,8.0,,,1.0,1.0,7.0,9.0,3.0,,1.0,,,,,26.0,15.0,6.8,4.0,1,,2.0,5.0,,2.0,,,,1.0,,,1.0,,,,2.0,2.0,,,,2.0,,,1.0,,,,,,,
10913615,away,Abha,Mansour Jawhar,mansour-jawhar,M. Jawhar,G,1,180.0,2,M,793872,EUR,795571200,G,33,33,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913615,away,Abha,Sari Amro,sari-amro,S. Amro,D,,178.0,2,,817952,EUR,627091200,D,31,31,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913615,away,Abha,Mohammed Al-Konaideri,mohammed-al-konaideri,M. Al-Konaideri,D,12,175.0,21,M,1019340,EUR,971222400,D,13,13,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913615,away,Abha,Saeed Al Hamsal,saeed-al-hamsal,S. A. Hamsal,D,39,176.0,21,M,818563,EUR,829785600,D,39,39,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913615,away,Abha,Saad Al-Salouli,saad-alselouli,S. Al-Salouli,M,24,168.0,15,M,917266,EUR,896054400,D,88,88,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913615,away,Abha,Mutair Al Zahrani,mutair-al-zahrani,M. A. Zahrani,M,15,174.0,8,M,1063645,EUR,782784000,D,15,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,Mutair Al Zahrani,,,,,,,,,,,,,,,,,,,,,
10913615,away,Abha,Nasser Al-Omran,nasser-al-omran,N. Al-Omran,M,,172.0,2,M,923943,EUR,868752000,M,23,23,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
