match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_fouls,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,captain,stat_accurateCross,stat_penaltyWon,stat_keyPass,stat_goalAssist,stat_penaltyFaced,stat_blockedScoringAttempt,stat_penaltyConceded,stat_totalOffside
10583819,home,Al-Shabab,Santi Mina,santi-mina,S. Mina,F,,182.0,384,,306498,EUR,818294400,F,77,77,False,17.0,13.0,2.0,1.0,3.0,3.0,14.0,3.0,1.0,2.0,,,90.0,24.0,7.0,7.0,0,10.0,,4.0,7.0,,2.0,1.0,1.0,,,1.0,,,,2.0,,,1.0,,,,,,1.0,1.0,1.0,,,,
10583819,home,Al-Shabab,Nader Al Sharari,nader-abdullah-al-sharari,N. A. Sharari,D,4,184.0,534,M,923040,EUR,831513600,D,88,88,True,10.0,10.0,1.0,1.0,6.0,6.0,4.0,,,,,,19.0,11.0,6.6,,0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Nawaf Al-Abed,nawaf-al-abed,N. Al-Abed,M,,168.0,122,,144377,EUR,633312000,M,14,14,True,12.0,8.0,2.0,,3.0,3.0,9.0,1.0,,,,,20.0,14.0,6.3,5.0,0,5.0,,,2.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Hattan Bahebri,hattan-bahebri,H. Bahbri,M,11,168.0,92,M,803052,EUR,711244800,M,11,11,True,5.0,5.0,2.0,2.0,3.0,3.0,2.0,,1.0,,,,14.0,8.0,6.5,3.0,0,2.0,,,3.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,
10583819,home,Al-Shabab,Saeed Al-Rabiei,saeed-al-rabiei,S. Al-Rabiei,D,4,187.0,32,M,954639,EUR,746841600,D,25,25,True,12.0,9.0,3.0,1.0,9.0,11.0,1.0,,,,,,8.0,12.0,6.5,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Nasser Al-Omran,nasser-al-omran,N. Al-Omran,M,,172.0,2,M,923943,EUR,868752000,M,21,21,True,6.0,6.0,,,4.0,4.0,2.0,,,,,,8.0,6.0,6.5,,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Fawaz Al-Qarni,fawaz-al-qarni,F. Al-Qarni,G,,185.0,18,M,160929,EUR,702172800,G,22,22,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Turki Al-Ammar,turki-al-ammar,T. Al-Ammar,M,7,170.0,151,M,965177,EUR,938044800,M,7,7,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Hussain Al-Sebyani,hussain-alsebyani,H. Alsebyani,M,16,168.0,15,M,1152012,EUR,993340800,D,16,16,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Hussain Alsebyani,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Ahmed Abdu,ahmed-abdu,A. Abdu,F,71,183.0,6,M,1392248,EUR,839462400,M,71,71,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,Ahmed Abdu,,,,,,,,,,,,,,
10583819,away,Al Tai,Victor Braga,victor-braga,V. Braga,G,1,193.0,79,M,805020,EUR,698284800,G,1,1,False,16.0,7.0,10.0,1.0,7.0,9.0,7.0,1.0,5.0,,,1.0,90.0,21.0,5.6,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
