match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_bigChanceCreated,stat_outfielderBlock,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_totalOffside,stat_expectedGoalsOnTarget,stat_wonContest,stat_goals,stat_goodHighClaim,stat_errorLeadToAGoal,stat_clearanceOffLine,stat_hitWoodwork
12421185,away,KV Kortrijk,João Silva,,,joao-silva,J. Silva,D,187.0,281,M,1068519,EUR,916272000,D,44,44,False,96.0,81.0,11.0,6.0,0.0,52.0,60.0,29.0,36.0,1.0,5.0,,,,,90.0,107.0,6.7,17.0,0.0112679,0,,6,2.0,,2.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,2.0,True,,,,1.0,,,,,
12421185,away,KV Kortrijk,Ryotaro Tsunoda,,,tsunoda-ryotaro,R. Tsunoda,D,183.0,198,M,1083801,EUR,930441600,D,33,33,False,78.0,63.0,12.0,6.0,0.0,39.0,42.0,24.0,36.0,6.0,7.0,,,,,90.0,97.0,7.7,15.0,0.0248439,2,,22,2.0,6.0,4.0,11.0,2.0,,1.0,,0.0896,2.0,1.0,3.0,,,1.0,1.0,,,,,1.0,,,1.0,,0.2552,,,,,,
12421185,away,KV Kortrijk,Bram Lagae,Bram,Lagae,bram-lagae,B. Lagae,D,183.0,177,M,1126688,EUR,1074038400,D,26,26,False,47.0,40.0,10.0,7.0,0.0,28.0,31.0,12.0,17.0,3.0,,,,,,45.0,58.0,6.9,10.0,0.00594498,2,,4,2.0,3.0,2.0,5.0,,2.0,,,0.2194,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,
12421185,away,KV Kortrijk,Gilles Dewaele,,,gilles-dewaele,G. Dewaele,D,180.0,52,M,285943,EUR,824169600,M,20,20,False,65.0,57.0,5.0,3.0,0.0,36.0,38.0,22.0,30.0,1.0,3.0,,,,,85.0,81.0,6.4,13.0,0.0175404,3,,20,,2.0,1.0,4.0,,2.0,1.0,1.0,0.1152,2.0,1.0,,3.0,,,,1.0,,,,,2.0,,1.0,,,,,,1.0,,
12421185,away,KV Kortrijk,Nayel Mehssatou,,,nayel-mehssatou,N. Mehssatou,M,172.0,534,M,1064174,EUR,1018569600,M,6,6,False,53.0,47.0,4.0,3.0,0.0,20.0,20.0,27.0,34.0,1.0,3.0,,,,,90.0,71.0,7.5,9.0,0.114762,1,,8,,,2.0,5.0,,,,1.0,0.0471,1.0,1.0,2.0,1.0,,,2.0,,1.0,2.0,,1.0,,,,,0.027,2.0,,,,,
12421185,away,KV Kortrijk,Abdoulaye Sissako,,,abdoulaye-sissako,A. Sissako,M,186.0,79,M,846330,EUR,896140800,M,27,27,False,77.0,72.0,1.0,1.0,0.0,33.0,37.0,39.0,40.0,3.0,3.0,,,,,89.0,100.0,7.0,11.0,0.037067,3,,8,1.0,1.0,7.0,5.0,,,2.0,1.0,0.1245,3.0,2.0,,,,1.0,1.0,,2.0,4.0,,1.0,1.0,,2.0,,0.0122,1.0,,,,,
12421185,away,KV Kortrijk,Dion De Neve,,,dion-de-neve,D. D. Neve,M,180.0,102,M,923974,EUR,992304000,M,11,11,False,43.0,41.0,,,0.0,16.0,16.0,27.0,37.0,2.0,3.0,,,,,90.0,64.0,7.5,10.0,0.0941919,0,,14,,,1.0,2.0,1.0,,,,,2.0,2.0,,10.0,,2.0,1.0,2.0,,,,,,,,,,,,,,1.0,
12421185,away,KV Kortrijk,Abdelkahar Kadri,,,abdelkahar-kadri,A. Kadri,M,170.0,2010,M,1007528,EUR,961804800,F,10,10,False,70.0,62.0,6.0,5.0,0.0,14.0,14.0,51.0,63.0,2.0,4.0,,,,,90.0,95.0,8.2,17.0,0.511419,2,,37,2.0,,6.0,8.0,1.0,,,,0.2343,2.0,1.0,2.0,7.0,1.0,,3.0,3.0,1.0,6.0,,,2.0,,2.0,,,4.0,,,,,1.0
12421185,away,KV Kortrijk,Nacho Ferri,,,nacho-ferri,N. Ferri,F,192.0,459,M,1196903,EUR,1096934400,F,19,19,False,17.0,13.0,2.0,1.0,0.0,3.0,4.0,10.0,14.0,1.0,2.0,,,,,90.0,34.0,6.8,14.0,0.018802,2,,90,,3.0,7.0,4.0,,,,1.0,0.2156,,,1.0,1.0,,,,,6.0,,,1.0,3.0,,1.0,,0.2788,,,,,,
12421185,away,KV Kortrijk,Thierry Ambrose,,,thierry-ambrose,T. Ambrose,F,178.0,423,M,356024,EUR,859507200,F,68,68,False,34.0,24.0,,,0.0,4.0,6.0,20.0,29.0,,3.0,,,,,78.0,50.0,7.0,18.0,0.0750049,2,,68,1.0,2.0,4.0,5.0,,,,,0.6275,2.0,1.0,,1.0,,,2.0,,1.0,3.0,1.0,2.0,3.0,,,,0.4135,1.0,,,,,
12421185,away,KV Kortrijk,Ryan Alebiosu,,,ryan-alebiosu,R. Alebiousu,M,188.0,779,M,1014441,EUR,1008547200,D,2,2,True,24.0,21.0,1.0,,0.0,7.0,7.0,14.0,20.0,,1.0,,,,,45.0,34.0,6.7,8.0,0.0359952,1,,2,,,2.0,2.0,,,,,0.0483,2.0,,,3.0,,,1.0,,2.0,,,,,,1.0,,,,,,,,
12421185,away,KV Kortrijk,Billal Messaoudi,,,billal-messaoudi,B. Messaoudi,M,184.0,641,M,1125840,EUR,882662400,F,45,45,True,4.0,3.0,,,0.0,,,3.0,4.0,,,,,,,12.0,7.0,6.9,1.0,0.00401613,1,,9,2.0,1.0,2.0,2.0,,,,,0.0568,,,,,,,,,,1.0,,1.0,,,,,0.0916,1.0,,,,,
12421185,away,KV Kortrijk,Massimo Bruno,,,massimo-bruno,M. Bruno,M,177.0,60,M,94298,EUR,748224000,M,17,17,True,6.0,6.0,,,0.0,1.0,1.0,5.0,6.0,,,,,,,12.0,9.0,6.6,2.0,0.0047992,0,,17,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,
12421185,away,KV Kortrijk,Mounaim El Idrissy,,,mounaim-el-idrissy,M. El Idrissy,F,181.0,189,M,960007,EUR,918604800,F,7,7,True,,,,,0.0,,,,,,,,,,,1.0,2.0,,,,0,,9,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421185,away,KV Kortrijk,Ebbe De Vlaeminck,Ebbe De Vlaeminck,,ebbe-de-vlaeminck,E. D. Vlaeminck,G,184.0,51,M,1187184,EUR,1131062400,G,13,13,True,,,,,,,,,,,,,,,,,,,,,0,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421185,away,KV Kortrijk,Fuhna Nsolo,Fuhna Nsolo,,fuhna-nsolo,F. Nsolo,D,,35,M,2022306,EUR,1114473600,M,41,41,True,,,,,,,,,,,,,,,,,,,,,0,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421185,away,KV Kortrijk,Iver Fossum,,,iver-fossum,I. Fossum,M,180.0,83,M,280993,EUR,834796800,M,14,14,True,,,,,,,,,,,,,,,,,,,,,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421185,away,KV Kortrijk,Nathan Huygevelde,,,nathan-huygevelde,N. Huygevelde,M,185.0,46,M,1388593,EUR,1074816000,M,35,35,True,,,,,,,,,,,,,,,,,,,,,0,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421185,away,KV Kortrijk,Mouhamed Gueye,,,gueye-mouhamed,M. Guèye,M,171.0,130,M,1470031,EUR,1068940800,M,32,32,True,,,,,,,,,,,,,,,,,,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
