match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_goals,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_bigChanceMissed,player_sofascoreId,stat_penaltyConceded,stat_goalAssist,stat_bigChanceCreated
10433810,home,MKE Ankaragücü,Anastasios Chatzigiovanis,anastasios-chatzigiovanis,A. Chatzigiovanis,M,10,175,406,M,850770,EUR,865036800,M,7,7,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433810,away,Başakşehir FK,Volkan Babacan,volkan-babacan,V. Babacan,G,1,192,197,M,30143,EUR,587260800,G,1,1,False,37.0,30.0,13.0,6.0,28.0,28.0,2.0,9.0,,,1.0,10.0,1.0,1.0,3.0,,,,90.0,49.0,6.7,7.0,0,,,,,,,,,,,,,,,,,,,,,,True,,,,1.0,,,,,
10433810,away,Başakşehir FK,Ömer Ali Şahiner,omer-ali-sahiner,Ö. A. Şahiner,D,42,175,88,M,103912,EUR,694310400,D,42,42,False,32.0,27.0,4.0,3.0,13.0,13.0,14.0,19.0,,3.0,3.0,2.0,,,,,,,90.0,50.0,6.7,8.0,0,,,,,3.0,,,,,3.0,2.0,1.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,
10433810,away,Başakşehir FK,Youssouf Ndayishimiye,youssouf-ndayishimiye,Y. Ndayishimiye,D,55,183,1808,M,985934,EUR,909446400,D,55,55,False,62.0,53.0,12.0,8.0,37.0,39.0,16.0,23.0,2.0,4.0,7.0,2.0,,,,,,,90.0,79.0,7.4,10.0,1,,,,,1.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,
10433810,away,Başakşehir FK,Ahmed Touba,ahmed-touba,A. Touba,D,5,190,4979,M,856216,EUR,889747200,D,59,59,False,72.0,66.0,8.0,6.0,43.0,44.0,23.0,28.0,3.0,3.0,2.0,3.0,,,,,,,90.0,78.0,6.9,8.0,0,,,,,2.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,Toubaahmed59,,,
10433810,away,Başakşehir FK,Hasan Ali Kaldırım,hasan-ali-kaldirim,H. A. Kaldırım,D,3,182,94,M,39847,EUR,629164800,D,3,3,False,43.0,34.0,5.0,1.0,20.0,25.0,15.0,23.0,,3.0,1.0,3.0,,,,,,,85.0,71.0,6.6,14.0,1,,,5.0,1.0,3.0,1.0,2.0,1.0,,2.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,
10433810,away,Başakşehir FK,Danijel Aleksić,danijel-aleksic,D. Aleksić,M,9,182,136,M,45377,EUR,672969600,M,8,8,False,13.0,11.0,1.0,1.0,7.0,8.0,4.0,6.0,,,,3.0,,,,,,,56.0,18.0,6.3,5.0,0,,,1.0,,3.0,,,,,,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,
10433810,away,Başakşehir FK,Lucas Biglia,lucas-biglia,L. Biglia,M,,178,317,,17799,EUR,507427200,M,20,20,False,52.0,45.0,6.0,4.0,25.0,27.0,20.0,25.0,1.0,7.0,4.0,8.0,,,,,,,90.0,72.0,7.2,9.0,0,,,,,5.0,2.0,,,,5.0,3.0,1.0,2.0,3.0,3.0,1.0,,,,,,,,,,,,,1.0,,
10433810,away,Başakşehir FK,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178,157,M,806964,EUR,887500800,M,19,19,False,23.0,20.0,1.0,1.0,4.0,5.0,16.0,18.0,,6.0,,4.0,,,,,,,84.0,34.0,7.3,4.0,1,,,,,3.0,1.0,2.0,1.0,,,1.0,,,4.0,,1.0,1.0,,,,1.0,,,,,,,,,1.0,
10433810,away,Başakşehir FK,Bertrand Traoré,bertrand-traore,B. Traoré,F,25,180,34487,M,218160,EUR,810345600,F,9,9,False,30.0,21.0,3.0,1.0,5.0,5.0,16.0,25.0,,6.0,1.0,5.0,,,,,,,90.0,53.0,6.4,19.0,1,,,,,6.0,,8.0,4.0,,,1.0,1.0,5.0,1.0,,,2.0,,,,1.0,,,,,,,bertrandtraore10,,,
10433810,away,Başakşehir FK,Stefano Okaka,stefano-okaka,S. Okaka,F,7,186,329,M,13148,EUR,618624000,F,77,77,False,14.0,12.0,,,6.0,7.0,6.0,7.0,1.0,4.0,1.0,,,,,,,,77.0,27.0,6.9,8.0,1,,,,,6.0,,2.0,,,,1.0,1.0,1.0,2.0,2.0,,,,1.0,3.0,,,1.0,,,,,,,,
10433810,away,Başakşehir FK,Mounir Chouiar,mounir-chouiar,M. Chouiar,M,23,178,1621,M,845274,EUR,917049600,F,11,11,False,11.0,8.0,3.0,3.0,2.0,5.0,6.0,8.0,,2.0,,5.0,,,,,,,56.0,29.0,6.8,12.0,0,,,2.0,,3.0,1.0,3.0,2.0,,1.0,,,5.0,,1.0,1.0,,,,,,,,,,,,,,1.0,
10433810,away,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,291,M,252207,EUR,728265600,M,23,23,True,21.0,18.0,2.0,2.0,4.0,5.0,14.0,17.0,,3.0,,2.0,,,,,,,34.0,28.0,7.9,5.0,2,,,1.0,,1.0,,,,,,2.0,,,1.0,,2.0,,,2.0,1.0,,,1.0,,,,,,,,1.0
10433810,away,Başakşehir FK,Serdar Gürler,serdar-gurler,S. Gürler,M,7,176,112,M,96520,EUR,684806400,M,7,7,True,20.0,18.0,1.0,,7.0,9.0,11.0,14.0,,5.0,,1.0,,,,,,,34.0,36.0,6.8,10.0,1,,,3.0,,4.0,,6.0,3.0,,1.0,,,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,
10433810,away,Başakşehir FK,Philippe Keny,philippe-keny,P. P. Keny,F,19,186,356,M,988909,EUR,926985600,F,17,17,True,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,13.0,6.0,6.7,1.0,0,,,,,2.0,,,,1.0,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,
10433810,away,Başakşehir FK,Junior Caiçara,junior-caicara,J. Caiçara,D,5,173,100,M,128440,EUR,609638400,D,80,80,True,2.0,2.0,,,2.0,2.0,,,,1.0,,,,,,,,,13.0,4.0,6.8,,0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
10433810,away,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178,139,M,248529,EUR,687052800,D,60,60,True,7.0,5.0,1.0,,4.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,,,,,,,12.0,13.0,6.9,3.0,0,,,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
10433810,away,Başakşehir FK,Deniz Dilmen,deniz-dilmen,D. Dilmen,G,1,198,150,M,1065508,EUR,1117929600,G,98,98,True,,,,,,,,,,,,,,,,,,,,,,,0,Deniz Dilmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433810,away,Başakşehir FK,Alexandru Epureanu,alexandru-epureanu,A. Epureanu,D,6,187,54,,18577,EUR,528163200,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433810,away,Başakşehir FK,Şener Özbayraklı,sener-ozbayrakli,Ş. Özbayraklı,D,,172,44,,129992,EUR,632966400,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433810,away,Başakşehir FK,Francis Nzaba,francis-nzaba,F. Nzaba,D,15,178,86,M,1158797,EUR,1026864000,D,32,32,True,,,,,,,,,,,,,,,,,,,,,,,0,Francis Nzaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433810,away,Başakşehir FK,Okechukwu Azubuike,okechukwu-azubuike,O. Azubuike,M,,180,73,M,807114,EUR,861408000,M,14,14,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
