match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11368628,home,Deportivo Alavés,Joaquin Panichelli,Joaquín Panichelli,,panichelli-joaquin,J. Panichelli,F,9,190.0,11517,M,1410925,EUR,1033948800,F,29,29,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368628,away,Getafe,David Soria,,,david-soria,D. Soria,G,13,192.0,676,M,604258,EUR,733881600,G,13,13,False,31.0,12.0,27.0,8.0,0.0,5.0,6.0,7.0,25.0,6.0,1.0,1.0,90.0,39.0,6.4,19.0,0.00191952,0,-0.7055,,,,,,3.0,,,,,,,,,,,,,,,True,,,,,,,,,,,1.0,1.0
11368628,away,Getafe,José Ángel Carmona,,,jose-angel-carmona,J. Á. Carmona,D,2,183.0,1021,M,1015240,EUR,1012262400,D,18,18,False,11.0,8.0,2.0,1.0,0.0,6.0,7.0,2.0,5.0,1.0,,,41.0,17.0,6.3,5.0,0.00041761,0,,1.0,1.0,3.0,2.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,2.0,,,,,,,,,,
11368628,away,Getafe,Nabil Aberdin,,,nabil-aberdin,N. Aberdin,D,3,182.0,254,M,1136806,EUR,1030060800,D,30,30,False,44.0,28.0,13.0,3.0,0.0,18.0,24.0,10.0,20.0,5.0,,,90.0,51.0,6.2,18.0,0.00448161,0,,,4.0,9.0,5.0,1.0,2.0,,,,1.0,1.0,1.0,,6.0,,,,,,,,,1.0,,,,,,,,,,
11368628,away,Getafe,Omar Alderete,,,omar-alderete,O. Alderete,D,15,187.0,5163,M,805137,EUR,851558400,D,15,15,False,34.0,15.0,16.0,4.0,0.0,9.0,12.0,6.0,22.0,4.0,,,90.0,42.0,6.4,19.0,0.00603871,1,,,1.0,6.0,1.0,,5.0,,,,,,2.0,,3.0,1.0,,,0.0535,0.0317,,,,1.0,,,,,,,,,,
11368628,away,Getafe,Gastón Álvarez,,,gaston-alvarez,G. Álvarez,D,17,184.0,491,M,980578,EUR,953856000,D,4,4,False,23.0,17.0,3.0,1.0,0.0,7.0,7.0,10.0,18.0,1.0,,,90.0,49.0,6.9,16.0,0.00712394,0,,2.0,1.0,9.0,4.0,1.0,2.0,1.0,3.0,2.0,,,5.0,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,
11368628,away,Getafe,Diego Rico,,,diego-rico,D. Rico,D,16,181.0,662,M,350560,EUR,730425600,D,16,16,False,18.0,12.0,4.0,2.0,0.0,5.0,5.0,7.0,13.0,4.0,,,56.0,33.0,6.8,8.0,0.0119307,2,,,1.0,3.0,5.0,,,,3.0,2.0,1.0,1.0,2.0,,,1.0,1.0,,0.0205,0.2878,,,,,1.0,,,,,,,,,
11368628,away,Getafe,Nemanja Maksimović,,,nemanja-maksimovic,N. Maksimović,M,88,184.0,1287,M,331449,EUR,791078400,M,20,20,False,22.0,19.0,,,0.0,7.0,9.0,12.0,13.0,1.0,,,90.0,31.0,7.1,4.0,0.0609196,0,,,,3.0,4.0,,,,2.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,4.0,,,,1.0,1.0,,,,,,,,
11368628,away,Getafe,Yellu Santiago,Jesús Santiago,,yellu-santiago,J. Santiago,M,20,192.0,223,M,1211005,EUR,1085443200,M,25,25,False,9.0,8.0,,,0.0,4.0,4.0,4.0,5.0,2.0,,,69.0,18.0,6.5,3.0,0.00046439,0,,,,6.0,1.0,,3.0,,1.0,1.0,1.0,,2.0,,3.0,,,,,,,,,,1.0,,,,,,,,,
11368628,away,Getafe,Luis Milla,,,luis-milla,L. Milla,M,5,175.0,1429,M,811629,EUR,781488000,M,5,5,False,13.0,10.0,3.0,2.0,0.0,2.0,3.0,8.0,11.0,1.0,,,41.0,21.0,6.5,5.0,0.00267786,1,,1.0,,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,0.0344,,,,,,,,,,,,,,,
11368628,away,Getafe,Jaime Mata,,,jaime-mata,J. Mata,F,17,185.0,448,M,351140,EUR,593654400,F,7,7,False,8.0,3.0,,,0.0,2.0,2.0,1.0,6.0,,,,69.0,23.0,6.5,9.0,0.00019155,1,,,1.0,9.0,4.0,1.0,1.0,,,,1.0,2.0,2.0,,5.0,,,1.0,0.0312,,,,,,2.0,1.0,1.0,,,,,,,
11368628,away,Getafe,Mason Greenwood,,,mason-greenwood,M. Greenwood,F,10,181.0,65939,M,942116,EUR,1001894400,F,12,12,False,15.0,12.0,1.0,,0.0,5.0,6.0,9.0,13.0,3.0,,,90.0,39.0,6.8,13.0,0.166023,4,,4.0,,8.0,5.0,1.0,,,,,3.0,2.0,2.0,MGreenwood,2.0,2.0,,,0.1727,0.1765,1.0,,2.0,,6.0,3.0,2.0,,,,,,,
11368628,away,Getafe,Djené,,,djene,Djené,D,2,178.0,2527,M,307702,EUR,694137600,D,2,2,True,23.0,15.0,8.0,3.0,0.0,6.0,8.0,9.0,16.0,5.0,,,49.0,43.0,7.3,11.0,0.035792,0,,1.0,,2.0,5.0,,5.0,1.0,2.0,1.0,2.0,3.0,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,
11368628,away,Getafe,Juanmi Latasa,,,juanmi-latasa,J. Latasa,F,9,191.0,1993,M,966679,EUR,985305600,F,14,14,True,6.0,3.0,,,0.0,,,3.0,6.0,,,,49.0,15.0,6.6,7.0,0.00586218,1,,,2.0,8.0,4.0,,,,,,4.0,2.0,3.0,,6.0,,1.0,1.0,0.0168,,,,,,,,,,,,,,,
11368628,away,Getafe,Alberto Risco,Alberto Risco,,alberto-risco,A. Risco,M,30,,55,M,1841875,EUR,1125360000,M,37,37,True,7.0,6.0,,,0.0,,1.0,6.0,6.0,1.0,,,34.0,12.0,6.8,2.0,0.056052,0,,,,2.0,3.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,3.0,2.0,,,,,,,,
11368628,away,Getafe,Ilaix Moriba,,,ilaix-moriba,I. Moriba,M,6,183.0,6577,M,962890,EUR,1042934400,M,24,24,True,9.0,8.0,,,0.0,2.0,2.0,6.0,7.0,,,,25.0,12.0,6.5,2.0,0.00265134,0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,ilaixmk,,,,,,,,,,,,,,,,,,,,
11368628,away,Getafe,Carles Aleñá,,,carles-alena,C. Aleñá,M,10,180.0,1587,M,794937,EUR,883958400,M,11,11,True,5.0,5.0,,,0.0,4.0,4.0,1.0,1.0,1.0,,,21.0,7.0,6.4,,0.00058673,0,,,,2.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,
11368628,away,Getafe,Djordjije Medenica,Djordjije Medenica,,djordjije-medenica,D. Medenica,G,35,185.0,29,M,1645004,EUR,1163721600,G,40,40,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368628,away,Getafe,Daniel Fuzato,,,daniel-fuzato,D. Fuzato,G,13,190.0,943,M,863276,EUR,867974400,G,1,1,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368628,away,Getafe,Fabrizio Angileri,,,fabrizio-angileri,F. Angileri,D,,185.0,4185,M,311462,EUR,763689600,D,3,3,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368628,away,Getafe,Jordi Martín,,,jordi-martin,J. Martín,M,8,174.0,159,M,1010513,EUR,978652800,M,32,32,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368628,away,Getafe,Óscar Rodríguez,,,oscar-rodriguez,Ó. Rodríguez,M,14,174.0,618,M,794948,EUR,898992000,M,9,9,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
