match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,captain,stat_aerialLost,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalOffside,stat_dispossessed,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_challengeLost,stat_outfielderBlock,stat_goals
13472829,home,Ceará,Bruno Ferreira,Bruno Ferreira,Ventura Diniz,bruno-ferreira,B. Ferreira,G,94,197,350,M,1066241,EUR,763776000,G,94,94,False,12.0,7.0,7.0,2.0,0.0,6.0,6.0,1.0,6.0,5.0,1.0,90.0,15.0,6.5,5.0,0.00010435,0,0.0299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472829,home,Ceará,Fabiano Souza,,,fabiano-silva,F. Souza,D,70,175,374,M,1130513,EUR,952992000,D,70,70,False,38.0,29.0,4.0,1.0,0.0,11.0,14.0,18.0,24.0,6.0,,90.0,70.0,7.0,18.0,0.0645645,0,,3.0,1.0,3.0,6.0,4.0,3.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
13472829,home,Ceará,Marllon,,,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,3,3,False,36.0,32.0,,,0.0,22.0,24.0,10.0,12.0,3.0,,90.0,46.0,6.9,5.0,0.00756666,0,,,2.0,1.0,3.0,,,4.0,2.0,,,True,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
13472829,home,Ceará,Willian Machado,,,willian-machado,W. Machado,D,23,185,452,M,925871,EUR,847843200,D,23,23,False,42.0,36.0,1.0,,0.0,22.0,23.0,14.0,19.0,2.0,,90.0,53.0,6.9,7.0,0.0143973,1,,,2.0,,3.0,,,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.028,0.0159,,,,,,,,,,,,
13472829,home,Ceará,Matheus Bahia,,,matheus-bahia,M. Bahia,D,79,181,700,M,1047204,EUR,934329600,D,79,79,False,39.0,34.0,2.0,1.0,0.0,14.0,16.0,20.0,23.0,5.0,,90.0,64.0,7.2,13.0,0.0518096,1,,4.0,,2.0,4.0,2.0,1.0,3.0,1.0,3.0,1.0,,,,,,1.0,1.0,,0.0312,,1.0,1.0,,,,,,,,,,
13472829,home,Ceará,Fernando Sobral,,,fernando-sobral,F. Sobral,M,88,178,655,M,931479,EUR,787708800,M,88,88,False,31.0,22.0,4.0,1.0,0.0,7.0,10.0,15.0,21.0,4.0,,80.0,45.0,6.4,11.0,0.0587346,4,,1.0,1.0,7.0,3.0,1.0,1.0,1.0,,,4.0,,3.0,,1.0,,2.0,,,0.0901,,1.0,1.0,3.0,1.0,,,,,,,,
13472829,home,Ceará,Dieguinho,,,dieguinho,Dieguinho,M,20,175,466,M,1016930,EUR,815097600,M,20,20,False,35.0,29.0,5.0,4.0,0.0,3.0,5.0,26.0,30.0,5.0,,90.0,45.0,6.9,8.0,0.0658655,1,,,,4.0,3.0,,,1.0,2.0,3.0,3.0,,,,,,1.0,2.0,,0.0339,,,1.0,,,1.0,,,,,,,
13472829,home,Ceará,Antonio Galeano,,,antonio-galeano,Galeano,M,27,169,1101,M,883207,EUR,953683200,M,27,27,False,22.0,16.0,1.0,,0.0,5.0,8.0,11.0,14.0,7.0,,80.0,36.0,6.6,13.0,0.00804776,3,,1.0,2.0,6.0,2.0,2.0,,,,,1.0,,3.0,,,,2.0,1.0,,0.3163,,,2.0,1.0,1.0,1.0,,,,,,,
13472829,home,Ceará,Lucas Mugni,,,lucas-mugni,L. Mugni,M,10,184,605,M,249881,EUR,695174400,M,10,10,False,20.0,16.0,2.0,1.0,0.0,6.0,6.0,10.0,14.0,2.0,,62.0,34.0,6.4,12.0,0.138793,0,,6.0,,7.0,1.0,2.0,1.0,,,,2.0,,,,,,,2.0,,,,3.0,,,,4.0,,,,,,,
13472829,home,Ceará,Fernandinho,,,fernandinho,Fernandinho,M,11,174,370,M,871219,EUR,869270400,M,77,77,False,13.0,10.0,,,0.0,5.0,5.0,5.0,8.0,3.0,,70.0,25.0,7.0,8.0,0.0893972,1,,2.0,1.0,3.0,3.0,1.0,1.0,,3.0,,,,1.0,,1.0,1.0,1.0,,,0.0753,,,1.0,,,2.0,,,,,,,
13472829,home,Ceará,Aylon,,,aylon,Aylon,F,11,180,434,M,364528,EUR,702604800,F,11,11,False,13.0,9.0,,,0.0,2.0,2.0,7.0,11.0,,,70.0,28.0,6.7,7.0,0.00476463,1,,,4.0,6.0,7.0,2.0,1.0,3.0,,3.0,1.0,,4.0,,,,1.0,,,0.0093,,,1.0,,,,,,,,,,
13472829,home,Ceará,Lourenço,,,lourenco,Lourenço,M,97,169,376,M,879871,EUR,873590400,M,97,97,True,20.0,16.0,2.0,1.0,0.0,2.0,3.0,14.0,17.0,1.0,,28.0,26.0,6.6,8.0,0.0164691,1,,3.0,1.0,3.0,1.0,,,,1.0,,1.0,,1.0,,,,,1.0,,0.0122,,,,1.0,,1.0,,,,,,,
