match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_sofascoreId,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_totalTackle,stat_dispossessed,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_wonTackle,stat_totalOffside,captain,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_clearanceOffLine,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
11368741,away,Mallorca,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192.0,2732,M,188107,EUR,815097600,G,1,1,False,33.0,19.0,26.0,12.0,8.0,9.0,11.0,24.0,1.0,11.0,,1.0,1.0,90.0,37.0,6.7,14.0,0.00264782,0,-0.6175,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
11368741,away,Mallorca,Nacho Vidal,nacho-vidal,N. Vidal,D,22,180.0,317,M,844752,EUR,790905600,D,22,22,False,27.0,20.0,2.0,,6.0,8.0,15.0,22.0,2.0,1.0,,,,60.0,49.0,6.5,13.0,0.0570493,0,,3.0,1.0,1.0,1.0,7.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
11368741,away,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187.0,757,M,300522,EUR,818640000,D,24,24,False,45.0,36.0,9.0,3.0,20.0,21.0,17.0,25.0,8.0,3.0,,,,90.0,74.0,7.3,14.0,0.0358543,1,,1.0,1.0,,4.0,2.0,7.0,2.0,,,3.0,1.0,1.0,,1.0,1.0,,0.0469,1.0,2.0,,,,,2.0,,True,,,,,,,,,
11368741,away,Mallorca,Matija Nastasić,matija-nastasic,M. Nastasić,D,15,188.0,481,M,98440,EUR,733276800,D,2,2,False,34.0,25.0,5.0,3.0,17.0,20.0,8.0,14.0,6.0,3.0,,,,90.0,45.0,7.5,9.0,0.0486873,1,,,,3.0,2.0,4.0,3.0,,,,,,1.0,,,1.0,1.0,0.438,,1.0,,,,,1.0,,,,1.0,1.0,0.9717,,,,,
11368741,away,Mallorca,José Copete,jose-copete,J. Copete,D,3,190.0,437,M,913695,EUR,939513600,D,6,6,False,34.0,26.0,6.0,3.0,12.0,15.0,14.0,19.0,3.0,1.0,,,,84.0,42.0,6.9,9.0,0.00920989,1,,,,2.0,5.0,2.0,7.0,,1.0,1.0,,,,,,,,0.07,,1.0,,,,1.0,1.0,,,,,,,,,,,
11368741,away,Mallorca,Toni Lato,toni-lato,T. Lato,D,3,173.0,265,M,828239,EUR,880070400,D,3,3,False,34.0,29.0,4.0,3.0,6.0,10.0,23.0,28.0,1.0,5.0,,,,90.0,48.0,6.8,12.0,0.0212646,0,,4.0,,2.0,1.0,3.0,2.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11368741,away,Mallorca,Sergi Darder,sergi-darder,S. Darder,M,10,180.0,979,M,110783,EUR,756518400,M,10,10,False,38.0,29.0,5.0,2.0,7.0,10.0,23.0,31.0,,8.0,,,,89.0,54.0,7.2,16.0,0.174326,1,,3.0,1.0,,,4.0,3.0,,3.0,2.0,3.0,1.0,1.0,,1.0,1.0,2.0,0.0246,1.0,,1.0,,,,,,,,,,,,,1.0,,
11368741,away,Mallorca,Omar Mascarell,omar-mascarell,O. Mascarell,M,5,181.0,553,M,255999,EUR,728611200,M,5,5,False,33.0,24.0,6.0,1.0,10.0,12.0,14.0,21.0,2.0,2.0,,,,84.0,45.0,6.9,10.0,0.0194395,1,,,,1.0,1.0,3.0,3.0,1.0,,,1.0,,,,1.0,3.0,1.0,0.0181,,2.0,,,,,1.0,,,,,,,,,,,
11368741,away,Mallorca,Manu Morlanes,manu-morlanes,M. Morlanes,M,8,178.0,430,M,826004,EUR,916099200,M,8,8,False,37.0,31.0,1.0,1.0,11.0,13.0,20.0,24.0,2.0,7.0,,,,90.0,57.0,7.4,8.0,0.385463,2,,,,3.0,,7.0,6.0,2.0,4.0,3.0,,1.0,2.0,,,,1.0,0.1787,,2.0,,,,1.0,2.0,,,,1.0,,0.1046,,,,,
11368741,away,Mallorca,Nemanja Radonjić,nemanja-radonjic,N. Radonjić,F,49,185.0,4597,M,802665,EUR,824342400,M,23,23,False,20.0,13.0,4.0,3.0,3.0,4.0,10.0,17.0,,1.0,,,,60.0,41.0,7.0,17.0,0.0272447,4,,1.0,,,2.0,5.0,5.0,1.0,5.0,3.0,5.0,,1.0,n.radonjic7,1.0,,1.0,1.1663,,,1.0,,,,,,,,3.0,,0.4861,,,,1.0,1.0
