match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,player_gender,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_outfielderBlock,captain,stat_challengeLost,stat_dispossessed,stat_wasFouled,player_sofascoreId,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
10835043,away,FC Volendam,Calvin Twigt,Calvin Twigt,,calvin-twigt,C. Twigt,M,183.0,94,1084944,EUR,1043884800,M,17,17,False,34.0,29.0,1.0,1.0,14.0,15.0,15.0,20.0,9.0,,,90.0,52.0,6.6,10.0,0,8,M,,1.0,,1.0,,5.0,5.0,1.0,1.0,,,,,3.0,2.0,2.0,,,,1.0,,,4.0,2.0,,,,,,,,
10835043,away,FC Volendam,Joey Antonioli,,,joey-antonioli,J. Antonioli,M,,11,1046724,EUR,1071360000,M,37,37,False,24.0,20.0,2.0,1.0,11.0,13.0,9.0,12.0,1.0,,,90.0,30.0,6.6,5.0,0,37,M,,1.0,,2.0,1.0,4.0,3.0,,,,,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,
10835043,away,FC Volendam,Derry Murkin,,,derry-murkin,D. Murkin,D,183.0,178,946561,EUR,933033600,M,5,5,False,23.0,15.0,4.0,2.0,7.0,8.0,8.0,15.0,2.0,,,78.0,43.0,6.5,13.0,2,2,M,,,,2.0,,4.0,2.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,
10835043,away,FC Volendam,Bilal Ould-Chikh,,,bilal-ould-chikh,B. Ould-Chikh,M,170.0,1224,544532,EUR,870048000,F,11,11,False,19.0,13.0,2.0,1.0,6.0,8.0,8.0,15.0,2.0,,,61.0,31.0,6.6,13.0,1,77,M,,4.0,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,4.0,1.0,1.0,,,,,1.0,,,,,,,,
10835043,away,FC Volendam,Walid Ould-Chikh,,,walid-ould-chikh,W. Ould-Chikh,M,186.0,187,1066450,EUR,941846400,F,33,33,False,12.0,7.0,1.0,,2.0,3.0,5.0,10.0,3.0,,,45.0,15.0,6.3,7.0,0,73,M,,1.0,,2.0,1.0,5.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,
10835043,away,FC Volendam,Henk Veerman,Henk,Veerman,henk-veerman,H. Veerman,F,201.0,404,313264,EUR,667526400,F,9,9,False,16.0,9.0,,,6.0,7.0,3.0,9.0,2.0,,,78.0,22.0,6.7,10.0,1,9,M,,,,2.0,3.0,3.0,3.0,1.0,,,,,,1.0,,,2.0,,1.0,,,,,,,,1.0,,,,,
10835043,away,FC Volendam,Diego Gustavo,,,gustavo-diego,D. Gustavo,M,,17,1392593,EUR,1087603200,M,18,18,True,20.0,12.0,1.0,1.0,2.0,4.0,10.0,16.0,2.0,,,45.0,32.0,6.5,10.0,1,,M,,,,1.0,,5.0,4.0,,,,1.0,,2.0,,3.0,2.0,,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,
10835043,away,FC Volendam,Benaissa Benamar,,,benaissa-benamar,B. Benamar,D,191.0,225,970791,EUR,860457600,M,6,6,True,12.0,11.0,,,9.0,10.0,2.0,2.0,3.0,,,29.0,17.0,6.7,1.0,0,5,M,,,,1.0,1.0,1.0,4.0,,,,,,1.0,,1.0,1.0,,,,,,,,2.0,,,,,,,,
10835043,away,FC Volendam,Jordi Blom,Jordi Blom,,jordi-blom,J. Blom,F,,2,1143239,EUR,1023235200,F,36,36,True,9.0,7.0,,,2.0,3.0,5.0,7.0,4.0,,,29.0,16.0,6.5,6.0,0,,,,1.0,,,,4.0,3.0,4.0,2.0,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,
10835043,away,FC Volendam,Dean James,,,dean-james,D. James,D,177.0,6702,1046722,EUR,957052800,D,15,15,True,5.0,4.0,,,2.0,2.0,2.0,4.0,1.0,,,12.0,10.0,6.8,2.0,0,5,M,,1.0,,,,,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,
10835043,away,FC Volendam,Lequincio Zeefuik,Lequincio Zeefuik,,lequincio-zeefuik,L. Zeefuik,F,197.0,302,1118181,EUR,1101427200,F,25,25,True,,,,,,,,,1.0,,,12.0,1.0,6.4,1.0,0,25,M,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
10835043,away,FC Volendam,Barry Lauwers,Barry,Lauwers,barry-lauwers,B. Lauwers,G,187.0,20,959060,EUR,943833600,G,22,22,True,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835043,away,FC Volendam,Kayne van Oevelen,Kayne van Oevelen,,kayne-van-oevelen,K. v. Oevelen,G,199.0,268,1393970,EUR,1060300800,G,20,20,True,,,,,,,,,,,,,,,,0,1,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835043,away,FC Volendam,Billy van Duijl,Billy van Duijl,,billy-van-duijl,B. v. Duijl,D,184.0,81,1213381,EUR,1128384000,D,23,23,True,,,,,,,,,,,,,,,,0,23,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835043,away,FC Volendam,Robert Mühren,,,robert-muhren,R. Mühren,M,187.0,188,156676,EUR,611452800,F,21,21,True,,,,,,,,,,,,,,,,0,21,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835043,away,FC Volendam,Florent Sanchez Da Silva,,,sanchez-da-silva-florent,F. S. D. Silva,M,178.0,224,1385467,EUR,1049241600,M,12,12,True,,,,,,,,,,,,,,,,0,7,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835043,away,FC Volendam,Carel Eiting,,,carel-eiting,C. Eiting,M,178.0,347,803025,EUR,887155200,M,8,8,True,,,,,,,,,,,,,,,,0,6,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10835043,away,FC Volendam,Achraf Douiri,Achraf Douiri,,achraf-douiri,A. Douiri,F,180.0,38,1084535,EUR,943660800,F,24,24,True,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
