match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_bigChanceMissed,stat_shotOffTarget,stat_clearanceOffLine,stat_outfielderBlock,stat_wasFouled,player_firstName,player_lastName,stat_fouls,player_sofascoreId,stat_wonContest,stat_unsuccessfulTouch,stat_blockedScoringAttempt,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,captain,stat_bigChanceCreated,stat_goalAssist,stat_totalOffside,stat_punches,stat_errorLeadToAGoal
11067463,home,Atlético Mineiro,Alisson Santana,alisson,Alisson,M,45,183,2043,M,1471221,EUR,1127260800,F,45,45,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067463,home,Atlético Mineiro,Paulo Vitor,vitor-paulo,P. Vitor,M,27,185,275,M,1488136,EUR,1093478400,M,27,27,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,Paulo Vitor,,,,,,,,,,,,,,,,
11067463,home,Atlético Mineiro,Cadu,cadu,Cadu,F,42,180,661,M,1199473,EUR,1085356800,F,42,42,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067463,away,América Mineiro,Mateus Pasinato,mateus-pasinato,Mateus Pasinato,G,41,192,80,M,914169,EUR,709689600,G,14,14,False,15.0,13.0,4.0,2.0,12.0,12.0,1.0,3.0,,,9.0,,1.0,3.0,90.0,28.0,6.6,2.0,0.0,0.0,0.000242,0,-0.7589,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,
11067463,away,América Mineiro,Marcinho,marcinho,Marcinho,D,6,178,148,M,840148,EUR,832204800,D,25,25,False,26.0,18.0,4.0,1.0,9.0,11.0,10.0,21.0,,,3.0,,,,45.0,44.0,5.5,15.0,0.0,0.0,0.0214863,0,,6.0,1.0,,4.0,,1.0,1.0,,,,,,,1.0,,,,2.0,,,,,,1.0,,,,,,,,1.0
11067463,away,América Mineiro,Éder,eder-ferreira,Éder,D,33,184,208,M,842072,EUR,797126400,D,33,33,False,57.0,45.0,15.0,7.0,28.0,30.0,17.0,27.0,2.0,6.0,9.0,,,,90.0,66.0,6.8,13.0,0.0,0.0,0.0133891,0,,,,2.0,5.0,1.0,,,3.0,4.0,3.0,,,,,,,,2.0,,,,,,,,,,,,1.0,,
11067463,away,América Mineiro,Iago Maidana,iago-maidana,I. Maidana,D,36,194,211,M,599686,EUR,823564800,D,3,3,False,43.0,35.0,10.0,6.0,24.0,25.0,11.0,18.0,4.0,6.0,7.0,,,,90.0,57.0,7.2,9.0,0.1733,0.1175,0.00536546,2,,,,1.0,4.0,,,3.0,1.0,2.0,,,,,2.0,,,,2.0,,,,,,1.0,2.0,,,,,,,
11067463,away,América Mineiro,Danilo Avelar,danilo-avelar,Danilo Avelar,D,,184,107,M,121221,EUR,613353600,D,22,22,False,33.0,19.0,1.0,,6.0,8.0,15.0,28.0,8.0,15.0,5.0,,,,90.0,62.0,7.3,21.0,1.1974,0.4676,0.181623,4,,3.0,2.0,1.0,6.0,1.0,,1.0,,5.0,4.0,2.0,1.0,,,2.0,,,3.0,,,1.0,1.0,3.0,1.0,2.0,,,1.0,1.0,,,
11067463,away,América Mineiro,Felipe Azevedo,felipe-azevedo,Felipe Azevedo,M,11,175,88,M,166471,EUR,537235200,M,11,11,False,16.0,14.0,2.0,2.0,3.0,3.0,11.0,15.0,,1.0,3.0,,,,57.0,29.0,6.6,7.0,0.0884,0.0,0.0403393,2,,2.0,,1.0,4.0,,3.0,,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,
11067463,away,América Mineiro,Lucas Kal,lucas-kal,Lucas Kal,M,21,186,179,M,840118,EUR,826934400,M,21,21,False,52.0,43.0,9.0,4.0,7.0,9.0,37.0,45.0,1.0,2.0,10.0,,,,86.0,58.0,7.0,11.0,0.0,0.0,0.237228,0,,2.0,1.0,2.0,6.0,2.0,,,,1.0,1.0,,,,,,,,3.0,,,1.0,,5.0,,,,,1.0,,,,
11067463,away,América Mineiro,Emmanuel Martínez,emmanuel-martinez,E. Martinez,M,6,177,616,M,794312,EUR,770688000,M,5,5,False,57.0,51.0,4.0,2.0,13.0,13.0,43.0,53.0,,11.0,13.0,,,,90.0,100.0,7.9,18.0,0.0696,0.0,0.307393,2,,9.0,5.0,1.0,6.0,2.0,4.0,1.0,1.0,2.0,1.0,,2.0,,,7.0,,,,,2.0,5.0,,5.0,1.0,,,,,,,,
11067463,away,América Mineiro,Breno Cascardo,breno-cascardo,Breno Cascardo,M,80,183,161,M,1469514,EUR,1064448000,M,28,28,False,18.0,15.0,1.0,1.0,5.0,5.0,10.0,13.0,,1.0,,,,,45.0,23.0,6.5,5.0,0.0419,0.0,0.0161835,1,,,,,1.0,,2.0,,,,,,1.0,,,,Breno Cascardo,,,,1.0,1.0,,1.0,,,,,,,,,
11067463,away,América Mineiro,Juninho,juninho,Juninho,M,28,173,218,M,330691,EUR,561945600,F,8,8,False,26.0,18.0,2.0,,7.0,8.0,11.0,18.0,1.0,5.0,9.0,,,,90.0,45.0,6.5,14.0,0.1189,0.0,0.0183785,1,,,,1.0,7.0,1.0,5.0,1.0,1.0,,,,,,,1.0,,,,,3.0,1.0,1.0,,3.0,,,True,,,,,
11067463,away,América Mineiro,Aloísio,aloisio,Aloísio,F,,175,134,,243497,EUR,582681600,F,99,99,False,8.0,5.0,,,2.0,2.0,3.0,6.0,1.0,1.0,,,,,39.0,11.0,6.4,4.0,0.0604,0.0,0.00320506,2,,,,1.0,2.0,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,
11067463,away,América Mineiro,Gonzalo Mastriani,gonzalo-mastriani,G. Mastriani,F,39,180,1585,M,345847,EUR,735955200,F,17,17,True,3.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,51.0,15.0,8.3,4.0,0.8473,1.4262,0.00026534,4,,,,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,,2.0,,,,2.0,2.0,,,,1.0,,
11067463,away,América Mineiro,Marlon Lopes,marlon-lopes,Marlon,D,6,177,100,M,870933,EUR,761097600,D,6,6,True,11.0,8.0,2.0,1.0,2.0,2.0,6.0,11.0,,3.0,1.0,,,,45.0,21.0,6.9,5.0,0.0188,0.0,0.0096569,1,,2.0,,,1.0,,2.0,,,,,,,,1.0,1.0,,,1.0,,2.0,,1.0,,,,,,,,,,
11067463,away,América Mineiro,Martín Benítez,martin-benitez,M. Benítez,M,7,173,425,M,155715,EUR,771811200,M,10,10,True,25.0,18.0,1.0,,2.0,3.0,17.0,24.0,,8.0,2.0,,,,45.0,44.0,7.3,11.0,0.1395,0.0,0.109994,3,,2.0,1.0,,6.0,1.0,4.0,2.0,,2.0,2.0,,2.0,,,4.0,,,2.0,,2.0,,1.0,2.0,1.0,,,,1.0,1.0,1.0,,
11067463,away,América Mineiro,Rodrigo Varanda,rodrigo-varanda,Rodrigo Varanda,F,30,178,198,M,1105305,EUR,1047340800,F,65,65,True,10.0,8.0,,,,,8.0,11.0,1.0,4.0,2.0,,,,33.0,23.0,6.8,5.0,0.0306,0.0,0.0172888,1,,1.0,,,2.0,1.0,3.0,2.0,,,,,,,,,Rodrigo Varanda,,1.0,,3.0,2.0,1.0,,,,,,,,,,
11067463,away,América Mineiro,Wanderson,wanderson,Wanderson,D,,186,41,M,368846,EUR,665884800,D,4,4,True,5.0,4.0,,,2.0,3.0,2.0,2.0,1.0,1.0,,,,,11.0,7.0,6.5,2.0,0.0,0.0,0.00041479,0,,,,1.0,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
11067463,away,América Mineiro,Matheus Cavichioli,matheus-cavichioli,M. Cavichioli,G,1,195,104,M,243097,EUR,522806400,G,1,1,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067463,away,América Mineiro,Nicolas,nicolas,Nicolas,D,30,180,238,M,841336,EUR,856742400,D,30,30,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067463,away,América Mineiro,Mateus Henrique,mateus-henrique,Mateus Henrique,D,75,178,168,M,1175493,EUR,1033516800,M,36,36,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,Mateus Henrique,,,,,,,,,,,,,,,,
11067463,away,América Mineiro,Alê,ale,Alê,M,16,184,96,M,869564,EUR,644630400,M,16,16,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067463,away,América Mineiro,Rodriguinho,rodriguinho,Rodriguinho,M,75,170,859,M,1174770,EUR,1054771200,M,75,75,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,Rodriguinho,,,,,,,,,,,,,,,,
11067463,away,América Mineiro,Wellington Paulista,wellington-paulista,W. Paulista,F,,183,127,,29106,EUR,419817600,F,9,9,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067463,away,América Mineiro,Renato Marques,marques-renato,Renato Marques,F,78,180,300,M,1194689,EUR,1070928000,F,78,78,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,Renato Marques,,,,,,,,,,,,,,,,
