match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_fouls,captain,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotValueNormalized,stat_blockedScoringAttempt,stat_goals,stat_wonContest,stat_shotOffTarget,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_outfielderBlock,stat_errorLeadToAShot,stat_bigChanceMissed
14083179,away,Real Oviedo,Aarón Escandell,,,aaron-escandell,A. Escandell,G,13,188.0,1011,M,368922,EUR,812160000,G,13,13,False,29.0,23.0,15.0,9.0,0.0,15.0,16.0,8.0,13.0,1.0,6.0,3.0,3.0,,90.0,35.0,6.1,6.0,0.00252134,48.101709095773,9.0,-35.175,-1.365,0.1733,0,-1.3667,0.12,0.01,-0.39,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
14083179,away,Real Oviedo,Lucas Ahijado,,,lucas-ahijado,L. Ahijado,D,24,173.0,119,M,597876,EUR,791424000,D,24,24,False,14.0,9.0,3.0,1.0,0.0,5.0,5.0,4.0,9.0,,3.0,,,,45.0,29.0,6.2,7.0,0.00480295,26.099363577099,4.0,-10.185,2.52,,1,,-0.01,0.03,-0.29,,,,,1.0,,,2.0,1.0,1.0,2.0,,,,,,,,,,,0.0282,,-0.16,,,,1.0,,,,1.0,,
14083179,away,Real Oviedo,David Costas,,,david-costas,D. Costas,D,4,183.0,276,M,345333,EUR,796176000,D,4,4,False,35.0,27.0,5.0,2.0,0.0,20.0,21.0,7.0,14.0,4.0,4.0,,,,90.0,49.0,6.1,9.0,0.00357287,84.86238671123,10.0,-32.235,13.335,,0,,-0.01,0.04,-0.6,,,4.0,2.0,6.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,True,,,1.0,,,,,,,,,1.0,,,,,2.0,,
14083179,away,Real Oviedo,David Carmo,,,david-carmo,D. Carmo,D,16,196.0,2256,M,892235,EUR,932342400,D,16,16,False,50.0,40.0,10.0,4.0,0.0,26.0,27.0,14.0,23.0,7.0,5.0,,,,83.0,68.0,5.8,12.0,0.0120039,158.74517983419,22.0,-69.825,7.77,,0,,0.08,0.05,-0.45,,1.0,3.0,3.0,3.0,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,
14083179,away,Real Oviedo,Abdel Rahim,,,abdel-rahim-alhassane,A. R. Alhassane,D,3,184.0,3785,M,1120504,EUR,1009843200,D,3,3,False,29.0,20.0,2.0,,0.0,11.0,15.0,9.0,14.0,1.0,2.0,,,,70.0,53.0,5.9,17.0,0.00718768,17.07773853926,3.0,3.36,9.03,,0,,-0.03,0.01,-0.5,,1.0,1.0,2.0,4.0,,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Leander Dendoncker,,,leander-dendoncker,L. Dendoncker,M,20,188.0,1679,M,190405,EUR,797904000,M,20,20,False,21.0,19.0,2.0,2.0,0.0,11.0,11.0,8.0,10.0,,,,,,90.0,31.0,6.4,7.0,0.00811469,65.160152154948,6.0,-46.62,3.045,,0,,0.03,0.05,-0.07,,1.0,,4.0,2.0,,,2.0,2.0,2.0,5.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Santiago Colombatto,,,santiago-colombatto,S. Colombatto,M,11,180.0,597,M,822379,EUR,853459200,M,11,11,False,48.0,43.0,2.0,2.0,0.0,25.0,26.0,18.0,22.0,1.0,6.0,,,,90.0,64.0,6.3,13.0,0.0250306,156.81284712175,19.0,-90.93,9.345,,0,,0.14,0.17,-0.39,,,,6.0,5.0,1.0,1.0,,1.0,,2.0,3.0,,5.0,,6.0,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,
14083179,away,Real Oviedo,Haissem Hassan,,,haissem-hassan,H. Hassan,M,10,173.0,5683,M,942836,EUR,1013126400,M,10,10,False,15.0,11.0,1.0,,0.0,6.0,7.0,5.0,8.0,,3.0,,,,90.0,31.0,5.8,16.0,0.00773997,239.01481628686,14.0,-116.445,10.08,,0,,-0.1,0.2,-0.35,,2.0,,8.0,2.0,1.0,3.0,,1.0,,4.0,,,1.0,,5.0,,2.0,,,,,,,,,1.0,,,,,,,
14083179,away,Real Oviedo,Alberto Reina,,,alberto-reina-campos,A. Reina,M,5,179.0,337,M,882475,EUR,873763200,M,5,5,False,19.0,11.0,2.0,,0.0,6.0,8.0,5.0,11.0,,1.0,,,,61.0,27.0,6.4,9.0,0.00154588,77.628495355619,11.0,-31.92,5.04,,0,,-0.23,-0.06,-0.18,,1.0,,2.0,5.0,,1.0,1.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Ilyas Chaira,,,ilyas-chaira,I. Chaira,M,7,179.0,2481,M,1008037,EUR,981072000,M,7,7,False,9.0,8.0,2.0,1.0,0.0,2.0,2.0,6.0,7.0,,2.0,,,,45.0,22.0,6.3,6.0,0.0021864,65.837394900191,7.0,-52.92,2.625,,0,,0.02,0.03,-0.11,,3.0,,7.0,4.0,,4.0,,,,,3.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,
14083179,away,Real Oviedo,Salomón Rondón,,,salomon-rondon,S. Rondón,F,23,189.0,12917,M,35532,EUR,621907200,F,23,23,False,19.0,14.0,1.0,,0.0,6.0,6.0,8.0,13.0,,3.0,,,,79.0,27.0,6.7,10.0,0.00817971,79.110091396032,6.0,-34.965,7.245,,1,,0.01,0.06,0.0,,1.0,2.0,3.0,4.0,2.0,,,,,3.0,2.0,,,,,,,,1.0,,0.1113,0.3555,-0.04,,,,,salorondon23,,,,,
14083179,away,Real Oviedo,Dani Calvo,,,dani-calvo,D. Calvo,D,12,190.0,179,M,560756,EUR,765158400,D,12,12,True,14.0,14.0,,,0.0,10.0,10.0,4.0,4.0,1.0,,,,,45.0,18.0,6.2,,0.00124188,45.602752943277,6.0,-29.61,-1.05,,0,,0.06,0.04,-0.34,,1.0,1.0,1.0,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Álex Forés,,,alex-fores,Á. Forés,F,19,180.0,170,M,1086128,EUR,987033600,F,19,19,True,4.0,2.0,,,0.0,2.0,3.0,,1.0,,1.0,,,,45.0,7.0,6.2,3.0,4.164e-05,4.7709253819359,1.0,4.095,4.095,,2,,-0.08,-0.04,-0.03,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,0.5035,,-0.52,,,,2.0,,,,,,1.0
14083179,away,Real Oviedo,Josip Brekalo,,,josip-brekalo,J. Brekalo,M,7,175.0,2234,M,357598,EUR,898560000,F,18,18,True,12.0,9.0,,,0.0,5.0,5.0,4.0,7.0,,3.0,,,,29.0,19.0,6.8,6.0,0.11687,112.74479665983,8.0,-46.935,5.775,,0,,0.21,0.04,0.13,,,,2.0,2.0,,1.0,,2.0,1.0,,,1.0,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Javi López,,,lopez-javi,J. López,D,25,183.0,401,M,945404,EUR,1009843200,D,25,25,True,9.0,8.0,1.0,,0.0,3.0,3.0,5.0,6.0,,1.0,,,,20.0,16.0,6.3,4.0,0.0630011,63.658789256814,8.0,-42.735,4.305,,0,,0.11,0.08,-0.15,,,,2.0,,1.0,1.0,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Pablo Agudín,,,pablo-agudin,P. Agudín,M,27,178.0,43,M,1587199,EUR,1194480000,M,27,27,True,2.0,2.0,,,0.0,,,2.0,2.0,1.0,1.0,,,,11.0,3.0,6.4,,0.00034987,9.1036935361423,1.0,9.03,9.03,,0,,-0.01,-0.09,-0.09,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Horațiu Moldovan,,,horatiu-moldovan,H. Moldovan,G,1,186.0,2538,M,857065,EUR,885254400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Oier Luengo,,,oier-luengo-redondo,O. Luengo,D,3,185.0,126,M,857229,EUR,879206400,D,15,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Eric Bailly,,,eric-bailly,E. Bailly,D,2,187.0,4273,M,606346,EUR,766108800,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ericbailly,,,,,
14083179,away,Real Oviedo,Brandon Domingues,,,brandon-domingues,B. Domingues,M,11,172.0,231,M,1035697,EUR,960249600,M,17,17,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Diego Menendez,,,menendez-diego,D. Menendez,M,32,190.0,5,M,1632666,EUR,1114560000,M,32,32,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083179,away,Real Oviedo,Cheli,Cheli,,cheli,Cheli,M,31,,16,M,2222390,EUR,1183593600,M,31,31,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
