match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_ownGoals,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_outfielderBlock,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,player_firstName,player_lastName,stat_dispossessed,stat_totalContest,stat_lastManTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_keyPass,stat_wonContest,stat_blockedScoringAttempt,stat_wasFouled,stat_totalOffside,stat_savedShotsFromInsideTheBox
13981615,home,Hellas Verona,Tobias Slotsager,tobias-slotsager,T. Slotsager,D,19,190,485,M,1133236,EUR,1136073600,D,19,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,home,Hellas Verona,Abdou Harroui,abdou-harroui,A. Harroui,M,21,181,1064,M,915812,EUR,884649600,M,21,21,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,home,Hellas Verona,Grigoris Kastanos,grigoris-kastanos,G. Kastanos,M,28,179,526,M,791566,EUR,886118400,M,20,20,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,away,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,,34.0,29.0,13.0,8.0,0.0,27.0,29.0,2.0,5.0,1.0,6.0,,2.0,,,90.0,42.0,7.1,5.0,0.00051062,44.994646347534,7.0,26.04,15.33,0.1965,0,0.1169,0.03,0.0,0.22,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
13981615,away,Lazio,Adam Marušić,adam-marusic,A. Marušić,D,77,185,1131,M,267619,EUR,719280000,D,77,77,False,,60.0,56.0,1.0,1.0,0.0,37.0,39.0,19.0,21.0,2.0,3.0,,,,,90.0,75.0,6.9,4.0,0.153939,89.962400039392,11.0,74.235,25.935,,1,,0.04,0.05,-0.03,,,1.0,2.0,2.0,2.0,1.0,,,1.0,,,,,0.12,0.01,,37.888643907632,2.0,,,,,,,,,,,1.0,0.1106,1.0,,,,,
13981615,away,Lazio,Mario Gila Fuentes,mario-gila-fuentes,M. Gila,D,34,183,1766,M,965828,EUR,967507200,D,34,34,False,,119.0,111.0,14.0,11.0,0.0,64.0,66.0,47.0,53.0,7.0,7.0,,,,,90.0,135.0,9.0,8.0,0.0293583,291.47264403727,40.0,125.475,19.11,,0,,0.47,0.17,0.95,,,,2.0,1.0,7.0,,,,1.0,5.0,5.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
13981615,away,Lazio,Alessio Romagnoli,alessio-romagnoli,A. Romagnoli,D,13,185,1922,M,227864,EUR,789868800,D,13,13,False,,96.0,86.0,7.0,4.0,0.0,61.0,70.0,25.0,26.0,3.0,9.0,,,,,90.0,105.0,7.3,11.0,0.0126878,156.33163861755,19.0,102.48,14.91,,1,,0.22,0.1,0.3,,,3.0,3.0,4.0,4.0,1.0,,1.0,1.0,,,,,0.0893,-0.22,1.0,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,
13981615,away,Lazio,Luca Pellegrini,luca-pellegrini,L. Pellegrini,D,3,178,1350,M,826186,EUR,920764800,D,3,3,False,,51.0,40.0,2.0,2.0,0.0,26.0,33.0,14.0,18.0,2.0,4.0,,,,,55.0,67.0,7.0,13.0,0.00549087,85.772611163027,10.0,16.59,18.27,,0,,-0.08,0.22,0.2,,,,1.0,1.0,3.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,
13981615,away,Lazio,Matías Vecino,matias-vecino,M. Vecino,M,15,187,1431,M,158615,EUR,682992000,M,5,5,False,,78.0,66.0,3.0,2.0,0.0,32.0,34.0,34.0,44.0,2.0,3.0,,,,,90.0,86.0,7.2,13.0,0.0269823,104.27460920175,12.0,44.31,18.69,,0,,0.09,0.04,0.23,,,3.0,6.0,5.0,9.0,,,,,2.0,1.0,,1.0,,,,19.42803428039,1.0,,,1.0,,,,,,,,,,,,,1.0,,
13981615,away,Lazio,Danilo Cataldi,danilo-cataldi,D. Cataldi,M,32,180,952,M,317301,EUR,776131200,M,32,32,False,True,62.0,53.0,6.0,3.0,0.0,28.0,31.0,25.0,31.0,1.0,6.0,,,,,69.0,69.0,6.9,10.0,0.0685999,104.47389487944,12.0,65.1,15.855,,0,,0.1,0.13,-0.01,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,,1.0,2.0,2.0,,,,1.0,1.0,,,,
13981615,away,Lazio,Kenneth Taylor,kenneth-taylor,K. Taylor,M,24,182,3566,M,959806,EUR,1021507200,M,24,24,False,,56.0,53.0,,,0.0,26.0,27.0,27.0,29.0,,4.0,,,,,89.0,62.0,6.9,4.0,0.0895797,73.185844553936,9.0,1.3649999999999,9.345,,0,,0.16,-0.06,-0.03,,,,2.0,3.0,5.0,1.0,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,,2.0,,,1.0,,
13981615,away,Lazio,Gustav Isaksen,gustav-isaksen,G. Isaksen,M,18,181,3333,M,976381,EUR,987638400,F,18,18,False,,37.0,31.0,,,0.0,14.0,16.0,17.0,21.0,1.0,1.0,,,,,69.0,61.0,7.0,14.0,0.062632,153.33326708771,17.0,36.015,23.73,,2,,-0.21,0.44,0.14,,,2.0,1.0,6.0,8.0,,1.0,,1.0,2.0,2.0,,1.0,0.2939,-0.1,,52.53370168634,3.0,,,1.0,3.0,,,4.0,2.0,1.0,,,,2.0,1.0,2.0,4.0,,
13981615,away,Lazio,Tijjani Noslin,tijjani-noslin,T. Noslin,F,14,177,1223,M,1069244,EUR,931305600,F,14,14,False,,25.0,19.0,2.0,1.0,0.0,6.0,6.0,13.0,19.0,,,,,,,55.0,33.0,6.5,9.0,0.010471,50.19137531827,7.0,14.91,7.035,,2,,-0.14,0.01,0.0,,,1.0,1.0,2.0,3.0,,1.0,2.0,,,,,,0.2554,-0.09,,13.569620517907,1.0,,,,2.0,,,2.0,,,,,,,1.0,,1.0,,
13981615,away,Lazio,Matteo Cancellieri,matteo-cancellieri,M. Cancellieri,F,22,185,1422,M,1017649,EUR,1013472000,F,22,22,False,,28.0,20.0,,,0.0,6.0,8.0,14.0,20.0,1.0,4.0,,,,,90.0,55.0,6.4,20.0,0.0486905,128.09994134106,15.0,72.345,32.025,,4,,-0.11,0.38,-0.06,,,3.0,5.0,13.0,10.0,2.0,,4.0,1.0,1.0,1.0,,2.0,0.1005,-0.55,,64.579138582575,4.0,,,2.0,5.0,,,4.0,1.0,,,,,1.0,1.0,,3.0,,
13981615,away,Lazio,Manuel Lazzari,manuel-lazzari,M. Lazzari,D,29,173,753,M,273405,EUR,754531200,M,29,29,True,,19.0,13.0,1.0,,0.0,4.0,5.0,9.0,14.0,2.0,1.0,,,,,35.0,31.0,6.5,9.0,0.00512707,109.9373028253,10.0,80.22,33.075,,0,,-0.28,0.08,0.15,,,,1.0,1.0,2.0,,,,,,,,,,,,64.646997906326,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,
13981615,away,Lazio,Petar Ratkov,petar-ratkov,P. Ratkov,F,20,193,1805,M,1101942,EUR,1061164800,F,20,20,True,,10.0,6.0,,,0.0,1.0,2.0,5.0,8.0,,1.0,,,,,35.0,11.0,6.5,4.0,0.00413847,8.7321346760114,1.0,-6.72,-6.72,,0,,-0.07,-0.11,0.0,,,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,Petar,Ratkov,,,,,,,,,,,,,,,,
13981615,away,Lazio,Nicolò Rovella,nicolo-rovella,N. Rovella,M,6,179,2966,M,937324,EUR,1007424000,M,6,6,True,,16.0,15.0,,,0.0,9.0,9.0,6.0,7.0,1.0,,,,,,21.0,18.0,6.8,1.0,0.0156477,42.516809878455,3.0,25.725,25.095,,0,,0.07,0.09,-0.03,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,26.147530686472,1.0,,,,1.0,,,,,,,,,,1.0,,,,
13981615,away,Lazio,Pedro,pedro,Pedro,F,9,167,5026,M,35428,EUR,554428800,F,9,9,True,,10.0,7.0,,,0.0,4.0,5.0,3.0,5.0,,1.0,,,,,21.0,13.0,6.5,4.0,0.012149,40.48360754197,5.0,21.0,15.12,,1,,0.02,0.03,-0.01,,Pedro,,,1.0,1.0,,,,,,,,1.0,0.0414,-0.08,,,,,,,1.0,,,,,,,1.0,0.0669,,,,1.0,,
13981615,away,Lazio,Reda Belahyane,reda-belahyane,R. Belahyane,M,21,173,4290,M,1389689,EUR,1086048000,M,21,21,True,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,0,,,,,,reda.belahyane,,,,,,,,,,,,,,,,,,Reda Belahyane,,,,,,,,,,,,,,,,,
13981615,away,Lazio,Alessio Furlanetto,alessio-furlanetto,A. Furlanetto,G,55,191,176,M,984095,EUR,1013040000,G,55,55,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,away,Lazio,Christos Mandas,christos-mandas,C. Mandas,G,35,189,1760,M,913762,EUR,1000684800,G,35,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,away,Lazio,Oliver Provstgaard,oliver-provstgaard,O. Provstgaard,D,25,194,596,M,1160559,EUR,1054684800,D,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Oliver Provstgaard,,,,,,,,,,,,,,,,,
13981615,away,Lazio,Nuno Tavares,nuno-tavares,N. Tavares,D,17,185,4853,M,944973,EUR,948844800,D,17,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,nuno_tavares71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981615,away,Lazio,Elseid Hysaj,elseid-hysaj,E. Hysaj,D,23,182,1316,M,136322,EUR,760147200,D,23,23,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
