match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_aerialLost,stat_onTargetScoringAttempt,stat_wasFouled,captain,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_accurateCross,stat_totalOffside,stat_errorLeadToAShot,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed
11392835,away,Nice,Melvin Bard,melvin-bard,M. Bard,D,26,173,502,M,906075,EUR,973468800,D,26,26,False,61.0,51.0,5.0,3.0,30.0,34.0,22.0,29.0,1.0,9.0,,,,,84.0,82.0,7.9,15.0,0.0,0.0,0.521254,0,,2.0,2.0,7.0,1.0,,1.0,1.0,,,3.0,2.0,2.0,1.0,2.0,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,
11392835,away,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,985923,EUR,938044800,M,28,28,False,49.0,46.0,,,33.0,36.0,13.0,14.0,1.0,6.0,,,,,90.0,64.0,7.5,8.0,0.8614,0.8559,0.0126009,1,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,,,3.0,2.0,3.0,,,,1.0,1.0,,,,,,,hicham_boudaoui,,,,,,1.0,
11392835,away,Nice,Youssouf Ndayishimiye,youssouf-ndayishimiye,Y. Ndayishimiye,D,55,183,1788,M,985934,EUR,909446400,M,55,55,False,134.0,125.0,6.0,3.0,81.0,84.0,44.0,50.0,1.0,7.0,,,,,90.0,140.0,7.2,9.0,0.0,0.0,0.0218146,0,,,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,
11392835,away,Nice,Khéphren Thuram,khephren-thuram,K. Thuram,M,19,191,11655,M,904832,EUR,985564800,M,19,19,False,32.0,29.0,3.0,3.0,12.0,13.0,17.0,20.0,,1.0,,,,,45.0,36.0,6.6,7.0,0.0,0.0,0.022959,0,,1.0,2.0,1.0,,1.0,,,,,,,2.0,,1.0,,,,,,,1.0,,,k_thuram,,,,,,,
11392835,away,Nice,Gaëtan Laborde,gaetan-laborde,G. Laborde,F,9,181,848,M,149730,EUR,767923200,F,24,24,False,28.0,16.0,2.0,1.0,9.0,10.0,8.0,21.0,,5.0,,,,,84.0,43.0,6.8,20.0,0.0529,0.0,0.0986376,1,,3.0,6.0,6.0,1.0,,4.0,1.0,,,,,2.0,1.0,4.0,1.0,2.0,,1.0,,,,,,,1.0,,,,,,
11392835,away,Nice,Terem Moffi,terem-moffi,T. Moffi,F,29,188,3115,M,894396,EUR,927590400,F,9,9,False,20.0,16.0,,,9.0,11.0,7.0,9.0,,1.0,,,,,67.0,35.0,6.1,16.0,0.2504,0.7621,0.0210966,1,,,10.0,1.0,,5.0,1.0,1.0,,,,,7.0,,,,2.0,1.0,,,,3.0,,,,,,,,,,1.0
11392835,away,Nice,Jérémie Boga,jeremie-boga,J. Boga,F,13,172,4912,M,367056,EUR,852249600,F,7,7,False,37.0,32.0,,,8.0,11.0,25.0,29.0,,4.0,,,,,89.0,49.0,7.3,10.0,0.0518,0.024,0.233099,1,,3.0,4.0,4.0,2.0,1.0,3.0,2.0,,,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,jeremieboga,1.0,,,,,,
11392835,away,Nice,Morgan Sanson,morgan-sanson,M. Sanson,M,8,182,499,M,250133,EUR,777168000,M,11,11,True,26.0,25.0,,,11.0,11.0,14.0,17.0,1.0,3.0,,,,,45.0,38.0,6.7,5.0,0.0,0.0,0.0616124,0,,2.0,4.0,2.0,1.0,2.0,,,,1.0,2.0,1.0,,,,,,,,,,2.0,,,,,,,,,,
11392835,away,Nice,Evann Guessand,evann-guessand,E. Guessand,F,29,185,5228,M,930245,EUR,993945600,F,29,29,True,8.0,6.0,,,3.0,3.0,3.0,5.0,,,,,,,23.0,16.0,6.7,5.0,0.0353,0.6638,0.00084978,1,,,4.0,4.0,,2.0,1.0,1.0,,,1.0,,1.0,,2.0,,1.0,1.0,,,,2.0,,,,,,,,,,
11392835,away,Nice,Romain Perraud,romain-perraud,R. Perraud,D,15,173,596,M,827519,EUR,874886400,D,15,15,True,5.0,5.0,,,3.0,3.0,2.0,2.0,,,,,,,10.0,5.0,6.5,,0.0,0.0,0.00311009,0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392835,away,Nice,Badredine Bouanani,badredine-bouanani,B. Bouanani,M,27,177,10091,M,1153265,EUR,1102464000,M,22,22,True,6.0,5.0,,,4.0,4.0,1.0,2.0,,2.0,,,,,10.0,10.0,6.8,1.0,0.0206,0.0,0.00031685,1,,,,2.0,,,,,,1.0,,,,,,1.0,,,2.0,,,,Badredine Bouanani,,bouanani,,,,,,,
11392835,away,Nice,Alexis Claude-Maurice,alexis-claude-maurice,A. Claude-Maurice,F,20,174,875,M,822877,EUR,897091200,F,18,18,True,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,3.0,,,0.0,0.0,7.516e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392835,away,Nice,Salvatore Sirigu,salvatore-sirigu,S. Sirigu,G,,192,495,M,18954,EUR,537408000,G,31,31,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392835,away,Nice,Youcef Atal,youcef-atal,Y. Atal,D,20,176,9879,M,894238,EUR,832291200,D,20,20,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,youcefatal,,,,,,,
11392835,away,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,804472,EUR,852595200,M,8,8,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11392835,away,Nice,Aliou Balde,aliou-balde,A. Balde,F,14,163,3537,M,1002357,EUR,1039651200,F,27,27,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
