match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_keyPass,stat_totalCross,stat_dispossessed,stat_blockedScoringAttempt,stat_wonContest,stat_goals,stat_errorLeadToAGoal,captain,stat_accurateCross,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,player_sofascoreId
10407430,home,KAA Gent,Malick Fofana,Malick Fofana,,malick-fofana,M. Fofana,F,11,169.0,6170,M,1195784,EUR,1112227200,F,19,19,False,25.0,21.0,,,4.0,5.0,17.0,20.0,3.0,,2.0,,85.0,35.0,6.6,9.0,0,,3.0,2.0,,,,1.0,,2.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,
10407430,home,KAA Gent,Ibrahim Salah,,,ibrahim-salah,I. Salah,F,21,185.0,2215,M,1386639,EUR,999129600,F,16,16,True,19.0,18.0,2.0,1.0,5.0,5.0,13.0,15.0,2.0,,1.0,,57.0,30.0,7.0,5.0,2,1.0,4.0,2.0,2.0,,,2.0,1.0,1.0,,,,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,
10407430,home,KAA Gent,Bruno Godeau,,,bruno-godeau,B. Godeau,D,31,190.0,67,M,247321,EUR,705456000,D,31,31,True,5.0,5.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,,,,24.0,15.0,6.8,2.0,0,,3.0,2.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,
10407430,home,KAA Gent,Andreas Hanche-Olsen,,,andreas-hanche-olsen,A. Hanche-Olsen,D,25,185.0,376,M,794294,EUR,853459200,D,21,21,True,2.0,1.0,,,,1.0,1.0,1.0,,,1.0,,11.0,4.0,6.6,2.0,0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10407430,home,KAA Gent,Darko Lemajić,,,darko-lemajic,D. Lemajić,F,22,198.0,370,M,794596,EUR,745804800,F,9,9,True,3.0,1.0,,,,,1.0,3.0,2.0,,,,11.0,5.0,6.5,3.0,0,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10407430,home,KAA Gent,Celestin De Schrevel,,,de-schrevel-celestin,C. D. Schrevel,G,1,188.0,78,M,1048440,EUR,1017705600,G,30,30,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407430,home,KAA Gent,Noah De Ridder,,,noah-de-ridder,N. D. Ridder,D,45,,16,M,1386641,EUR,1065571200,M,12,12,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407430,home,KAA Gent,Robbie Van Hauter,Robbie,Van Hauter,van-hauter-robbie,R. V. Hauter,M,14,170.0,39,M,1126689,EUR,1054252800,M,28,28,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407430,away,KVC Westerlo,Sinan Bolat,,,sinan-bolat,S. Bolat,G,26,187.0,168,M,5920,EUR,589248000,G,1,1,False,25.0,18.0,13.0,7.0,18.0,21.0,,4.0,,,17.0,3.0,90.0,37.0,6.6,7.0,0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,
10407430,away,KVC Westerlo,Edisson Jordanov,,,edisson-jordanov,E. Jordanov,D,24,172.0,64,M,129922,EUR,739497600,D,32,32,False,32.0,21.0,3.0,1.0,11.0,14.0,11.0,24.0,4.0,,4.0,,90.0,65.0,6.7,23.0,0,,5.0,3.0,,1.0,2.0,2.0,2.0,3.0,2.0,1.0,,,,,,,1.0,6.0,1.0,,1.0,,,,1.0,,,,,,,
10407430,away,KVC Westerlo,Rubin Seigers,,,rubin-seigers,R. Seigers,D,4,187.0,36,M,794983,EUR,884476800,D,23,23,False,46.0,36.0,13.0,8.0,22.0,27.0,14.0,19.0,4.0,2.0,3.0,,90.0,52.0,6.6,10.0,0,2.0,5.0,1.0,,,,2.0,2.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,
