match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,stat_totalOffside,stat_goalAssist,stat_accurateCross,stat_wonTackle,stat_dispossessed,stat_onTargetScoringAttempt,captain,stat_wonContest,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt
10433884,home,Konyaspor,Muhammet Demir,muhammet-demir,M. Demir,F,99,180,108,M,43543,EUR,695001600,F,9,9,False,12.0,7.0,1.0,,5.0,6.0,2.0,6.0,1.0,3.0,,,,,77.0,32.0,7.3,14.0,2,,,,1.0,6.0,10.0,,2.0,,1.0,6.0,4.0,2.0,5.0,,,,1.0,,,1.0,1.0,2.0,,,1.0,,,
10433884,home,Konyaspor,Robert Murić,robert-muric,R. Murić,M,,182,210,M,283853,EUR,826588800,M,11,11,True,6.0,5.0,1.0,1.0,,,6.0,8.0,1.0,1.0,,,,,20.0,15.0,6.8,3.0,1,,,2.0,,1.0,2.0,,2.0,1.0,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,
10433884,home,Konyaspor,Oğulcan Ülgün,ogulcan-ulgun,O. Ülgün,M,35,178,135,M,1063942,EUR,894844800,M,35,35,True,7.0,7.0,,,3.0,3.0,4.0,4.0,,1.0,,,,,20.0,7.0,6.4,,0,Ogulcan Ülgün,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
10433884,home,Konyaspor,Mame Biram Diouf,mame-biram-diouf,M. B. Diouf,F,55,185,388,M,22481,EUR,566611200,F,99,99,True,2.0,1.0,,,,,1.0,2.0,,1.0,,,,,13.0,5.0,6.8,1.0,1,Mame,Biram Diouf,,,1.0,3.0,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,
10433884,home,Konyaspor,Uche Ikpeazu,uche-ikpeazu,U. Ikpeazu,F,18,190,726,M,368128,EUR,793929600,F,29,29,True,1.0,1.0,,,,,1.0,1.0,,,,,,,11.0,6.0,6.4,4.0,0,,,,1.0,6.0,1.0,,2.0,,,2.0,,3.0,,,,,,,,,1.0,,,1.0,,,,
10433884,home,Konyaspor,Mehmet Erdoğan,mehmet-erdogan,M. Erdoğan,G,1,193,37,M,1173536,EUR,1088899200,G,64,64,True,,,,,,,,,,,,,,,,,,,0,Mehmet Erdogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433884,home,Konyaspor,Kahraman Demirtaş,kahraman-demirtas,K. Demirtaş,D,47,184,25,M,845313,EUR,762480000,D,20,20,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433884,home,Konyaspor,Yasir Subaşı,yasir-subasi,Y. Subaşı,D,3,180,51,M,796555,EUR,820454400,D,3,3,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433884,home,Konyaspor,Uğurcan Yazğılı,ugurcan-yazgili,U. Yazğılı,D,5,184,99,M,904303,EUR,923616000,M,5,5,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433884,home,Konyaspor,Amilton da Silva,amilton-da-silva,A. d. Silva,M,89,172,45,M,803148,EUR,618883200,F,93,93,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433884,home,Konyaspor,Domagoj Pavičić,domagoj-pavicic,D. Pavičić,M,24,178,120,M,94239,EUR,763171200,M,10,10,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433884,away,Ümraniyespor,Orkun Özdemir,orkun-ozdemir,O. Özdemir,G,,190,20,M,953335,EUR,798595200,G,13,13,False,32.0,16.0,23.0,8.0,10.0,12.0,6.0,20.0,,9.0,1.0,2.0,2.0,,90.0,40.0,6.6,16.0,0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,
