match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_aerialLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_totalContest,stat_keyPass,stat_shotOffTarget,captain,stat_totalCross,stat_accurateCross,stat_wonContest,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,player_sofascoreId,stat_goodHighClaim,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_lastManTackle,stat_errorLeadToAShot,stat_totalOffside,stat_bigChanceMissed
11352303,away,Manchester City,Rico Lewis,Rico Lewis,,rico-lewis,R. Lewis,D,82,170,17497,M,1136731,EUR,1100995200,D,82,82,False,39.0,33.0,4.0,1.0,17.0,22.0,16.0,17.0,,9.0,,,,,79.0,48.0,6.6,8.0,0.0,0.0,0.013439,0,,,3.0,2.0,,,,,2.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,Rico_Lewis,,,,,,,,
11352303,away,Manchester City,Kevin De Bruyne,,,kevin-de-bruyne,K. De Bruyne,M,11,181,317675,M,70996,EUR,678067200,M,17,17,False,6.0,4.0,,,1.0,2.0,5.0,7.0,,2.0,,,,,23.0,12.0,6.8,4.0,0.0215,0.0,0.157048,1,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,True,3.0,2.0,,,,KDB,,,,,,,,
11352303,away,Manchester City,Rodri,,,rodri,Rodri,M,16,191,88553,M,827606,EUR,835401600,M,16,16,False,110.0,107.0,6.0,5.0,59.0,61.0,48.0,49.0,,8.0,,,,,90.0,125.0,9.2,5.0,0.4995,1.2368,0.168345,4,,1.0,3.0,6.0,5.0,3.0,1.0,2.0,,,1.0,,,,,1.0,,,,,,1.0,3.0,Rodri,,1.0,1.0,1.0,1.0,1.0,1.0,
11352303,away,Manchester City,Bernardo Silva,,,bernardo-silva,B. Silva,M,20,173,62967,M,331209,EUR,776476800,M,20,20,False,67.0,61.0,3.0,3.0,34.0,34.0,27.0,36.0,,4.0,,,,,90.0,75.0,6.7,10.0,0.0,0.0,0.0301747,0,,,2.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,3.0,,,,,BSilva,,,,,,1.0,,
11352303,away,Manchester City,Julián Alvarez,,,julian-alvarez,J. Álvarez,F,19,170,224894,M,944656,EUR,949276800,M,19,19,False,38.0,33.0,1.0,1.0,13.0,15.0,22.0,28.0,,2.0,,,,,90.0,55.0,8.1,11.0,0.3462,0.0204,0.374125,3,,1.0,6.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,,1.0,,6.0,1.0,,5.0,2.0,,1.0,1.0,LaAraña,,1.0,,,,,,
11352303,away,Manchester City,Phil Foden,,,phil-foden,P. Foden,M,47,171,175652,M,859765,EUR,959472000,M,47,47,False,45.0,37.0,3.0,,8.0,9.0,29.0,39.0,,2.0,,,,,90.0,64.0,6.9,17.0,0.2934,0.3296,0.147886,3,,,6.0,2.0,,,2.0,,2.0,,3.0,,1.0,1.0,2.0,2.0,1.0,,3.0,,1.0,1.0,1.0,Foden,,,,,,,,1.0
11352303,away,Manchester City,Erling Haaland,,,erling-haaland,E. Haaland,F,9,194,843810,M,839956,EUR,964137600,F,9,9,False,11.0,9.0,1.0,,2.0,2.0,7.0,9.0,1.0,3.0,,,,,80.0,22.0,8.7,5.0,0.5692,1.1234,0.0531223,4,,1.0,5.0,3.0,,,1.0,1.0,2.0,,2.0,,,2.0,,2.0,1.0,,,,,1.0,2.0,EHaaland,,,,2.0,,,,
11352303,away,Manchester City,Mateo Kovačić,,,mateo-kovacic,M. Kovačić,M,8,178,33708,M,136710,EUR,768182400,M,8,8,True,64.0,61.0,4.0,3.0,35.0,36.0,26.0,28.0,,1.0,,,,,67.0,76.0,7.6,4.0,0.0,0.0,0.244406,0,,,3.0,5.0,2.0,2.0,,1.0,1.0,,1.0,,,2.0,1.0,1.0,,,,,1.0,,,Kova8,,,1.0,,,,,
11352303,away,Manchester City,Joško Gvardiol,,,josko-gvardiol,J. Gvardiol,D,24,186,50085,M,964994,EUR,1011744000,D,24,24,True,7.0,5.0,1.0,,2.0,2.0,3.0,5.0,,2.0,,,,,11.0,14.0,7.0,3.0,0.0,0.0,0.00079653,0,,2.0,,4.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,JGvardiol,,,,,,,,
11352303,away,Manchester City,Aymeric Laporte,,,aymeric-laporte,A. Laporte,D,14,191,10335,M,149734,EUR,769996800,D,14,14,True,11.0,11.0,,,7.0,7.0,4.0,4.0,1.0,2.0,,,,,11.0,14.0,7.0,,0.0358,0.024,0.00053046,1,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,laporte27,,,,,,,,
11352303,away,Manchester City,Cole Palmer,,,cole-palmer,C. Palmer,M,10,185,363781,M,982780,EUR,1020643200,M,80,80,True,5.0,4.0,,,1.0,1.0,3.0,4.0,,,,,,,10.0,6.0,6.5,2.0,0.0,0.0,0.0151772,0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,ColdPalmer,,,,,,,,
11352303,away,Manchester City,James McAtee,,,james-mcatee,J. McAtee,M,24,180,10550,M,1003334,EUR,1034899200,M,87,87,True,,,,,,,,,,,,,,,1.0,1.0,,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,jamesmcatee_,,,,,,,,
11352303,away,Manchester City,Stefan Ortega,,,stefan-ortega,S. Ortega,G,27,186,11850,M,125274,EUR,721008000,G,18,18,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,stefan.ortega1,,,,,,,,
11352303,away,Manchester City,Jack Grealish,,,jack-grealish,J. Grealish,M,18,180,58418,M,189061,EUR,810691200,M,10,10,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,JGrealish,,,,,,,,
11352303,away,Manchester City,Kalvin Phillips,,,kalvin-phillips,K. Phillips,M,27,177,9303,M,786028,EUR,817862400,M,4,4,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,kalvinphillips,,,,,,,,
11352303,away,Manchester City,Sergio Gómez,,,sergio-gomez,S. Gómez,M,17,171,4445,M,855835,EUR,968025600,M,21,21,True,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,sergiogm_10,,,,,,,,
