match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_interceptionWon,stat_outfielderBlock,captain,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_dispossessed,stat_bigChanceMissed,stat_totalOffside,stat_punches,stat_lastManTackle,stat_hitWoodwork,player_sofascoreId
10382283,away,FC Emmen,Jeremy Antonisse,Jeremy,Antonisse,jeremy-antonisse,J. Antonisse,F,177.0,141,M,1092638,EUR,1017360000,M,57,57,False,14.0,12.0,,,5.0,6.0,8.0,10.0,1.0,4.0,,,,,72.0,37.0,5.9,14.0,3,7,3.0,1.0,12.0,4.0,1.0,4.0,2.0,1.0,1.0,,2.0,,,2.0,,,,2.0,1.0,,,,,,6.0,,1.0,,,1.0,
10382283,away,FC Emmen,Richairo Živković,,,richairo-zivkovic,R. Živković,F,186.0,197,M,295137,EUR,841881600,F,9,9,False,17.0,11.0,2.0,,3.0,5.0,8.0,13.0,2.0,1.0,,,,,84.0,26.0,6.7,8.0,2,30,2.0,,3.0,3.0,,,,,,,,3.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,
10382283,away,FC Emmen,Oussama Darfalou,,,oussama-darfalou,O. Darfalou,F,187.0,396,M,845608,EUR,749260800,F,28,28,True,3.0,1.0,,,,,1.0,3.0,,,,,,,18.0,5.0,6.4,4.0,0,,3.0,1.0,5.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,
10382283,away,FC Emmen,Julius Dirksen,,,julius-dirksen,J. Dirksen,D,185.0,74,M,1001943,EUR,1044144000,D,24,24,True,7.0,6.0,1.0,,1.0,1.0,6.0,7.0,1.0,,,,,,13.0,13.0,7.1,3.0,1,26,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,
10382283,away,FC Emmen,Mohamed Bouchouari,,,mohamed-bouchouari,M. Bouchouari,D,170.0,778,M,965329,EUR,974246400,D,34,34,True,2.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,,10.0,3.0,6.5,1.0,0,34,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,away,FC Emmen,Jasin Assehnoun,,,jasin-assehnoun,J. Assehnoun,M,175.0,80,M,943188,EUR,914630400,M,11,11,True,,,,,,,,,,,,,,,10.0,5.0,6.7,2.0,0,78,,,1.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10382283,away,FC Emmen,Kyan van Dorp,Kyan,van Dorp,kyan-van-dorp,K. v. Dorp,G,187.0,14,M,905384,EUR,958521600,G,16,16,True,,,,,,,,,,,,,,,,,,,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,away,FC Emmen,Eric Oelschlägel,,,eric-oelschlagel,E. Oelschlägel,G,193.0,62,M,253515,EUR,811555200,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,away,FC Emmen,Michaël Heylen,,,michael-heylen,M. Heylen,D,187.0,30,M,311954,EUR,757555200,D,13,13,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,away,FC Emmen,Dennis Vos,Dennis,Vos,dennis-vos,D. Vos,D,179.0,46,M,966537,EUR,1006905600,D,14,14,True,,,,,,,,,,,,,,,,,,,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,away,FC Emmen,Arnaud Luzayadio,Arnaud,Luzayadio,luzayadio-arnaud,A. Luzayadio,D,176.0,19,,872888,EUR,932342400,D,29,29,True,,,,,,,,,,,,,,,,,,,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,away,FC Emmen,Floris Quaedvlieg,,,quaedvlieg-floris,F. Quaedvlieg,F,,6,M,1459146,EUR,1047340800,F,12,12,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382283,away,FC Emmen,Danny Hoesen,,,danny-hoesen,D. Hoesen,F,186.0,15,,113712,EUR,663897600,F,21,21,True,,,,,,,,,,,,,,,,,,,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
