match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,captain,stat_outfielderBlock,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_wonContest,stat_goals,stat_bigChanceCreated,stat_goalAssist,stat_blockedScoringAttempt,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId
10382174,away,Excelsior,Nathan Tjoe-A-On,tjoe-a-on-nathan,N. Tjoe-A-On,M,24,182,7235,M,992651,EUR,1008979200,D,28,28,False,35.0,26.0,7.0,1.0,12.0,16.0,14.0,20.0,7.0,,,,90.0,55.0,6.8,11.0,0,1.0,,1.0,6.0,4.0,,,3.0,3.0,1.0,,,3.0,4.0,,,,3.0,,,,,,,,,,,,,,,nathantjoeaon
10382174,away,Excelsior,Julian Baas,julian-baas,J. Baas,M,16,184,147,M,1046143,EUR,1018915200,M,33,33,False,20.0,17.0,2.0,1.0,4.0,5.0,13.0,15.0,4.0,,,,72.0,33.0,6.5,6.0,0,,,1.0,5.0,3.0,2.0,1.0,4.0,2.0,2.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
10382174,away,Excelsior,Adrian Fein,adrian-fein,A. Fein,M,29,187,138,M,855846,EUR,921715200,M,5,5,False,38.0,32.0,5.0,2.0,9.0,10.0,23.0,28.0,7.0,,,,89.0,46.0,6.9,7.0,1,,,,,1.0,,,2.0,1.0,,1.0,,,,,,,1.0,,,1.0,Adrian,Fein,1.0,,,,,,,,,
10382174,away,Excelsior,Marouan Azarkan,marouan-azarkan,M. Azarkan,M,17,165,221,M,987524,EUR,1007769600,M,10,10,False,29.0,20.0,1.0,1.0,4.0,4.0,16.0,33.0,6.0,,,,82.0,61.0,6.5,25.0,2,8.0,,3.0,10.0,8.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,,2.0,,,,2.0,,,,
10382174,away,Excelsior,Kenzo Goudmijn,kenzo-goudmijn,K. Goudmijn,M,24,174,248,M,916947,EUR,1008633600,M,8,8,False,43.0,29.0,6.0,1.0,9.0,10.0,21.0,35.0,12.0,,,,90.0,67.0,7.1,23.0,2,2.0,1.0,,4.0,8.0,2.0,2.0,,3.0,1.0,5.0,4.0,,1.0,,,1.0,,,,2.0,,,1.0,1.0,,,,,,,,
10382174,away,Excelsior,Couhaib Driouech,couhaib-driouech,C. Driouech,F,11,175,4625,M,1047395,EUR,1019001600,M,14,14,False,29.0,27.0,3.0,2.0,11.0,11.0,16.0,22.0,7.0,,,,89.0,48.0,6.8,11.0,0,4.0,,,5.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,,1.0,2.0,,,,,,,1.0,,,,3.0,,,,,,,,
10382174,away,Excelsior,Reda Kharchouch,reda-kharchouch,R. Kharchouch,F,99,192,100,M,907909,EUR,809481600,F,9,9,False,32.0,20.0,1.0,,7.0,9.0,13.0,23.0,5.0,,,,81.0,47.0,6.9,16.0,2,,,3.0,11.0,4.0,1.0,,3.0,1.0,1.0,3.0,,1.0,9.0,,,1.0,,,,,,,1.0,,,,,,,,,
10382174,away,Excelsior,Peer Koopmeiners,peer-koopmeiners,P. Koopmeiners,M,6,186,510,M,922018,EUR,957398400,M,23,23,True,10.0,10.0,2.0,2.0,3.0,3.0,7.0,7.0,3.0,,,,18.0,15.0,6.6,1.0,1,,,,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
10382174,away,Excelsior,Mike van Duinen,mike-van-duinen,M. v. Duinen,F,29,183,39,M,150494,EUR,689385600,F,29,29,True,1.0,1.0,,,1.0,1.0,,,,,,,9.0,3.0,6.4,1.0,1,,,,,,,,,,,1.0,,,,,,,,,,,Mike,van Duinen,,,,,,1.0,,,,
10382174,away,Excelsior,Lazaros Lamprou,lazaros-lamprou,L. Lamprou,M,7,177,177,M,823856,EUR,882403200,F,22,22,True,3.0,2.0,,,,,4.0,5.0,,,,,8.0,6.0,6.7,2.0,0,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,Lazaros,Lamprou,,,,,,,,,,
10382174,away,Excelsior,Serano Seymor,serano-seymor,S. Seymor,D,34,190,15,M,1091021,EUR,1010102400,D,34,34,True,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,3.0,,1.0,0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,Serano Seymor,,,,,,,,,,,
10382174,away,Excelsior,Nikolas Agrafiotis,nikolas-agrafiotis,N. Agrafiotis,F,25,190,138,M,1036005,EUR,956620800,F,7,7,True,,,,,,,,,,,,,1.0,1.0,,,1,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,Nikolas Agrafiotis,,,,,,,,,,,
10382174,away,Excelsior,Norbert Alblas,norbert-alblas,N. Alblas,G,18,185,18,M,339845,EUR,787190400,G,18,18,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,Norbert,Alblas,,,,,,,,,,
10382174,away,Excelsior,Maxime Awoudja,maxime-awoudja,M. Awoudja,D,6,188,29,M,886639,EUR,886377600,D,17,17,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382174,away,Excelsior,Nathan Markelo,nathan-markelo,N. Markelo,M,24,182,73,M,920489,EUR,915667200,D,24,24,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382174,away,Excelsior,Joshua Eijgenraam,joshua-eijgenraam,J. Eijgenraam,M,20,180,30,M,1090204,EUR,1013990400,M,6,6,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
