match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_wonTackle,stat_wasFouled,stat_dispossessed,stat_errorLeadToAShot,stat_bigChanceCreated,stat_bigChanceMissed,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,player_height,stat_blockedScoringAttempt
11689333,away,VV Hoogeveen,Stan Meekhof,Stan,Meekhof,stan-meekhof,S. Meekhof,G,1,0,M,1594414,EUR,1047686400.0,G,1,1,False,28.0,17.0,15.0,4.0,,15.0,17.0,2.0,11.0,21.0,,3.0,4.0,,,90.0,48.0,6.7,12.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689333,away,VV Hoogeveen,Noah Schuurman,Noah,Schuurman,noah-schuurman,N. Schuurman,F,7,1,M,1594407,EUR,915408000.0,D,7,7,False,48.0,36.0,5.0,2.0,,20.0,24.0,16.0,26.0,9.0,,,,,,90.0,80.0,7.1,24.0,,0,2.0,1.0,1.0,3.0,9.0,1.0,2.0,2.0,,3.0,1.0,5.0,1.0,,,5.0,1.0,1.0,,,,,,,,,,
11689333,away,VV Hoogeveen,Björn Klaassens,Björn,Klaassens,bjorn-klaassens,B. Klaassens,D,2,1,M,1594374,EUR,1038873600.0,D,2,2,False,57.0,49.0,11.0,5.0,,31.0,33.0,18.0,25.0,9.0,,,,,,90.0,80.0,6.3,17.0,,1,1.0,1.0,,5.0,,1.0,,,1.0,3.0,4.0,,1.0,1.0,,,,2.0,,,,,,,,,,
11689333,away,VV Hoogeveen,Alex Blekkink,Alex,Blekkink,alex-blekkink,A. Blekkink,D,,0,M,1594373,EUR,870480000.0,D,3,3,False,60.0,50.0,4.0,1.0,1.0,39.0,43.0,11.0,17.0,9.0,,,,,,90.0,75.0,7.3,10.0,1.0,1,,1.0,5.0,2.0,10.0,,,,1.0,6.0,,5.0,,1.0,,4.0,,,,,,,,,,,,
11689333,away,VV Hoogeveen,Jeroah Balabun,Jeroah,Balabun,jeroah-balabun,J. Balabun,M,,2,M,1594383,EUR,1014854400.0,D,17,17,False,24.0,19.0,3.0,1.0,,8.0,10.0,11.0,18.0,,,,,,,53.0,39.0,6.2,12.0,,1,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0
11689333,away,VV Hoogeveen,Menno Heerkes,Menno,Heerkes,menno-heerkes,M. Heerkes,M,8,4,M,174473,EUR,743126400.0,M,8,8,False,37.0,34.0,1.0,1.0,,20.0,20.0,14.0,17.0,6.0,,,,,,64.0,51.0,6.7,6.0,,2,,,,4.0,4.0,1.0,2.0,,1.0,1.0,1.0,3.0,,,,2.0,1.0,1.0,,,,True,,1.0,,,180.0,
11689333,away,VV Hoogeveen,Jim Veltmaat,Jim,Veltmaat,jim-veltmaat,J. Veltmaat,M,14,6,M,1594400,EUR,923875200.0,M,14,14,False,78.0,61.0,13.0,3.0,,30.0,35.0,32.0,48.0,15.0,,,,,,90.0,106.0,7.0,27.0,3.0,1,5.0,1.0,,7.0,9.0,3.0,10.0,8.0,,1.0,,1.0,2.0,,,,,1.0,,,,,1.0,,,,,1.0
11689333,away,VV Hoogeveen,Sil Kuurman,Sil,Kuurman,sil-kuurman,S. Kuurman,F,,1,M,1594413,EUR,990316800.0,M,16,16,False,14.0,11.0,1.0,1.0,,3.0,3.0,8.0,11.0,4.0,,,,,,88.0,35.0,6.2,11.0,,3,,1.0,1.0,13.0,8.0,3.0,5.0,3.0,1.0,,1.0,3.0,3.0,4.0,,2.0,1.0,3.0,,,1.0,,,1.0,,1.0,,1.0
11689333,away,VV Hoogeveen,Emil Bijlsma,Emil,Bijlsma,emil-bijlsma,E. Bijlsma,M,10,1,M,893362,EUR,904953600.0,M,10,10,False,36.0,29.0,4.0,1.0,,8.0,9.0,24.0,30.0,6.0,,,,,,90.0,55.0,6.8,14.0,1.0,1,3.0,,2.0,5.0,9.0,,1.0,1.0,,,1.0,3.0,2.0,2.0,,,3.0,4.0,,,,,3.0,1.0,,1.0,186.0,
11689333,away,VV Hoogeveen,Justin Benjamins,Justin,Benjamins,justin-benjamins,J. Benjamins,F,,0,M,1594386,EUR,793411200.0,M,18,18,False,45.0,30.0,4.0,2.0,,6.0,8.0,24.0,39.0,5.0,,,,,,90.0,67.0,6.9,27.0,2.0,0,2.0,2.0,2.0,9.0,8.0,1.0,8.0,4.0,,,,2.0,3.0,,,2.0,,2.0,,1.0,,,,,,2.0,,
11689333,away,VV Hoogeveen,Tom Heerkes,Tom,Heerkes,tom-heerkes,T. Heerkes,M,12,1,M,866293,EUR,847756800.0,F,12,12,False,52.0,43.0,8.0,6.0,,20.0,21.0,23.0,31.0,6.0,,,,,,90.0,64.0,7.0,14.0,3.0,1,,2.0,2.0,8.0,6.0,2.0,3.0,,1.0,1.0,,1.0,1.0,,,1.0,3.0,1.0,,,,,,,,1.0,,
11689333,away,VV Hoogeveen,Levon van Dijk,Levon,van Dijk,levon-van-dijk,L. v. Dijk,D,4,4,M,1594401,EUR,897091200.0,D,4,4,True,5.0,2.0,1.0,,,,,2.0,5.0,,,,,,,37.0,14.0,7.0,6.0,,1,,4.0,2.0,4.0,4.0,,,,,1.0,,1.0,3.0,,,1.0,1.0,,,,,,,1.0,,,,
11689333,away,VV Hoogeveen,Jeroen Kamphuis,Jeroen,Kamphuis,jeroen-kamphuis,J. Kamphuis,F,,0,M,1594384,EUR,831859200.0,F,9,9,True,5.0,3.0,,,,1.0,1.0,2.0,5.0,,,,,,,26.0,8.0,7.2,4.0,,1,1.0,1.0,2.0,3.0,2.0,,,,,,,,1.0,2.0,,,,,,,,,,1.0,1.0,,,
11689333,away,VV Hoogeveen,Jan Cate,Jan,Cate,jan-cate,J. Cate,M,,0,M,1594398,EUR,1011744000.0,M,15,15,True,1.0,1.0,,,,,,1.0,1.0,,,,,,,2.0,1.0,,,,0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
11689333,away,VV Hoogeveen,Bart de Weerd,Bart de Weerd,,bart-de-weerd,B. d. Weerd,G,22,1,M,1595726,EUR,,G,22,22,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689333,away,VV Hoogeveen,Tom Leerdam,Tom,Leerdam,tom-leerdam,T. Leerdam,M,,0,M,1594418,EUR,959040000.0,M,21,21,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689333,away,VV Hoogeveen,Jamai Kriekjes,Jamai,Kriekjes,jamai-kriekjes,J. Kriekjes,F,,0,M,1594397,EUR,1053820800.0,F,19,19,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11689333,away,VV Hoogeveen,Dylano Wolters,Dylano Wolters,,dylano-wolters,D. Wolters,F,,0,M,1595728,EUR,,F,5,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
