match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialWon,captain,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_outfielderBlock,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_errorLeadToAGoal
11388415,away,Almere City FC,Nordin Bakker,nordin-bakker,N. Bakker,G,31,196,132,M,945955,EUR,878256000,G,1,1,False,42.0,19.0,38.0,15.0,9.0,9.0,10.0,33.0,12.0,2.0,5.0,90.0,58.0,7.4,23.0,0.00777955,0,0.4478,,,2.0,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,
11388415,away,Almere City FC,Joey Jacobs,joey-jacobs,J. Jacobs,D,3,183,24,M,930838,EUR,955324800,D,3,3,False,29.0,19.0,1.0,,11.0,15.0,8.0,14.0,1.0,,,66.0,37.0,6.5,12.0,0.00971689,0,,1.0,2.0,4.0,,3.0,,,,1.0,,1.0,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,
11388415,away,Almere City FC,Damian van Bruggen,damian-van-bruggen,D. v. Bruggen,D,14,184,62,M,285991,EUR,827107200,D,4,4,False,40.0,32.0,10.0,4.0,17.0,18.0,15.0,22.0,3.0,,,90.0,53.0,6.3,9.0,0.00357177,1,,3.0,5.0,8.0,,4.0,4.0,3.0,3.0,,,2.0,,,5.0,,,,,,0.0098,,,,,,,,,,,,1.0,,,,1.0
11388415,away,Almere City FC,Peer Koopmeiners,peer-koopmeiners,P. Koopmeiners,M,6,186,510,M,922018,EUR,957398400,D,15,15,False,46.0,31.0,9.0,1.0,20.0,25.0,12.0,24.0,7.0,,,87.0,71.0,7.4,18.0,0.0574802,0,,1.0,3.0,12.0,,3.0,1.0,5.0,2.0,,1.0,,3.0,,2.0,,1.0,5.0,4.0,,,3.0,1.0,,2.0,,,,,,1.0,,,,,,
11388415,away,Almere City FC,Hamdi Akujobi,hamdi-akujobi,H. Akujobi,D,,175,76,M,983662,EUR,948326400,M,20,20,False,39.0,26.0,6.0,1.0,14.0,17.0,12.0,23.0,8.0,,,90.0,56.0,6.6,19.0,0.0120918,1,,2.0,3.0,3.0,,2.0,1.0,3.0,3.0,3.0,,1.0,,,,,,,,1.0,0.0125,1.0,,,,,,,,,,,,,,,
11388415,away,Almere City FC,Jochem Ritmeester van de Kamp,jochem-ritmeester-van-de-kamp,J. R. v. d. Kamp,M,39,177,175,M,1157777,EUR,1067731200,M,39,39,False,25.0,20.0,1.0,1.0,9.0,12.0,11.0,13.0,4.0,,,77.0,33.0,6.7,7.0,0.0189833,0,,1.0,2.0,3.0,,,1.0,2.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,,1.0,Jochem van de Kamp,,,,,,,,,,,
11388415,away,Almere City FC,Stije Resink,stije-resink,S. Resink,M,6,186,608,M,1090328,EUR,1053993600,M,28,28,False,37.0,28.0,1.0,,14.0,16.0,14.0,21.0,10.0,,,77.0,48.0,6.9,9.0,0.0104977,0,,,1.0,5.0,,2.0,2.0,2.0,,,,1.0,1.0,,1.0,,,2.0,2.0,,,,,,,Stije Resink,,,,,,,,,,,
11388415,away,Almere City FC,Yoann Cathline,cathline-yoann,Y. Cathline,M,10,176,517,M,1105700,EUR,1027296000,M,19,19,False,25.0,20.0,1.0,1.0,8.0,9.0,12.0,17.0,6.0,,,90.0,52.0,6.4,17.0,0.0135543,1,,1.0,7.0,6.0,2.0,,,3.0,2.0,4.0,2.0,1.0,,,,,,4.0,1.0,,0.0138,1.0,,,,,,1.0,,0.0304,,,,,,,
11388415,away,Almere City FC,Sherel Floranus,sherel-floranus,S. Floranus,D,2,181,189,M,803021,EUR,903830400,M,2,2,False,39.0,30.0,6.0,2.0,13.0,17.0,17.0,22.0,8.0,,,90.0,72.0,6.6,18.0,0.00625333,0,,2.0,6.0,5.0,2.0,2.0,2.0,2.0,1.0,,,1.0,,,2.0,True,,2.0,1.0,,,,,,1.0,Sherel,Floranus,,,,,,,,,,
11388415,away,Almere City FC,Thomas Robinet,thomas-robinet,T. Robinet,M,9,180,359,M,790802,EUR,840326400,F,9,9,False,24.0,14.0,,,5.0,6.0,9.0,19.0,3.0,,,90.0,46.0,6.6,20.0,0.0395355,2,,10.0,12.0,6.0,1.0,3.0,1.0,1.0,1.0,7.0,,1.0,,,5.0,,,,,,0.0714,1.0,,,,,,,,,,,2.0,1.0,,,
11388415,away,Almere City FC,Milan Corryn,milan-corryn,M. Corryn,M,,179,35,M,826173,EUR,923184000,F,21,21,False,17.0,12.0,,,5.0,6.0,7.0,11.0,5.0,,,66.0,31.0,6.3,12.0,0.00632201,1,,2.0,8.0,2.0,2.0,,1.0,1.0,,3.0,,2.0,,,1.0,,,2.0,,,0.0168,,,,,,,,,,,,1.0,,,,
11388415,away,Almere City FC,Rajiv Van La Parra,rajiv-van-la-parra,R. V. L. Parra,M,7,181,101,M,38096,EUR,675993600,F,27,27,True,8.0,4.0,,,2.0,3.0,2.0,6.0,1.0,,,24.0,14.0,6.6,6.0,0.00035485,0,,4.0,5.0,5.0,1.0,,,,,,2.0,,,,2.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
11388415,away,Almere City FC,Kornelius Normann,kornelius-hansen,K. Hansen,M,11,175,64,M,989864,EUR,989107200,F,17,17,True,6.0,5.0,1.0,1.0,1.0,1.0,4.0,5.0,,,,24.0,11.0,7.2,3.0,0.00570292,1,,,,,,1.0,,,,2.0,,,,,,,,,,,0.0446,,,,,,,1.0,1.0,0.1828,,,,,,,
11388415,away,Almere City FC,Álvaro Peña,alvaro-pena,Á. Peña,M,23,178,37,M,294351,EUR,688262400,M,6,6,True,17.0,14.0,1.0,,3.0,3.0,12.0,15.0,1.0,,,13.0,18.0,6.5,3.0,0.0252455,0,,,2.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
11388415,away,Almere City FC,Faiz Mattoir,mattoir-faiz,F. Mattoir,F,24,164,48,M,1007838,EUR,963360000,F,24,24,True,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,,13.0,11.0,6.1,7.0,0.00024901,0,,1.0,6.0,1.0,4.0,,,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11388415,away,Almere City FC,Theo Barbet,theo-barbet,T. Barbet,D,22,184,56,M,911846,EUR,983836800,D,22,22,True,6.0,5.0,1.0,,3.0,3.0,2.0,3.0,,,,9.0,7.0,6.5,1.0,0.00128086,0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388415,away,Almere City FC,Joel Van der Wilt,van-der-wilt-joel,J. v. d. Wilt,G,30,198,14,M,1521867,EUR,1083024000,G,52,52,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Joël van der Wilt,,,,,,,,,,,
11388415,away,Almere City FC,Samuel Sahin-Radlinger,samuel-sahin-radlinger,S. Sahin-Radlinger,G,1,198,96,M,66340,EUR,721094400,G,18,18,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388415,away,Almere City FC,Loïc Mbe Soh,loic-mbe-soh,L. M. Soh,D,4,186,287,M,904992,EUR,992390400,D,5,5,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388415,away,Almere City FC,Christopher Mamengi,christopher-mamengi,C. Mamengi,D,,182,33,M,929632,EUR,986256000,D,25,25,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388415,away,Almere City FC,Pascu,pascu,Pascu,M,10,184,38,M,964177,EUR,954633600,M,14,14,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388415,away,Almere City FC,Jason van Duiven,jason-van-duiven,J. v. Duiven,F,9,175,432,M,1195745,EUR,1109203200,F,7,7,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Jason van Duiven,,,,,,,,,,,
