match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalCross,stat_challengeLost,stat_unsuccessfulTouch,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,stat_bigChanceCreated,stat_hitWoodwork,stat_goodHighClaim
14035830,away,Cercle Brugge,Christiaan Ravych,,,ravych-christiaan,C. Ravych,D,66,187.0,206,M,1191212,EUR,1027987200,D,66,66,False,26.0,22.0,3.0,2.0,0.0,15.0,17.0,7.0,9.0,3.0,10.0,1.0,,,90.0,48.0,7.4,7.0,0.00252399,,0,,0.09,0.05,0.47,,5.0,8.0,1.0,1.0,1.0,7.0,,,3.0,2.0,3.0,2.0,,,,,,,,,,1.0,1.0,,,,1.0,,
14035830,away,Cercle Brugge,Edgaras Utkus,,,edgaras-utkus,E. Utkus,D,3,190.0,321,M,921180,EUR,961632000,D,3,3,False,47.0,34.0,8.0,3.0,0.0,25.0,29.0,9.0,18.0,9.0,12.0,6.0,,,90.0,64.0,8.2,14.0,0.00532405,,1,,0.06,0.05,0.57,,1.0,1.0,,,,8.0,1.0,,1.0,,2.0,,,0.0388,0.0,,1.0,,,,,1.0,,,,,,,
14035830,away,Cercle Brugge,Flávio Nazinho,,,nazinho-flavio,F. Nazinho,D,20,180.0,637,M,1006113,EUR,1058659200,D,20,20,False,32.0,21.0,8.0,2.0,0.0,10.0,12.0,11.0,20.0,,5.0,2.0,,,90.0,67.0,7.1,23.0,0.231746,,1,,0.45,-0.02,-0.08,,,5.0,2.0,2.0,1.0,,,2.0,4.0,3.0,,,1.0,0.0597,0.01,,,,,7.0,2.0,2.0,1.0,3.0,,,1.0,,
14035830,away,Cercle Brugge,Lawrence Agyekum,Lawrence Agyekum,,lawrence-agyekum,L. Agyekum,M,6,174.0,952,M,1185568,EUR,1069545600,M,6,6,False,20.0,15.0,2.0,1.0,0.0,3.0,3.0,12.0,17.0,,6.0,6.0,,,90.0,38.0,6.0,10.0,0.00633669,,1,,-0.46,-0.69,0.13,,6.0,13.0,2.0,4.0,2.0,2.0,,1.0,,,4.0,2.0,,0.0481,-0.12,,1.0,,,,2.0,1.0,,,,1.0,,,
14035830,away,Cercle Brugge,Makaya Ibrahima Diaby,,,makaya-ibrahima-diaby,M. I. Diaby,M,19,,227,M,1473492,EUR,1174089600,M,19,19,False,39.0,28.0,1.0,1.0,0.0,18.0,20.0,10.0,19.0,3.0,7.0,3.0,,,90.0,55.0,6.7,14.0,0.0126759,,0,,-0.63,0.01,-0.04,,1.0,7.0,,1.0,,1.0,,4.0,4.0,1.0,,3.0,,,,,,,,,2.0,2.0,,,,,,,
14035830,away,Cercle Brugge,Hannes Van Der Bruggen,,,hannes-van-der-bruggen,H. V. D. Bruggen,M,28,180.0,73,M,94290,EUR,733622400,M,28,28,False,32.0,21.0,6.0,4.0,0.0,8.0,10.0,13.0,22.0,5.0,9.0,1.0,,,72.0,47.0,7.7,15.0,0.0328063,,0,,0.11,0.08,0.38,,1.0,3.0,,1.0,,4.0,1.0,,3.0,1.0,1.0,,,,,True,,,,1.0,1.0,2.0,,,,,,,
14035830,away,Cercle Brugge,Pieter Gerkens,,,pieter-gerkens,P. Gerkens,M,18,180.0,179,M,190401,EUR,808272000,M,18,18,False,31.0,23.0,5.0,2.0,0.0,8.0,8.0,15.0,23.0,1.0,4.0,2.0,,,90.0,43.0,6.4,12.0,0.0375118,,1,,0.08,0.1,-0.11,,3.0,9.0,,1.0,,1.0,,1.0,2.0,1.0,1.0,2.0,,0.5534,-0.34,,1.0,,,,3.0,3.0,1.0,,1.0,,,,
14035830,away,Cercle Brugge,Steve Ngoura,,,ngoura-steve,S. Ngoura,F,9,193.0,401,M,1394411,EUR,1109030400,F,9,9,False,10.0,5.0,,,0.0,2.0,3.0,3.0,7.0,7.0,10.0,1.0,,,89.0,30.0,6.2,15.0,0.002078,,2,,-0.08,0.02,-0.01,,7.0,12.0,,4.0,1.0,,,,,,2.0,2.0,1.0,0.3023,-0.11,,1.0,,,,,7.0,,,1.0,3.0,,,
14035830,away,Cercle Brugge,Alan Minda,,,minda-alan,A. Minda,F,27,171.0,2590,M,1122552,EUR,1052870400,F,11,11,False,16.0,10.0,1.0,1.0,0.0,3.0,3.0,7.0,13.0,,1.0,2.0,,,90.0,28.0,6.6,9.0,0.133919,,3,,-0.16,0.31,0.13,,1.0,2.0,,2.0,1.0,,,1.0,,,,,,0.2315,0.06,,1.0,2.0,0.5195,,,1.0,,,1.0,,,,
14035830,away,Cercle Brugge,Edan Diop,Edan Diop,,diop-edan,E. Diop,M,37,173.0,536,M,1390575,EUR,1093651200,M,37,37,True,9.0,6.0,,,0.0,2.0,3.0,4.0,6.0,,2.0,1.0,,,18.0,14.0,6.7,4.0,0.0248831,,0,,0.15,0.15,-0.07,,,3.0,,2.0,1.0,,,,1.0,,,,,,,,,,,,2.0,,1.0,,,,,,
14035830,away,Cercle Brugge,Ibrahim Diakité,Ibrahim Diakité,,ibrahim-diakite,I. Diakité,D,2,178.0,2182,M,1168646,EUR,1067558400,D,2,2,True,,,,,0.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,0,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
14035830,away,Cercle Brugge,Alama Bayo,Alama Bayo,,alama-bayo,A. Bayo,M,22,181.0,107,M,1520808,EUR,1138838400,F,22,22,True,1.0,,,,0.0,,,,1.0,,,,,,1.0,2.0,,2.0,,,0,,,,,,1.0,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14035830,away,Cercle Brugge,Bas Langenbick,,,langenbick-bas,B. Langenbick,G,84,189.0,32,M,1191211,EUR,1055635200,G,84,84,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,away,Cercle Brugge,Emmanuel Kakou,Emmanuel Kakou,,emmanuel-kakou,E. Kakou,D,5,,182,M,1847412,EUR,1120089600,D,5,5,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,away,Cercle Brugge,Dalangunypole Gomis,,,dalangunypole-gomis,D. Gomis,D,4,184.0,49,M,1514298,EUR,1088380800,D,4,4,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,away,Cercle Brugge,Nils De Wilde,,,de-wilde-nils,N. D. Wilde,M,27,182.0,74,M,1101701,EUR,1043625600,D,27,27,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,away,Cercle Brugge,Erick Nunes,,,erick-nunes,E. Nunes,M,8,180.0,148,M,1894087,EUR,1078012800,M,8,8,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035830,away,Cercle Brugge,Abu Francis,,,francis-abu,A. Francis,M,17,182.0,1501,M,988801,EUR,988329600,M,17,17,True,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
